count_index,ts_swap,swap_to_recv_ns,werner,success_bit
158,1789567626311248328,98334,0.000000,0
159,1789567626311655402,97274,0.000000,0
160,1789567626312062567,98912,0.000000,0
161,1789567626312469632,97081,0.000000,0
162,1789567626312876946,101392,0.000000,0
163,1789567626313284571,98131,0.000000,0
164,1789567626313691906,97830,0.931000,1
165,1789567626314098960,96810,0.000000,0
166,1789567626314506165,97498,0.000000,0
167,1789567626314913199,100158,0.000000,0
168,1789567626315320254,96987,0.000000,0
169,1789567626315727169,107867,0.000000,0
170,1789567626316134303,97877,0.000000,0
171,1789567626316541388,97646,0.000000,0
172,1789567626316948592,98675,0.000000,0
173,1789567626317355977,96574,0.000000,0
174,1789567626317763152,96963,0.931000,1
175,1789567626318170066,96083,0.000000,0
176,1789567626318577271,102262,0.000000,0
177,1789567626318984365,97693,0.000000,0
178,1789567626319391600,96431,0.000000,0
179,1789567626319798535,96620,0.000000,0
180,1789567626320205609,98020,0.000000,0
181,1789567626320613134,99459,0.000000,0
182,1789567626321020539,97908,0.000000,0
183,1789567626321427803,96448,0.000000,0
184,1789567626321835008,97637,0.000000,0
185,1789567626322241802,96857,0.000000,0
186,1789567626322649297,97956,0.000000,0
187,1789567626323056021,97166,0.000000,0
188,1789567626323463096,95905,0.000000,0
189,1789567626323869770,97435,0.000000,0
190,1789567626324276575,97703,0.000000,0
191,1789567626324683910,97003,0.000000,0
192,1789567626325090834,99103,0.931000,1
193,1789567626325498629,96992,0.000000,0
194,1789567626325905743,97292,0.000000,0
195,1789567626326312538,96501,0.000000,0
196,1789567626326719553,97219,0.000000,0
197,1789567626327126657,98969,0.000000,0
198,1789567626327533682,97288,0.000000,0
199,1789567626327940356,98799,0.000000,0
200,1789567626328347361,95768,0.931000,1
201,1789567626328754206,95816,0.000000,0
202,1789567626329161440,106896,0.000000,0
203,1789567626329568665,95995,0.000000,0
204,1789567626329975690,101114,0.000000,0
205,1789567626330382644,96394,0.000000,0
206,1789567626330789969,96043,0.931000,1
207,1789567626331198033,97353,0.000000,0
208,1789567626331605288,96462,0.000000,0
209,1789567626332012233,96921,0.000000,0
210,1789567626332419277,96851,0.000000,0
211,1789567626332826522,95960,0.000000,0
212,1789567626333233616,98339,0.000000,0
213,1789567626333640891,98499,0.000000,0
214,1789567626334047656,97498,0.000000,0
