count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
187,1784793452367141704,143659,71883,0.944512,0
188,1784793452367289129,123306,59781,0.953577,1
189,1784793452367417130,162454,82204,0.936867,0
190,1784793452367584682,205278,107024,0.918803,0
191,1784793452367799622,187516,122927,0.907463,0
192,1784793452367994139,125593,71981,0.944439,0
193,1784793452368124121,107542,56092,0.956362,0
194,1784793452368235431,106847,54310,0.957711,1
195,1784793452368346033,104862,53198,0.958554,0
196,1784793452368454547,103053,52136,0.959360,1
197,1784793452368561312,113203,51550,0.959805,1
198,1784793452368678053,104687,53114,0.958618,0
199,1784793452368787707,103792,52554,0.959042,0
200,1784793452368895218,103190,52320,0.959220,1
201,1784793452369001851,102448,52317,0.959222,0
202,1784793452369107724,102664,52440,0.959129,1
203,1784793452369213819,101862,51889,0.959547,0
204,1784793452369319256,102569,51641,0.959736,1
205,1784793452369425181,102576,51515,0.959832,1
206,1784793452369531158,102489,51496,0.959846,1
207,1784793452369637272,101671,51577,0.959784,0
208,1784793452369742822,102488,51874,0.959559,1
209,1784793452369848713,102507,51850,0.959577,1
210,1784793452369954821,101796,51377,0.959936,1
211,1784793452370060125,101718,52008,0.959457,0
212,1784793452370165501,103771,52663,0.958960,1
213,1784793452370272718,137070,57581,0.955236,1
214,1784793452370419989,138918,72989,0.943689,0
215,1784793452370566221,156096,93189,0.928817,1
216,1784793452370727243,146443,85156,0.934695,0
217,1784793452370878500,143977,82905,0.936351,1
218,1784793452371027141,152432,93057,0.928913,0
219,1784793452371184152,116663,55412,0.956876,1
220,1784793452371306581,118377,57679,0.955162,1
221,1784793452371430607,120496,61615,0.952196,1
222,1784793452371556155,144186,83174,0.936153,0
223,1784793452371706615,150364,88708,0.932090,0
224,1784793452371861822,150698,81422,0.937444,1
225,1784793452372017266,173199,62612,0.951446,0
226,1784793452372195871,163403,89957,0.931176,1
227,1784793452372363490,119956,59977,0.953429,1
228,1784793452372487409,109343,61421,0.952342,1
229,1784793452372600358,97786,43082,0.966266,1
230,1784793452372701270,110168,54339,0.957689,0
231,1784793452372815092,107930,52642,0.958976,0
232,1784793452372926910,108851,53668,0.958197,1
233,1784793452373039369,111294,56376,0.956147,0
234,1784793452373154319,108726,53003,0.958702,1
235,1784793452373266589,107383,52611,0.958999,0
236,1784793452373377672,107071,52743,0.958899,0
237,1784793452373488450,106649,52624,0.958989,0
238,1784793452373598803,107884,53459,0.958356,0
239,1784793452373710347,107640,52990,0.958712,1
240,1784793452373821897,107470,53179,0.958568,0
241,1784793452373933233,107481,52798,0.958857,0
242,1784793452374044239,107616,52969,0.958728,0
243,1784793452374155602,102294,52486,0.959094,1
244,1784793452374261657,91529,48801,0.961897,0
245,1784793452374356845,78580,42942,0.966374,1
246,1784793452374438626,87857,51013,0.960213,1
247,1784793452374530148,87827,50919,0.960285,1
248,1784793452374621706,88142,50757,0.960408,1
249,1784793452374713534,86914,50710,0.960443,1
250,1784793452374804435,89621,50148,0.960871,0
251,1784793452374899496,90760,50653,0.960487,0
252,1784793452374993808,86617,50091,0.960914,1
253,1784793452375083896,86147,49963,0.961012,1
254,1784793452375173544,86916,50555,0.960561,0
255,1784793452375264154,86340,50041,0.960952,0
