pgen,folder,csv_count_used,n_experiments_clean,total_attempts,mean_N,t_exp_theoretical_mean_ms,t_exp_mean_ms,t_exp_rtt_mean_ms,rtt_emp_mean_us,E_N_fixed_mean,E_N_real_mean,t_vuelta_fixed_ns,w_exp_fixed,t_vuelta_mean_ns,w_exp_real,Rate_fixed_throughput,Rate_real_throughput,Rate_rtt_throughput,Rate_fixed_attempt,Rate_real_attempt,Rate_rtt_attempt,Rate_fixed_indiv_mean,Rate_real_indiv_mean,Rate_rtt_indiv_mean,diff_w_%,diff_Rate_throughput_%,diff_Rate_attempt_%
0.1,csv_pgen0_1,6,525,5443,10.367619047619048,4.147047619047619,4.025575619047619,4.005611956190476,388.5465619378926,0.6321619218761156,0.6319626364404088,220000.0,0.6999238697750145,220226.64946983935,0.6998145342358905,157.03640465352237,156.9868998237624,157.7693104954267,39.7818786550478,39.775463682904494,39.89853188824682,412.44336289414315,412.3768549067603,413.6527791766237,-0.01562106163906255,-0.03152442891773608,-0.01612536250218043
0.2,csv_pgen0_2,6,1181,5446,4.611346316680779,1.8445385266723118,1.802490364098222,1.7935194648602881,390.66570724609244,0.6321619218761158,0.6385220132483661,220000.0,0.6999238697750144,213560.98367807415,0.7045815992044302,350.71583985547886,354.2443421426089,356.01621602590524,147.35936871201994,148.7839850407263,149.16856523354284,679.525082138578,686.0944813986413,687.8679138542542,0.6654622924794626,1.0060858068412437,0.9667633223174531
0.3,csv_pgen0_3,6,1694,5414,3.1959858323494688,1.2783943329397878,1.235198186540732,1.2294978122786306,386.11912153731095,0.6321619218761159,0.6207525191055282,220000.0,0.6999238697750145,231719.15062689345,0.6918165309463274,511.78987207432203,502.55297155511016,504.8829797875658,269.8697841553042,264.9525611020167,265.50285595889557,862.5000067395614,846.7846315267525,848.5433660929519,-1.15831723688651,-1.8048228429714783,-1.8220724742039833
0.4,csv_pgen0_4,6,2268,5457,2.4060846560846563,0.9624338624338625,0.9293449029982362,0.9252390105820107,385.8055116038185,0.6321619218761158,0.6342717731475062,220000.0,0.6999238697750143,217894.44999387616,0.7015141455033502,680.2231548660201,682.4934113279468,685.5220822871757,420.0945212885079,421.72947755481283,422.46476405015386,1010.7829817775079,1014.7168249632334,1016.4859865174998,0.22720695735767726,0.33375171746011095,0.38918771453867357
0.5,csv_pgen0_5,6,2847,5453,1.9153494906919564,0.7661397962767826,0.7420004889357219,0.7391900235335441,386.82920442236605,0.6321619218761159,0.6311598484285952,220000.0,0.6999238697750145,221074.0218308328,0.6992769118875313,851.9696837165815,850.6191813079402,853.853310156253,602.0793923816011,601.5109991305615,602.3335003639822,1153.1924575542223,1152.1037858303307,1153.6791631488568,-0.09243260809082238,-0.1585153127456329,-0.09440503332812974
0.6,csv_pgen0_6,6,3387,5474,1.6161795098907588,0.6464718039563037,0.6236110115146146,0.6216354145261292,385.4299644523176,0.6321619218761159,0.6472890716581238,220000.0,0.6999238697750144,204653.6194173802,0.7109572860434927,1013.7119297183879,1037.9692784545293,1041.2680110118088,784.4592281907942,803.5344513388256,804.4065309776345,1267.8269309466807,1298.655915745123,1300.0653529883587,1.576373766481907,2.392923277807358,2.431639843414785
0.7,csv_pgen0_7,7,4644,6406,1.3794142980189492,0.5517657192075797,0.5324682583979328,0.5311451074504737,385.6586712604077,0.6321619218761158,0.6386622708819829,220000.0,0.6999238697750143,213442.82079026703,0.7047210195917797,1187.2293078617247,1199.437263741433,1202.4252166184822,1002.5375498790482,1012.9966971646161,1013.7717147264682,1382.9146306040445,1397.3421279148429,1398.4111982208776,0.6853816570518432,1.0282727859621055,1.0432673855288201
0.8,csv_pgen0_8,6,4556,5522,1.2120280948200175,0.48481123792800696,0.4693914521510097,0.4686652032484636,387.1241252560726,0.6321619218761156,0.6391886605544709,220000.0,0.6999238697750144,212924.99206175006,0.705129508201503,1346.7691390186214,1361.739029599617,1363.8491958098373,1216.6803605632424,1230.0824226148889,1230.6531694636674,1474.6507794183988,1490.8944551535155,1491.586216369265,0.7437435200148117,1.1115409573391286,1.101526948741261
0.9,csv_pgen0_9,6,5076,5539,1.0912135539795114,0.4364854215918045,0.4210040535855004,0.42064282643814027,385.6761544523246,0.6321619218761158,0.6404272664069963,220000.0,0.6999238697750144,211600.25761754665,0.7059296670576413,1501.5578032854544,1521.1902615966949,1522.4965841683684,1434.5413876461319,1453.6170290217224,1453.9689876417622,1565.3910059440354,1586.2066043639322,1586.5906663805597,0.8580643612793726,1.3074726972404311,1.3297379594527279
1.0,csv_pgen1,7,6589,6589,1.0,0.4000000000000001,0.3788473637881318,0.378846623463348,378.84736378813176,0.6321619218761158,0.6319054280274384,220000.0,0.6999238697750144,220271.35999392928,0.6997532713598497,1668.645429006202,1667.9683915679245,1667.9716510356411,1669.0590303269107,1668.419907904434,1668.4230418117702,1669.0590303269107,1668.419907904434,1668.4230418117702,-0.024373853004841135,-0.040574074426386116,-0.0382923797699067
