pgen,n_attempts,t_exp_s,t_exp_rtt_s,t_exp_theoretical_ms,rtt_emp_us,t_vuelta_ns,w_real,E_N_real,rate_real_indiv,rate_real_rtt_indiv,w_fixed,E_N_fixed,rate_fixed_indiv
0.1,4,0.001542144,0.001534428,1.6,385.536,221035.0,0.699199823328468,0.6311506108729065,409.26827253026073,411.32631239322177,0.6999238697750143,0.6321619218761158,409.9240550014238
0.1,2,0.000779264,0.000770304,0.8,389.632,223150.5,0.6977222295780673,0.6290845814163163,807.2804356627745,816.6705371078383,0.6999238697750143,0.6321619218761158,811.2294702130674
0.1,32,0.012314624,0.012249348,12.8,384.832,220784.03125,0.6993753226556312,0.6313958044459169,51.27203270241275,51.54525811871105,0.6999238697750143,0.6321619218761158,51.33424470581609
0.1,25,0.009633024,0.009593803,10.0,385.32096000000007,220839.48,0.6993365442433264,0.6313416299474186,65.53929793462765,65.80723305944667,0.6999238697750143,0.6321619218761158,65.62445208027259
0.1,14,0.00545408,0.00542405,5.6000000000000005,389.57714285714286,222975.14285714287,0.6978445908829048,0.629255784191361,115.37340563236347,116.0121651148793,0.6999238697750143,0.6321619218761158,115.90624301002474
0.1,1,0.000382976,0.000382912,0.4,382.976,221078.0,0.6991697583824659,0.6311086023623643,1647.9064023917017,1648.1818338478927,0.6999238697750143,0.6321619218761158,1650.65675623568
0.1,6,0.002308608,0.002298862,2.4000000000000004,384.76800000000003,221129.83333333334,0.6991335190225345,0.63105796497172,273.3499862132159,274.50885045371143,0.6999238697750143,0.6321619218761158,273.8281777920356
0.1,13,0.004980992,0.004957617,5.2,383.1532307692308,219378.23076923078,0.7003591962233923,0.6327696224966035,127.03686785616269,127.63584248170109,0.6999238697750143,0.6321619218761158,126.91486392190868
0.1,1,0.000382208,0.000382252,0.4,382.20799999999997,219431.0,0.7003222397824355,0.6327180425289783,1655.4285690748973,1655.2380171430843,0.6999238697750143,0.6321619218761158,1653.9735481102325
0.1,4,0.001532928,0.001525468,1.6,383.232,220087.5,0.6998626291157269,0.6320764114982826,412.33274589431636,414.3491777594041,0.6999238697750143,0.6321619218761158,412.3885282779855
0.1,2,0.000763392,0.000759654,0.8,381.696,218983.0,0.7006360544350915,0.6331559738319822,829.3982303089136,833.479418040295,0.6999238697750143,0.6321619218761158,828.0960789163572
0.1,8,0.00310528,0.003079776,3.2,388.16,220884.75,0.6993048859945582,0.6312974010030078,203.29806040131896,204.9815963898049,0.6999238697750143,0.6321619218761158,203.57646391826685
0.1,24,0.009181184,0.009138741,9.600000000000001,382.5493333333334,218825.58333333334,0.7007463549086657,0.6333098676135466,68.97910635638569,69.2994656062084,0.6999238697750143,0.6321619218761158,68.85407392729692
0.1,12,0.0045952,0.004577545,4.800000000000001,382.93333333333334,218995.75,0.7006271213823457,0.6331435095107738,137.78366763378608,138.31508144884953,0.6999238697750143,0.6321619218761158,137.5700561185837
0.1,2,0.000769024,0.000761854,0.8,384.512,218137.5,0.701228692721647,0.6339826437435285,824.3990353272831,832.1576624176398,0.6999238697750143,0.6321619218761158,822.0314604955316
0.1,8,0.003055104,0.003039247,3.2,381.888,218724.5,0.700817192266219,0.6334086928833912,207.32802971139157,208.4097452044507,0.6999238697750143,0.6321619218761158,206.91993525461515
0.1,1,0.000380672,0.000380612,0.4,380.67199999999997,218449.0,0.7010102940012308,0.6336780549368471,1664.6300619348078,1664.8924756362046,0.6999238697750143,0.6321619218761158,1660.6472813238584
0.1,8,0.003051776,0.003043537,3.2,381.472,219523.125,0.7002577255678271,0.6326279958591026,207.29830625154094,207.8594726658827,0.6999238697750143,0.6321619218761158,207.14558403897132
0.1,25,0.009582592,0.009535032,10.0,383.30368,219155.04,0.7005155273763214,0.6329877929095964,66.05600999287003,66.3854922468636,0.6999238697750143,0.6321619218761158,65.96982547896391
