count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
50,1785326638660730190,385932,165970,0.877657,0
51,1785326638661118292,383052,164450,0.878688,0
52,1785326638661503614,389952,168289,0.876088,0
53,1785326638661896056,385112,166188,0.877510,0
54,1785326638662283448,382882,162368,0.880103,0
55,1785326638662668530,379022,162257,0.880178,0
56,1785326638663049162,378653,161847,0.880457,0
57,1785326638663429575,382832,163545,0.879303,0
58,1785326638663814897,378002,161194,0.880902,0
59,1785326638664195129,379212,161334,0.880806,0
60,1785326638664576281,381292,163653,0.879229,0
61,1785326638664959193,380582,162063,0.880310,0
62,1785326638665341515,383342,163492,0.879339,0
63,1785326638665726577,380232,161902,0.880420,0
64,1785326638666108369,384352,165771,0.877792,0
65,1785326638666494571,387462,164220,0.878844,0
66,1785326638666884133,382033,162980,0.879687,0
67,1785326638667268666,380872,162028,0.880334,0
68,1785326638667651318,380792,160797,0.881172,0
69,1785326638668033750,383032,164117,0.878914,0
70,1785326638668418252,384152,160286,0.881520,0
71,1785326638668804024,380172,162336,0.880124,0
72,1785326638669186696,381942,162935,0.879717,0
73,1785326638669570178,378622,161954,0.880384,0
74,1785326638669950330,378922,162404,0.880078,0
75,1785326638670336162,380812,161093,0.880970,0
76,1785326638670718864,379393,163313,0.879460,0
77,1785326638671100387,386882,169781,0.875080,0
78,1785326638671488879,385712,162020,0.880339,0
79,1785326638671876271,384832,165290,0.878118,0
80,1785326638672262743,382612,163379,0.879415,0
81,1785326638672646885,380652,161339,0.880803,0
82,1785326638673029247,377522,161688,0.880565,1
83,1785326638673408789,384362,164807,0.878446,0
84,1785326638673794881,388282,165857,0.877734,0
85,1785326638674184603,383662,165506,0.877972,0
86,1785326638674570175,381432,161375,0.880778,0
87,1785326638674953747,381702,164465,0.878678,0
88,1785326638675338309,381482,163064,0.879629,0
89,1785326638675722151,375962,161984,0.880364,0
90,1785326638676099823,375962,162433,0.880058,0
91,1785326638676477416,376202,160652,0.881271,0
92,1785326638676855168,377902,162621,0.879931,0
93,1785326638677234670,377682,162671,0.879897,0
94,1785326638677614182,375362,161120,0.880952,0
95,1785326638677990934,377752,162840,0.879782,0
96,1785326638678370326,379672,163049,0.879640,0
97,1785326638678751338,383052,161889,0.880428,0
98,1785326638679136100,388552,162468,0.880035,0
99,1785326638679526242,385882,163097,0.879607,0
100,1785326638679913754,382743,161937,0.880396,0
101,1785326638680298057,384422,164025,0.878977,0
102,1785326638680684199,384752,162094,0.880289,0
103,1785326638681070941,384582,163204,0.879534,0
104,1785326638681457133,380982,161983,0.880365,0
105,1785326638681839735,383612,161812,0.880481,0
106,1785326638682225507,381322,162752,0.879842,0
107,1785326638682608879,381712,161921,0.880407,0
108,1785326638682992011,384952,163181,0.879550,0
109,1785326638683378373,384913,164190,0.878865,0
110,1785326638683764846,378082,157478,0.883436,0
111,1785326638684144338,382002,157638,0.883327,0
112,1785326638684528010,379932,160687,0.881247,0
113,1785326638684909712,379552,158197,0.882945,0
114,1785326638685290914,379252,158486,0.882748,0
115,1785326638685673166,376472,157726,0.883267,0
116,1785326638686051238,380502,161045,0.881003,0
117,1785326638686433410,381382,161085,0.880976,1
118,1785326638686816332,380602,157574,0.883371,0
119,1785326638687198524,379762,158073,0.883030,0
120,1785326638687579896,386943,164203,0.878856,0
121,1785326638687968359,384502,163111,0.879598,0
122,1785326638688354661,386502,165920,0.877691,0
123,1785326638688742773,379392,161900,0.880421,1
124,1785326638689123795,379422,160609,0.881300,0
125,1785326638689505227,386852,167719,0.876473,0
126,1785326638689893809,379872,161698,0.880558,1
127,1785326638690276121,381792,161707,0.880552,0
128,1785326638690659453,383862,163927,0.879043,0
129,1785326638691044975,385893,163576,0.879282,0
130,1785326638691432458,384642,163014,0.879663,1
131,1785326638691818710,391452,164504,0.878651,0
132,1785326638692211952,383652,163463,0.879358,0
133,1785326638692597724,382742,164272,0.878809,0
134,1785326638692982356,387352,162442,0.880052,0
135,1785326638693371308,390222,162961,0.879699,0
136,1785326638693763180,383102,162590,0.879952,0
137,1785326638694147792,385992,164340,0.878763,0
138,1785326638694535644,384062,163019,0.879660,0
139,1785326638694921146,384582,163198,0.879538,0
140,1785326638695307248,386992,163658,0.879226,0
141,1785326638695695860,393903,173437,0.872616,1
142,1785326638696091503,382942,162825,0.879792,0
143,1785326638696477245,380852,160724,0.881222,0
144,1785326638696859687,384392,164394,0.878726,1
145,1785326638697245719,384532,163073,0.879623,0
146,1785326638697631951,383412,162653,0.879909,0
147,1785326638698017373,384712,163852,0.879094,1
148,1785326638698403485,388682,162321,0.880135,0
149,1785326638698793767,390343,169350,0.875371,0
150,1785326638699185610,389132,164529,0.878635,0
151,1785326638699576522,384752,162358,0.880109,0
152,1785326638699962744,384532,162887,0.879750,1
153,1785326638700348706,384052,161717,0.880546,1
154,1785326638700734408,382372,161746,0.880526,0
155,1785326638701118560,382802,163445,0.879371,0
156,1785326638701503072,385012,162125,0.880268,0
157,1785326638701890144,383923,163494,0.879337,0
158,1785326638702276097,383722,163062,0.879631,0
159,1785326638702667929,379012,161322,0.880814,0
160,1785326638703048531,382092,164361,0.878749,0
161,1785326638703432103,383972,162951,0.879706,0
162,1785326638703817855,383822,162600,0.879945,0
163,1785326638704203827,383552,162939,0.879714,0
164,1785326638704589119,390062,162309,0.880143,0
165,1785326638704980781,389012,164928,0.878364,0
166,1785326638705371234,391812,162966,0.879696,0
167,1785326638705764636,390342,163875,0.879078,0
168,1785326638706156418,383982,163314,0.879460,0
169,1785326638706541950,387212,164954,0.878346,0
170,1785326638706930922,387382,163853,0.879093,0
171,1785326638707319874,390122,165502,0.877975,0
172,1785326638707711496,386062,161502,0.880692,0
173,1785326638708099088,382653,162781,0.879822,0
174,1785326638708483281,381522,160939,0.881075,0
175,1785326638708866523,384112,162939,0.879714,0
176,1785326638709252475,386492,165028,0.878296,0
177,1785326638709640877,384792,164047,0.878962,0
178,1785326638710027629,382552,162977,0.879689,1
179,1785326638710418311,383882,161766,0.880512,0
180,1785326638710803783,380862,161815,0.880479,0
181,1785326638711186285,385432,164585,0.878597,0
182,1785326638711573397,389322,167464,0.876646,0
183,1785326638711964299,383142,162073,0.880303,0
184,1785326638712349061,384082,161783,0.880501,0
185,1785326638712734863,387053,164222,0.878843,0
186,1785326638713123426,400072,169150,0.875506,1
187,1785326638713525148,392802,165599,0.877909,0
188,1785326638713919660,390562,164478,0.878669,0
189,1785326638714311772,386652,163488,0.879341,0
190,1785326638714699924,386272,163297,0.879471,0
191,1785326638715087786,389612,165676,0.877857,0
192,1785326638715479268,395033,165775,0.877789,0
193,1785326638715875981,397022,165754,0.877804,0
194,1785326638716275603,387502,163433,0.879379,0
195,1785326638716664835,383122,163982,0.879006,0
196,1785326638717049527,380362,162421,0.880067,0
197,1785326638717431339,391552,163151,0.879570,0
198,1785326638717824541,385082,162010,0.880346,0
199,1785326638718212533,382233,162269,0.880170,0
200,1785326638718596386,381772,161328,0.880810,0
201,1785326638718979758,383592,163427,0.879383,0
202,1785326638719364950,384282,162266,0.880172,0
203,1785326638719750972,381082,160846,0.881139,0
204,1785326638720133574,387672,163265,0.879493,0
205,1785326638720522786,401712,175954,0.870925,0
206,1785326638720926168,388192,163233,0.879515,0
207,1785326638721315990,386653,164913,0.878374,0
208,1785326638721704173,382022,163661,0.879224,0
