seq,ts_emit,ts_recv,latency_us,w,bit
113,1789388428973223073,1789388428973329758,106.685,0.475,1
114,1789388428973808134,1789388428973935000,126.866,0.475,1
115,1789388428974399454,1789388428974533880,134.426,0.475,1
116,1789388428974999923,1789388428975120605,120.682,0.475,1
117,1789388428975592009,1789388428975717427,125.418,0.475,1
118,1789388428976186753,1789388428976297131,110.378,0.475,1
119,1789388428976785463,1789388428976884171,98.708,0.0,0
120,1789388428977414943,1789388428977507475,92.532,0.475,1
121,1789388428977999817,1789388428978088596,88.779,0.475,1
122,1789388428978585532,1789388428978714520,128.988,0.475,1
123,1789388428979185610,1789388428979360910,175.3,0.475,1
124,1789388428979775967,1789388428979893771,117.804,0.475,1
125,1789388428980363771,1789388428980527454,163.683,0.0,0
126,1789388428980956742,1789388428981059477,102.735,0.475,1
127,1789388428981552102,1789388428981780072,227.97,0.475,1
128,1789388428982144408,1789388428982278328,133.92,0.475,1
129,1789388428982740796,1789388428982869440,128.644,0.475,1
130,1789388428983340730,1789388428983520322,179.592,0.475,1
131,1789388428983951041,1789388428984154297,203.256,0.475,1
132,1789388428984584943,1789388428984764299,179.356,0.0,0
133,1789388428985182016,1789388428985345382,163.366,0.475,1
134,1789388428985826288,1789388428985983607,157.319,0.475,1
135,1789388428986409389,1789388428986519153,109.764,0.475,1
136,1789388428987001463,1789388428987147551,146.088,0.475,1
137,1789388428987594623,1789388428987792534,197.911,0.475,1
138,1789388428988201127,1789388428988353445,152.318,0.475,1
139,1789388428988811016,1789388428988955778,144.762,0.475,1
140,1789388428989412800,1789388428989527316,114.516,0.475,1
141,1789388428990011547,1789388428990147049,135.502,0.0,0
142,1789388428990597353,1789388428990692974,95.621,0.475,1
143,1789388428991190957,1789388428991303518,112.561,0.475,1
144,1789388428991787580,1789388428991930692,143.112,0.475,1
145,1789388428992378570,1789388428992523664,145.094,0.475,1
146,1789388428992975402,1789388428993102857,127.455,0.0,0
147,1789388428993573556,1789388428993757034,183.478,0.475,1
148,1789388428994169024,1789388428994330155,161.131,0.475,1
149,1789388428994787075,1789388428994942634,155.559,0.475,1
150,1789388428995394509,1789388428995542836,148.327,0.475,1
151,1789388428996010747,1789388428996219937,209.19,0.0,0
152,1789388428996645033,1789388428996843697,198.664,0.475,1
153,1789388428997341804,1789388428997504536,162.732,0.475,1
154,1789388428997937591,1789388428998081075,143.484,0.0,0
155,1789388428998527665,1789388428998642299,114.634,0.475,1
156,1789388428999112785,1789388428999228048,115.263,0.475,1
157,1789388428999743265,1789388428999906996,163.731,0.475,1
158,1789388429000339899,1789388429000501555,161.656,0.475,1
