seq,ts_emit,w,bit
199,1789388429025868945,0.475,1
200,1789388429026478581,0.475,1
201,1789388429027061161,0.475,1
202,1789388429027682989,0.475,1
203,1789388429028302277,0.475,1
204,1789388429028922409,0.475,1
205,1789388429029502036,0.475,1
206,1789388429030126057,0.475,1
207,1789388429030726353,0.475,1
208,1789388429031345197,0.475,1
209,1789388429031932789,0.475,1
210,1789388429032535886,0.475,1
211,1789388429033167786,0.0,0
212,1789388429033791319,0.0,0
213,1789388429034428627,0.475,1
214,1789388429035045458,0.475,1
215,1789388429035653514,0.475,1
216,1789388429036351980,0.475,1
217,1789388429037101173,0.475,1
218,1789388429037706067,0.475,1
219,1789388429038307731,0.475,1
220,1789388429038918170,0.475,1
221,1789388429039522857,0.0,0
222,1789388429040127166,0.475,1
223,1789388429040748374,0.0,0
224,1789388429041383613,0.475,1
225,1789388429041985472,0.475,1
226,1789388429042574328,0.475,1
227,1789388429043169747,0.475,1
228,1789388429043796016,0.0,0
229,1789388429044406030,0.475,1
230,1789388429045003545,0.475,1
231,1789388429045614907,0.475,1
232,1789388429046232332,0.475,1
233,1789388429046848117,0.475,1
234,1789388429047488854,0.475,1
235,1789388429048122818,0.0,0
236,1789388429048766221,0.475,1
237,1789388429049430403,0.475,1
238,1789388429050099086,0.475,1
239,1789388429050760225,0.0,0
240,1789388429051407015,0.475,1
241,1789388429052059952,0.475,1
242,1789388429052701830,0.475,1
243,1789388429053360751,0.475,1
244,1789388429053968946,0.0,0
245,1789388429054611717,0.475,1
246,1789388429055233795,0.475,1
247,1789388429055844450,0.475,1
248,1789388429056463761,0.475,1
249,1789388429057081234,0.475,1
250,1789388429057696304,0.475,1
251,1789388429058297393,0.475,1
252,1789388429058902379,0.0,0
253,1789388429059512855,0.475,1
254,1789388429060196509,0.475,1
255,1789388429060803447,0.475,1
256,1789388429061423812,0.475,1
257,1789388429062048800,0.475,1
258,1789388429062658905,0.475,1
259,1789388429063265113,0.475,1
260,1789388429063870589,0.0,0
261,1789388429064478874,0.475,1
262,1789388429065081546,0.475,1
263,1789388429065678939,0.475,1
264,1789388429066278739,0.475,1
265,1789388429066882846,0.475,1
266,1789388429067477527,0.475,1
