seq,ts_emit,ts_recv,latency_us,w,bit
0,1789388428905785018,1789388428906092282,307.264,0.475,1
1,1789388428906406968,1789388428906528533,121.565,0.475,1
2,1789388428907004814,1789388428907112678,107.864,0.475,1
3,1789388428907587987,1789388428907676618,88.631,0.475,1
4,1789388428908167210,1789388428908262530,95.32,0.475,1
5,1789388428908745578,1789388428909052451,306.873,0.475,1
6,1789388428909326346,1789388428909414645,88.299,0.475,1
7,1789388428909907985,1789388428910068686,160.701,0.475,1
8,1789388428910490511,1789388428910634187,143.676,0.475,1
9,1789388428911111702,1789388428911247057,135.355,0.475,1
10,1789388428911780072,1789388428911919621,139.549,0.475,1
11,1789388428912395871,1789388428912582654,186.783,0.475,1
12,1789388428913012359,1789388428913155075,142.716,0.0,0
13,1789388428913636788,1789388428913803973,167.185,0.475,1
14,1789388428914244429,1789388428914373737,129.308,0.475,1
15,1789388428914847187,1789388428914966881,119.694,0.475,1
16,1789388428915439807,1789388428915581748,141.941,0.475,1
17,1789388428916031122,1789388428916148408,117.286,0.475,1
18,1789388428916616411,1789388428916704643,88.232,0.475,1
19,1789388428917200003,1789388428917374419,174.416,0.475,1
20,1789388428917789501,1789388428918043993,254.492,0.475,1
21,1789388428918420332,1789388428918734064,313.732,0.475,1
22,1789388428919034042,1789388428919197873,163.831,0.475,1
23,1789388428919636008,1789388428919844630,208.622,0.475,1
24,1789388428920238226,1789388428920492558,254.332,0.475,1
25,1789388428920837463,1789388428920998395,160.932,0.0,0
26,1789388428921436768,1789388428921621135,184.367,0.475,1
27,1789388428922103313,1789388428922274531,171.218,0.475,1
28,1789388428922691122,1789388428922819817,128.695,0.475,1
29,1789388428923278897,1789388428923370955,92.058,0.0,0
30,1789388428923860904,1789388428923965372,104.468,0.0,0
31,1789388428924447672,1789388428924570302,122.63,0.475,1
32,1789388428925075460,1789388428925242238,166.778,0.475,1
33,1789388428925686353,1789388428925900117,213.764,0.475,1
34,1789388428926279308,1789388428926413532,134.224,0.475,1
35,1789388428926873751,1789388428926990148,116.397,0.475,1
36,1789388428927469710,1789388428927569028,99.318,0.475,1
37,1789388428928065765,1789388428928189251,123.486,0.475,1
38,1789388428928663304,1789388428928829250,165.946,0.475,1
39,1789388428929255664,1789388428929351508,95.844,0.475,1
40,1789388428929848595,1789388428930061837,213.242,0.0,0
41,1789388428930439499,1789388428930654628,215.129,0.475,1
42,1789388428931028958,1789388428931175262,146.304,0.475,1
43,1789388428931614012,1789388428931716715,102.703,0.475,1
44,1789388428932217004,1789388428932387053,170.049,0.475,1
45,1789388428932844188,1789388428932956932,112.744,0.475,1
46,1789388428933443041,1789388428933552372,109.331,0.475,1
47,1789388428934036312,1789388428934211120,174.808,0.475,1
48,1789388428934624822,1789388428934743379,118.557,0.475,1
49,1789388428935209485,1789388428935332113,122.628,0.475,1
50,1789388428935806152,1789388428935914384,108.232,0.475,1
51,1789388428936397638,1789388428936528739,131.101,0.475,1
52,1789388428936989494,1789388428937093797,104.303,0.475,1
53,1789388428937579597,1789388428937708697,129.1,0.475,1
54,1789388428938170965,1789388428938266710,95.745,0.475,1
55,1789388428938759413,1789388428938889096,129.683,0.475,1
56,1789388428939350906,1789388428939546208,195.302,0.475,1
57,1789388428939945989,1789388428940058292,112.303,0.475,1
58,1789388428940539124,1789388428940639478,100.354,0.475,1
59,1789388428941126757,1789388428941221314,94.557,0.475,1
60,1789388428941711315,1789388428941803849,92.534,0.475,1
61,1789388428942295402,1789388428942423055,127.653,0.475,1
62,1789388428942878833,1789388428943002289,123.456,0.0,0
63,1789388428943463356,1789388428943549911,86.555,0.0,0
64,1789388428944049550,1789388428944155907,106.357,0.0,0
65,1789388428944643618,1789388428944750929,107.311,0.0,0
66,1789388428945237636,1789388428945347290,109.654,0.475,1
67,1789388428945832144,1789388428946005505,173.361,0.475,1
68,1789388428946420965,1789388428946552931,131.966,0.475,1
69,1789388428947015209,1789388428947204074,188.865,0.475,1
70,1789388428947611868,1789388428947711022,99.154,0.475,1
71,1789388428948201994,1789388428948331108,129.114,0.475,1
72,1789388428948789140,1789388428948890734,101.594,0.475,1
73,1789388428949378644,1789388428949477426,98.782,0.475,1
74,1789388428950006075,1789388428950099943,93.868,0.475,1
75,1789388428950592933,1789388428950720283,127.35,0.0,0
76,1789388428951175038,1789388428951277376,102.338,0.475,1
77,1789388428951756668,1789388428951863257,106.589,0.475,1
78,1789388428952384183,1789388428952535919,151.736,0.475,1
79,1789388428952967546,1789388428953039549,72.003,0.475,1
80,1789388428953563005,1789388428953686201,123.196,0.475,1
81,1789388428954151034,1789388428954259395,108.361,0.475,1
82,1789388428954738028,1789388428954931717,193.689,0.475,1
83,1789388428955320969,1789388428955406635,85.666,0.475,1
84,1789388428955906828,1789388428956021067,114.239,0.0,0
85,1789388428956498552,1789388428956613985,115.433,0.475,1
86,1789388428957091635,1789388428957215563,123.928,0.0,0
87,1789388428957674782,1789388428957770791,96.009,0.475,1
88,1789388428958258628,1789388428958371271,112.643,0.475,1
89,1789388428958843141,1789388428958939674,96.533,0.475,1
90,1789388428959425263,1789388428959505777,80.514,0.475,1
91,1789388428960011827,1789388428960134039,122.212,0.475,1
92,1789388428960597860,1789388428960744571,146.711,0.0,0
93,1789388428961189836,1789388428961297509,107.673,0.475,1
94,1789388428961794520,1789388428961893727,99.207,0.0,0
95,1789388428962384386,1789388428962488334,103.948,0.0,0
96,1789388428962973345,1789388428963087113,113.768,0.475,1
97,1789388428963559277,1789388428963652056,92.779,0.475,1
98,1789388428964142855,1789388428964237254,94.399,0.475,1
99,1789388428964726211,1789388428964813792,87.581,0.475,1
100,1789388428965309748,1789388428965405028,95.28,0.475,1
101,1789388428965897300,1789388428966182251,284.951,0.475,1
102,1789388428966484384,1789388428966614965,130.581,0.0,0
103,1789388428967082897,1789388428967411600,328.703,0.475,1
104,1789388428967792371,1789388428968009036,216.665,0.475,1
105,1789388428968444138,1789388428968564189,120.051,0.475,1
106,1789388428969048738,1789388428969192231,143.493,0.475,1
107,1789388428969647277,1789388428969826191,178.914,0.475,1
108,1789388428970249844,1789388428970370053,120.209,0.475,1
109,1789388428970870881,1789388428971000139,129.258,0.475,1
110,1789388428971470368,1789388428971598201,127.833,0.475,1
111,1789388428972056613,1789388428972163160,106.547,0.475,1
112,1789388428972639899,1789388428972764943,125.044,0.0,0
113,1789388428973223073,1789388428973324764,101.691,0.475,1
114,1789388428973808134,1789388428973916507,108.373,0.475,1
115,1789388428974399454,1789388428974581040,181.586,0.475,1
116,1789388428974999923,1789388428975127572,127.649,0.475,1
117,1789388428975592009,1789388428975835050,243.041,0.475,1
118,1789388428976186753,1789388428976281167,94.414,0.475,1
119,1789388428976785463,1789388428976897156,111.693,0.0,0
120,1789388428977414943,1789388428977505180,90.237,0.475,1
121,1789388428977999817,1789388428978097107,97.29,0.475,1
122,1789388428978585532,1789388428978717465,131.933,0.475,1
123,1789388428979185610,1789388428979302775,117.165,0.475,1
124,1789388428979775967,1789388428979871815,95.848,0.475,1
125,1789388428980363771,1789388428980525167,161.396,0.0,0
126,1789388428980956742,1789388428981097154,140.412,0.475,1
127,1789388428981552102,1789388428981730157,178.055,0.475,1
128,1789388428982144408,1789388428982332903,188.495,0.475,1
129,1789388428982740796,1789388428982886148,145.352,0.475,1
130,1789388428983340730,1789388428983472515,131.785,0.475,1
131,1789388428983951041,1789388428984104101,153.06,0.475,1
132,1789388428984584943,1789388428984751954,167.011,0.0,0
133,1789388428985182016,1789388428985356926,174.91,0.475,1
