sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
25,1780657635843907459,1780657635843908582,1780657635843913537,1780657635843914790,1123,1253,65,1188,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
26,1780657635843941474,1780657635843942711,1780657635843947556,1780657635843948740,1237,1184,-26,1210,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
27,1780657635843976555,1780657635843977699,1780657635843982916,1780657635843984117,1144,1201,28,1172,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
28,1780657635844011263,1780657635844012434,1780657635844017369,1780657635844018424,1171,1055,-58,1113,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
29,1780657635844045367,1780657635844046499,1780657635844051196,1780657635844052535,1132,1339,103,1235,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
30,1780657635844076628,1780657635844077688,1780657635844082829,1780657635844083935,1060,1106,23,1083,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
31,1780657635844107524,1780657635844108576,1780657635844113661,1780657635844114898,1052,1237,92,1144,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
32,1780657635844138052,1780657635844139102,1780657635844144161,1780657635844145239,1050,1078,14,1064,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
33,1780657635844168385,1780657635844169440,1780657635844177379,1780657635844179471,1055,2092,518,1573,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
34,1780657635844203922,1780657635844204983,1780657635844209811,1780657635844210928,1061,1117,28,1089,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,11,97,15,11,621.922031,18,988,1196,821,1072,1628,988,0,ok
