sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
30,1780650978569356654,1780650978569381096,1780650978569381258,1780650978569400739,24442,19481,-2481,21961,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
31,1780650978569412445,1780650978569432545,1780650978569432679,1780650978569451058,20100,18379,-861,19239,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
32,1780650978569462149,1780650978569475117,1780650978569475235,1780650978569500145,12968,24910,5971,18939,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
33,1780650978569518088,1780650978569530229,1780650978569530361,1780650978569551585,12141,21224,4541,16682,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
34,1780650978569564831,1780650978569587079,1780650978569587294,1780650978569606104,22248,18810,-1719,20529,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
35,1780650978569617429,1780650978569630248,1780650978569630385,1780650978569647952,12819,17567,2374,15193,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
36,1780650978569659215,1780650978569671644,1780650978569671766,1780650978569689172,12429,17406,2488,14917,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
37,1780650978569700395,1780650978569713391,1780650978569713493,1780650978569730901,12996,17408,2206,15202,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
38,1780650978569742131,1780650978569754587,1780650978569754707,1780650978569772267,12456,17560,2552,15008,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
39,1780650978569783759,1780650978569796283,1780650978569796382,1780650978569813815,12524,17433,2454,14978,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
40,1780650978569824989,1780650978569837466,1780650978569837581,1780650978569859461,12477,21880,4701,17178,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
41,1780650978569870665,1780650978569883047,1780650978569883147,1780650978569900624,12382,17477,2547,14929,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
42,1780650978569911804,1780650978569924445,1780650978569924638,1780650978569941903,12641,17265,2312,14953,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
43,1780650978569953204,1780650978569965709,1780650978569965823,1780650978569983215,12505,17392,2443,14948,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
44,1780650978569994331,1780650978570006951,1780650978570007075,1780650978570024468,12620,17393,2386,15006,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
45,1780650978570035666,1780650978570048236,1780650978570048337,1780650978570065889,12570,17552,2491,15061,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
46,1780650978570077085,1780650978570089569,1780650978570089700,1780650978570107054,12484,17354,2435,14919,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
47,1780650978570118336,1780650978570130897,1780650978570131016,1780650978570148417,12561,17401,2420,14981,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
48,1780650978570159683,1780650978570172177,1780650978570172299,1780650978570189544,12494,17245,2375,14869,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
49,1780650978570200853,1780650978570213254,1780650978570213371,1780650978570230682,12401,17311,2455,14856,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
50,1780650978570241917,1780650978570254546,1780650978570254670,1780650978570271860,12629,17190,2280,14909,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
51,1780650978570283083,1780650978570295625,1780650978570295733,1780650978570313038,12542,17305,2381,14923,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
52,1780650978570324460,1780650978570336956,1780650978570337091,1780650978570357955,12496,20864,4184,16680,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
53,1780650978570368260,1780650978570379579,1780650978570379676,1780650978570395357,11319,15681,2181,13500,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
54,1780650978570405631,1780650978570416843,1780650978570416953,1780650978570432668,11212,15715,2251,13463,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
55,1780650978570442948,1780650978570454194,1780650978570454302,1780650978570469886,11246,15584,2169,13415,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
56,1780650978570480143,1780650978570495818,1780650978570495920,1780650978570511590,15675,15670,-3,15672,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
57,1780650978570521782,1780650978570533013,1780650978570533130,1780650978570549912,11231,16782,2775,14006,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
58,1780650978570560053,1780650978570572481,1780650978570572603,1780650978570588170,12428,15567,1569,13997,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
59,1780650978570598387,1780650978570609806,1780650978570609906,1780650978570625578,11419,15672,2126,13545,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
60,1780650978570635824,1780650978570647168,1780650978570647289,1780650978570662935,11344,15646,2151,13495,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
61,1780650978570673059,1780650978570684310,1780650978570684427,1780650978570700189,11251,15762,2255,13506,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
62,1780650978570710390,1780650978570721822,1780650978570721927,1780650978570738286,11432,16359,2463,13895,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
63,1780650978570749645,1780650978570762067,1780650978570762195,1780650978570779571,12422,17376,2477,14899,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
64,1780650978570790891,1780650978570803814,1780650978570803935,1780650978570821421,12923,17486,2281,15204,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
65,1780650978570832839,1780650978570845280,1780650978570845401,1780650978570863113,12441,17712,2635,15076,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
66,1780650978570874390,1780650978570886985,1780650978570887109,1780650978570904650,12595,17541,2473,15068,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
67,1780650978570915974,1780650978570928430,1780650978570928569,1780650978570946376,12456,17807,2675,15131,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
68,1780650978570957636,1780650978570969996,1780650978570970125,1780650978570987652,12360,17527,2583,14943,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
69,1780650978570999000,1780650978571011342,1780650978571011440,1780650978571029007,12342,17567,2612,14954,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
70,1780650978571040480,1780650978571053113,1780650978571053241,1780650978571070642,12633,17401,2384,15017,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
71,1780650978571081998,1780650978571094628,1780650978571094761,1780650978571115054,12630,20293,3831,16461,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
72,1780650978571125253,1780650978571136633,1780650978571136747,1780650978571152599,11380,15852,2236,13616,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
73,1780650978571162718,1780650978571173829,1780650978571173937,1780650978571189520,11111,15583,2236,13347,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
74,1780650978571199593,1780650978571210840,1780650978571210962,1780650978571226528,11247,15566,2159,13406,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
75,1780650978571236682,1780650978571247852,1780650978571247943,1780650978571263651,11170,15708,2269,13439,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
76,1780650978571273845,1780650978571285203,1780650978571285330,1780650978571301473,11358,16143,2392,13750,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
77,1780650978571311658,1780650978571323018,1780650978571323128,1780650978571339097,11360,15969,2304,13664,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
78,1780650978571349387,1780650978571360671,1780650978571360890,1780650978571376738,11284,15848,2282,13566,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
79,1780650978571386901,1780650978571398052,1780650978571398169,1780650978571413949,11151,15780,2314,13465,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
80,1780650978571424208,1780650978571435389,1780650978571435513,1780650978571451285,11181,15772,2295,13476,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
81,1780650978571461478,1780650978571472507,1780650978571472622,1780650978571488379,11029,15757,2364,13393,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
82,1780650978571498579,1780650978571509798,1780650978571509902,1780650978571525395,11219,15493,2137,13356,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
83,1780650978571535687,1780650978571546880,1780650978571546995,1780650978571562769,11193,15774,2290,13483,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
84,1780650978571572939,1780650978571584183,1780650978571584287,1780650978571599917,11244,15630,2193,13437,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
85,1780650978571610101,1780650978571621284,1780650978571621383,1780650978571637005,11183,15622,2219,13402,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
86,1780650978571647091,1780650978571658322,1780650978571658447,1780650978571674039,11231,15592,2180,13411,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
87,1780650978571684222,1780650978571695487,1780650978571695598,1780650978571711119,11265,15521,2128,13393,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
88,1780650978571721225,1780650978571732472,1780650978571732581,1780650978571748399,11247,15818,2285,13532,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
89,1780650978571758562,1780650978571769573,1780650978571769688,1780650978571785272,11011,15584,2286,13297,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
90,1780650978571795456,1780650978571806562,1780650978571806668,1780650978571822391,11106,15723,2308,13414,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
91,1780650978571832523,1780650978571843854,1780650978571843960,1780650978571859527,11331,15567,2118,13449,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
92,1780650978571869645,1780650978571880857,1780650978571880972,1780650978571896673,11212,15701,2244,13456,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
93,1780650978571906775,1780650978571917894,1780650978571918001,1780650978571933674,11119,15673,2277,13396,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
94,1780650978571944057,1780650978571955001,1780650978571955178,1780650978571970878,10944,15700,2378,13322,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
95,1780650978571981116,1780650978571992211,1780650978571992361,1780650978572007994,11095,15633,2269,13364,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
96,1780650978572019934,1780650978572031339,1780650978572031464,1780650978572046974,11405,15510,2052,13457,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
97,1780650978572071752,1780650978572086537,1780650978572086647,1780650978572105316,14785,18669,1942,16727,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
98,1780650978572116890,1780650978572129353,1780650978572129483,1780650978572147054,12463,17571,2554,15017,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
99,1780650978572158392,1780650978572170849,1780650978572170967,1780650978572188309,12457,17342,2442,14899,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
100,1780650978572199678,1780650978572212064,1780650978572212192,1780650978572229608,12386,17416,2515,14901,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
101,1780650978572240882,1780650978572253264,1780650978572253383,1780650978572271169,12382,17786,2702,15084,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
102,1780650978572281497,1780650978572322237,1780650978572322370,1780650978572347103,40740,24733,-8004,32736,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
103,1780650978572363034,1780650978572382785,1780650978572382917,1780650978572402827,19751,19910,79,19830,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
104,1780650978572414546,1780650978572426857,1780650978572426987,1780650978572445180,12311,18193,2941,15252,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
105,1780650978572456608,1780650978572468617,1780650978572468747,1780650978572507606,12009,38859,13425,25434,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
106,1780650978572522024,1780650978572541577,1780650978572541704,1780650978572564533,19553,22829,1638,21191,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
107,1780650978572578035,1780650978572596015,1780650978572596155,1780650978572615046,17980,18891,455,18435,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
108,1780650978572626516,1780650978572638306,1780650978572638411,1780650978572656294,11790,17883,3046,14836,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
109,1780650978572667720,1780650978572679755,1780650978572679878,1780650978572697513,12035,17635,2800,14835,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
110,1780650978572708854,1780650978572722764,1780650978572722988,1780650978572740840,13910,17852,1971,15881,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
111,1780650978572752112,1780650978572764558,1780650978572764712,1780650978572782369,12446,17657,2605,15051,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
112,1780650978572793740,1780650978572806033,1780650978572806172,1780650978572824035,12293,17863,2785,15078,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
113,1780650978572835347,1780650978572847096,1780650978572847217,1780650978572867349,11749,20132,4191,15940,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
114,1780650978572877473,1780650978572888041,1780650978572888170,1780650978572904212,10568,16042,2737,13305,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
115,1780650978572914456,1780650978572925034,1780650978572925154,1780650978572941154,10578,16000,2711,13289,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
116,1780650978572951188,1780650978572961811,1780650978572961922,1780650978572977878,10623,15956,2666,13289,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
117,1780650978572988133,1780650978572998749,1780650978572998865,1780650978573014800,10616,15935,2659,13275,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
118,1780650978573025083,1780650978573035621,1780650978573035738,1780650978573057407,10538,21669,5565,16103,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
119,1780650978573067483,1780650978573113102,1780650978573113213,1780650978573136855,45619,23642,-10989,34630,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
120,1780650978573152441,1780650978573165948,1780650978573166084,1780650978573183713,13507,17629,2061,15568,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
121,1780650978573195390,1780650978573207944,1780650978573208073,1780650978573225427,12554,17354,2400,14954,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
122,1780650978573236778,1780650978573249456,1780650978573249566,1780650978573268516,12678,18950,3136,15814,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
123,1780650978573279853,1780650978573323362,1780650978573323498,1780650978573351046,43509,27548,-7981,35528,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
124,1780650978573367563,1780650978573379245,1780650978573379377,1780650978573397495,11682,18118,3218,14900,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
125,1780650978573409168,1780650978573421068,1780650978573421202,1780650978573438823,11900,17621,2860,14760,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
126,1780650978573450316,1780650978573462226,1780650978573462347,1780650978573480248,11910,17901,2995,14905,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
127,1780650978573491616,1780650978573503752,1780650978573503894,1780650978573521811,12136,17917,2890,15026,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
128,1780650978573533212,1780650978573545195,1780650978573545320,1780650978573563026,11983,17706,2861,14844,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
129,1780650978573574413,1780650978573586535,1780650978573586665,1780650978573604107,12122,17442,2660,14782,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
130,1780650978573615396,1780650978573628055,1780650978573628315,1780650978573648532,12659,20217,3779,16438,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
131,1780650978573658700,1780650978573669490,1780650978573669633,1780650978573685360,10790,15727,2468,13258,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
132,1780650978573695535,1780650978573706366,1780650978573706505,1780650978573722330,10831,15825,2497,13328,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
133,1780650978573732411,1780650978573743173,1780650978573743283,1780650978573758987,10762,15704,2471,13233,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
134,1780650978573769175,1780650978573779703,1780650978573779829,1780650978573795623,10528,15794,2633,13161,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
135,1780650978573805784,1780650978573816541,1780650978573816658,1780650978573832249,10757,15591,2417,13174,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
