round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
0,1789997551678161188,0.936765,0.948987,0.888978,1
1,1789997551678623094,0.997223,0.982274,0.979546,1
2,1789997551678966892,0.987639,0.997262,0.984935,1
3,1789997551679623693,0.990126,0.629893,0.623674,1
4,1789997551679893594,0.997470,0.989757,0.987253,1
5,1789997551680144568,0.997493,0.989526,0.987046,1
6,1789997551680355686,0.996408,0.974485,0.970985,1
7,1789997551680539452,0.989826,0.997568,0.987419,1
8,1789997551680742723,0.997066,0.988071,0.985172,1
9,1789997551680951003,0.965677,0.996198,0.962006,1
10,1789997551681136342,0.987289,0.997204,0.984529,1
11,1789997551681323567,0.988948,0.997460,0.986436,1
12,1789997551681531250,0.989422,0.997410,0.986860,1
13,1789997551681716308,0.997465,0.989638,0.987130,1
14,1789997551681919967,0.989368,0.997307,0.986703,1
15,1789997551682106336,0.997539,0.989703,0.987268,1
16,1789997551682302877,0.988643,0.997452,0.986124,1
17,1789997551682519243,0.988912,0.997290,0.986232,1
18,1789997551682717319,0.997380,0.988898,0.986308,1
19,1789997551682916644,0.989314,0.997367,0.986710,1
20,1789997551683109208,0.997246,0.988691,0.985968,1
21,1789997551683407186,0.994594,0.943480,0.938379,1
22,1789997551683584388,0.997133,0.985188,0.982363,1
23,1789997551683785664,0.989711,0.997427,0.987165,1
24,1789997551684000355,0.997203,0.988693,0.985928,1
25,1789997551684204883,0.989689,0.997360,0.987076,1
26,1789997551684411673,0.981857,0.996532,0.978452,1
27,1789997551684653174,0.981498,0.997030,0.978584,1
28,1789997551684983505,0.994028,0.906541,0.901127,1
29,1789997551685419449,0.990839,0.864112,0.856196,1
30,1789997551686253022,0.962343,0.788479,0.758788,1
31,1789997551686706942,0.988951,0.897834,0.887914,1
32,1789997551686944017,0.997133,0.989399,0.986562,1
33,1789997551687160785,0.997460,0.988589,0.986078,1
34,1789997551687414726,0.979748,0.995430,0.975271,1
35,1789997551687812788,0.973903,0.995495,0.969515,1
36,1789997551688165189,0.994906,0.971645,0.966695,1
37,1789997551688435480,0.997121,0.984125,0.981292,1
38,1789997551688630985,0.983922,0.997033,0.981003,1
39,1789997551688819117,0.984700,0.997159,0.981903,1
40,1789997551688999296,0.985018,0.997161,0.982222,1
41,1789997551689187238,0.984402,0.996808,0.981260,1
42,1789997551689529654,0.849612,0.992339,0.843103,1
43,1789997551689751525,0.961364,0.996126,0.957639,1
44,1789997551689965080,0.985561,0.997207,0.982808,1
45,1789997551690152016,0.985218,0.997327,0.982584,1
46,1789997551690337162,0.984472,0.997115,0.981632,1
47,1789997551690519655,0.984887,0.996997,0.981929,1
48,1789997551690700232,0.984948,0.997116,0.982108,1
49,1789997551690892474,0.978828,0.996827,0.975723,1
50,1789997551691178461,0.994751,0.858452,0.853945,1
51,1789997551691340115,0.983460,0.997161,0.980668,1
52,1789997551691547387,0.997242,0.989388,0.986659,1
53,1789997551691770967,0.985113,0.997273,0.982426,1
54,1789997551692164546,0.836031,0.990290,0.827913,1
55,1789997551692520078,0.997218,0.987028,0.984282,1
56,1789997551692921513,0.992934,0.835509,0.829605,1
57,1789997551693178862,0.977104,0.993623,0.970874,1
58,1789997551694407317,0.966381,0.993918,0.960503,1
59,1789997551694662006,0.980424,0.994037,0.974578,1
60,1789997551694993389,0.987480,0.997343,0.984856,1
61,1789997551695303040,0.977184,0.993939,0.971262,1
62,1789997551696156822,0.996515,0.977287,0.973881,1
63,1789997551696411887,0.993828,0.964078,0.958128,1
64,1789997551697107284,0.996781,0.978984,0.975833,1
65,1789997551697315305,0.997218,0.984038,0.981300,1
66,1789997551697499450,0.996763,0.978215,0.975049,1
67,1789997551697753217,0.993021,0.975420,0.968613,1
68,1789997551698174416,0.963899,0.991985,0.956173,1
69,1789997551698663815,0.971996,0.993541,0.965717,1
70,1789997551698904069,0.979600,0.993784,0.973511,1
71,1789997551699413037,0.953201,0.991438,0.945039,1
72,1789997551699887751,0.992537,0.960755,0.953585,1
73,1789997551700377887,0.974728,0.993084,0.967987,1
74,1789997551700844024,0.988202,0.924854,0.913943,1
75,1789997551701055380,0.997109,0.983016,0.980174,1
76,1789997551701352030,0.992339,0.909660,0.902691,1
77,1789997551701557628,0.984757,0.996900,0.981704,1
78,1789997551701772039,0.983486,0.997177,0.980709,1
79,1789997551701950335,0.986374,0.997158,0.983570,1
80,1789997551702138969,0.997243,0.988916,0.986189,1
81,1789997551702334900,0.997299,0.988722,0.986051,1
82,1789997551702532632,0.989106,0.997398,0.986533,1
83,1789997551702718174,0.997072,0.985041,0.982157,1
84,1789997551702904643,0.988743,0.997113,0.985889,1
85,1789997551703091186,0.997140,0.983953,0.981139,1
86,1789997551703273756,0.987902,0.997138,0.985075,1
87,1789997551703453315,0.988943,0.997335,0.986307,1
88,1789997551703646478,0.997296,0.985818,0.983152,1
89,1789997551703821982,0.990834,0.997343,0.988201,1
90,1789997551704032262,0.987887,0.997145,0.985067,1
91,1789997551704248657,0.984827,0.997154,0.982025,1
92,1789997551704485440,0.986237,0.996996,0.983273,1
93,1789997551704726666,0.997166,0.989606,0.986802,1
94,1789997551704934398,0.988197,0.996967,0.985200,1
95,1789997551705171165,0.983066,0.997111,0.980226,1
96,1789997551705360049,0.997445,0.989056,0.986530,1
97,1789997551705573881,0.988175,0.997246,0.985454,1
98,1789997551705914264,0.989273,0.906953,0.897224,1
99,1789997551706358285,0.849415,0.990405,0.841265,1
100,1789997551706740244,0.984063,0.946215,0.931136,1
101,1789997551707158715,0.844621,0.987798,0.834315,1
102,1789997551707399696,0.997032,0.986818,0.983889,1
103,1789997551707668677,0.989210,0.997002,0.986243,1
104,1789997551707997333,0.925043,0.992335,0.917952,1
105,1789997551708235387,0.980344,0.996737,0.977145,1
106,1789997551708603492,0.907536,0.990404,0.898828,1
107,1789997551708910844,0.987288,0.997203,0.984527,1
108,1789997551709220437,0.988247,0.997272,0.985550,1
109,1789997551709514039,0.993691,0.928341,0.922484,1
110,1789997551709749865,0.995941,0.965324,0.961406,1
111,1789997551709950129,0.996939,0.983277,0.980267,1
112,1789997551710239824,0.924472,0.995055,0.919900,1
113,1789997551710490968,0.996526,0.974474,0.971089,1
114,1789997551710722260,0.995626,0.937525,0.933424,1
115,1789997551710937139,0.990197,0.945485,0.936217,1
116,1789997551711180303,0.986747,0.997043,0.983829,1
117,1789997551711399470,0.989488,0.997154,0.986672,1
118,1789997551711615558,0.996795,0.981007,0.977863,1
119,1789997551711833029,0.997052,0.984405,0.981503,1
120,1789997551712074761,0.991104,0.976998,0.968306,1
121,1789997551712270739,0.984774,0.997127,0.981945,1
122,1789997551712504956,0.997171,0.989823,0.987023,1
123,1789997551712710577,0.985064,0.997158,0.982264,1
124,1789997551712989160,0.987500,0.997457,0.984989,1
125,1789997551713218438,0.987321,0.997259,0.984615,1
126,1789997551713439657,0.988732,0.997487,0.986247,1
127,1789997551713673802,0.997279,0.987830,0.985141,1
128,1789997551713902556,0.996451,0.979767,0.976290,1
129,1789997551714135553,0.997502,0.989644,0.987172,1
130,1789997551714404101,0.995837,0.951095,0.947136,1
131,1789997551714603660,0.988557,0.997228,0.985817,1
132,1789997551714851784,0.997176,0.984872,0.982090,1
133,1789997551715043241,0.997130,0.986121,0.983291,1
134,1789997551715223065,0.988943,0.997098,0.986073,1
135,1789997551715506698,0.991875,0.893648,0.886388,1
136,1789997551715701208,0.997496,0.990042,0.987563,1
137,1789997551715906332,0.997514,0.992129,0.989663,1
138,1789997551716095364,0.990355,0.997469,0.987848,1
139,1789997551716273793,0.997342,0.990054,0.987422,1
140,1789997551716466437,0.989857,0.997046,0.986933,1
141,1789997551716654071,0.997198,0.988583,0.985813,1
142,1789997551716840530,0.997698,0.990975,0.988693,1
143,1789997551717024562,0.997178,0.986101,0.983319,1
144,1789997551717208857,0.996975,0.982544,0.979572,1
145,1789997551717393360,0.997274,0.990731,0.988030,1
146,1789997551717571548,0.989071,0.997124,0.986227,1
147,1789997551717767283,0.989823,0.997331,0.987181,1
148,1789997551717954155,0.985175,0.997327,0.982541,1
149,1789997551718134356,0.990166,0.997347,0.987538,1
150,1789997551718338494,0.997368,0.990169,0.987563,1
151,1789997551718535992,0.990414,0.997476,0.987915,1
152,1789997551718706426,0.997374,0.990431,0.987831,1
153,1789997551718889704,0.997179,0.981534,0.978765,1
154,1789997551719066975,0.989200,0.997268,0.986497,1
155,1789997551719258615,0.990155,0.997404,0.987585,1
156,1789997551719448146,0.997395,0.989989,0.987411,1
157,1789997551719625107,0.997517,0.989364,0.986907,1
158,1789997551719869577,0.989061,0.996826,0.985922,1
159,1789997551720084066,0.986193,0.996991,0.983225,1
160,1789997551720342055,0.997108,0.983165,0.980322,1
161,1789997551720509504,0.997464,0.989496,0.986986,1
162,1789997551720760628,0.988031,0.997010,0.985077,1
163,1789997551720977237,0.988766,0.997164,0.985961,1
164,1789997551721286099,0.992054,0.902609,0.895436,1
165,1789997551721515937,0.982770,0.996987,0.979809,1
166,1789997551721720816,0.997079,0.985895,0.983016,1
167,1789997551721911635,0.990554,0.997409,0.987988,1
168,1789997551722083226,0.990435,0.997434,0.987894,1
169,1789997551722258186,0.997598,0.990713,0.988334,1
170,1789997551722449209,0.997103,0.988538,0.985675,1
171,1789997551722666246,0.984277,0.997011,0.981335,1
172,1789997551722845022,0.987907,0.997157,0.985098,1
173,1789997551723025251,0.990775,0.997354,0.988153,1
174,1789997551723219207,0.997522,0.990089,0.987636,1
175,1789997551723396050,0.990284,0.997318,0.987627,1
176,1789997551723571660,0.990063,0.996973,0.987065,1
177,1789997551723758054,0.997011,0.983238,0.980300,1
178,1789997551723935694,0.997172,0.985334,0.982547,1
179,1789997551724113840,0.997418,0.985430,0.982886,1
180,1789997551724324496,0.995797,0.958389,0.954360,1
181,1789997551724488040,0.988534,0.997515,0.986078,1
182,1789997551724658351,0.988254,0.997191,0.985477,1
183,1789997551724837833,0.989508,0.997404,0.986940,1
184,1789997551725019317,0.989994,0.997478,0.987498,1
185,1789997551725218617,0.997333,0.989921,0.987281,1
186,1789997551725406505,0.989964,0.997168,0.987160,1
187,1789997551725593030,0.990211,0.997272,0.987510,1
188,1789997551725776000,0.989793,0.997187,0.987009,1
189,1789997551725951248,0.997229,0.990369,0.987624,1
190,1789997551726139603,0.997216,0.984242,0.981502,1
191,1789997551726323761,0.997431,0.985634,0.983102,1
192,1789997551726501017,0.997344,0.987498,0.984875,1
193,1789997551726808876,0.991600,0.930187,0.922374,1
194,1789997551727181018,0.976324,0.996345,0.972755,1
195,1789997551727397548,0.988619,0.997228,0.985879,1
196,1789997551727848818,0.993626,0.764549,0.759676,1
197,1789997551728136024,0.964578,0.996314,0.961022,1
198,1789997551728376794,0.995337,0.901087,0.896886,1
199,1789997551728571822,0.997268,0.988823,0.986121,1
200,1789997551728787773,0.990058,0.997114,0.987201,1
201,1789997551728983752,0.990021,0.997295,0.987343,1
202,1789997551729167892,0.997297,0.989617,0.986942,1
203,1789997551729362930,0.997517,0.989342,0.986886,1
204,1789997551729658132,0.992090,0.882336,0.875357,1
205,1789997551729853861,0.988534,0.997325,0.985889,1
206,1789997551730043843,0.986222,0.997335,0.983593,1
207,1789997551730227484,0.990874,0.997616,0.988512,1
208,1789997551730423090,0.990020,0.997208,0.987256,1
209,1789997551730604947,0.997546,0.990546,0.988115,1
210,1789997551730785066,0.990454,0.997369,0.987848,1
211,1789997551730973237,0.997361,0.986677,0.984073,1
212,1789997551731253357,0.992461,0.881692,0.875044,1
213,1789997551731426665,0.997651,0.991167,0.988839,1
214,1789997551731674605,0.994274,0.921479,0.916203,1
215,1789997551731832878,0.988827,0.997458,0.986314,1
216,1789997551732017706,0.997376,0.986663,0.984074,1
217,1789997551732245762,0.995987,0.920638,0.916944,1
218,1789997551732450302,0.990352,0.997403,0.987780,1
219,1789997551732650976,0.990224,0.997353,0.987602,1
220,1789997551732822675,0.990446,0.997299,0.987770,1
221,1789997551733007478,0.997023,0.984615,0.981684,1
222,1789997551733187640,0.988436,0.997185,0.985654,1
223,1789997551733419297,0.988544,0.997152,0.985729,1
224,1789997551733661680,0.996903,0.981616,0.978576,1
225,1789997551733998360,0.994019,0.845503,0.840446,1
226,1789997551734324219,0.991565,0.847841,0.840689,1
227,1789997551734548934,0.997398,0.985370,0.982807,1
228,1789997551734783336,0.989672,0.938805,0.929108,1
229,1789997551735000868,0.994220,0.936283,0.930872,1
230,1789997551735192773,0.990338,0.997473,0.987836,1
231,1789997551735407731,0.997197,0.984325,0.981566,1
232,1789997551735595523,0.997399,0.990194,0.987619,1
233,1789997551735792968,0.988546,0.997337,0.985913,1
234,1789997551735992078,0.988962,0.997425,0.986416,1
235,1789997551736178478,0.997264,0.985624,0.982927,1
236,1789997551736366166,0.997147,0.989213,0.986390,1
237,1789997551736574455,0.990216,0.997515,0.987756,1
238,1789997551736770102,0.989718,0.997436,0.987181,1
239,1789997551736963928,0.985065,0.997247,0.982353,1
240,1789997551737143673,0.997037,0.984127,0.981212,1
241,1789997551737320732,0.984811,0.997159,0.982013,1
242,1789997551737475447,0.997254,0.984044,0.981341,1
243,1789997551737655329,0.997403,0.990618,0.988046,1
244,1789997551737832425,0.997268,0.990079,0.987373,1
245,1789997551738014740,0.997166,0.983798,0.981010,1
246,1789997551738200295,0.989314,0.997084,0.986429,1
247,1789997551738383112,0.989033,0.997326,0.986387,1
248,1789997551738572514,0.990240,0.997127,0.987395,1
249,1789997551738757189,0.990340,0.997297,0.987663,1
250,1789997551738939546,0.990275,0.997384,0.987684,1
251,1789997551739118509,0.990499,0.997350,0.987874,1
252,1789997551739289593,0.997558,0.990516,0.988097,1
253,1789997551739464330,0.997385,0.990226,0.987637,1
254,1789997551739649416,0.987227,0.996898,0.984165,1
255,1789997551739853380,0.990035,0.997620,0.987679,1
256,1789997551740028389,0.989584,0.997428,0.987039,1
257,1789997551740217077,0.997314,0.990113,0.987453,1
258,1789997551740459797,0.997335,0.987820,0.985187,1
259,1789997551740679038,0.989286,0.997257,0.986572,1
260,1789997551740965865,0.997317,0.988061,0.985409,1
261,1789997551741321004,0.989613,0.844586,0.835813,1
