count_index,ts_swap,swap_to_recv_ns,werner,success_bit
158,1789567812011707417,265639,0.931000,1
159,1789567812012114491,262310,0.000000,0
160,1789567812012521496,261560,0.000000,0
161,1789567812012928630,263122,0.931000,1
162,1789567812013335995,263102,0.000000,0
163,1789567812013743440,264322,0.931000,1
164,1789567812014150994,262214,0.000000,0
165,1789567812014557879,263764,0.931000,1
166,1789567812014967863,264275,0.000000,0
167,1789567812015374608,261806,0.931000,1
168,1789567812015782043,261546,0.000000,0
169,1789567812016189257,263508,0.931000,1
170,1789567812016596542,264438,0.931000,1
171,1789567812017003647,263248,0.931000,1
172,1789567812017411711,262910,0.931000,1
173,1789567812017821046,262510,0.931000,1
174,1789567812018228460,263212,0.000000,0
175,1789567812018635825,261562,0.931000,1
176,1789567812019043020,261842,0.931000,1
177,1789567812019450314,268604,0.931000,1
178,1789567812019857499,263894,0.931000,1
179,1789567812020264623,263115,0.931000,1
180,1789567812020671888,259986,0.931000,1
181,1789567812021079083,261956,0.931000,1
182,1789567812021487007,262247,0.931000,1
183,1789567812021894312,262338,0.931000,1
184,1789567812022301476,264659,0.931000,1
185,1789567812022708851,266919,0.931000,1
186,1789567812023116156,261840,0.000000,0
187,1789567812023523190,262301,0.931000,1
188,1789567812023930505,261562,0.000000,0
189,1789567812024337690,264232,0.931000,1
190,1789567812024745084,263113,0.000000,0
191,1789567812025152219,260704,0.931000,1
192,1789567812025559703,263105,0.931000,1
193,1789567812025968318,261796,0.931000,1
194,1789567812026375433,263676,0.000000,0
195,1789567812026782627,263797,0.931000,1
196,1789567812027189792,260698,0.931000,1
197,1789567812027596666,267559,0.931000,1
198,1789567812028004071,260729,0.931000,1
199,1789567812028411116,260980,0.000000,0
200,1789567812028820400,262901,0.000000,0
201,1789567812029228115,262411,0.000000,0
202,1789567812029635459,261613,0.931000,1
203,1789567812030042694,261433,0.931000,1
204,1789567812030449749,261003,0.931000,1
205,1789567812030856973,262845,0.931000,1
206,1789567812031264188,260765,0.931000,1
207,1789567812031671042,262066,0.000000,0
208,1789567812032078327,262067,0.000000,0
209,1789567812032485462,263327,0.931000,1
210,1789567812032892896,270019,0.931000,1
211,1789567812033300101,261099,0.000000,0
212,1789567812033707256,264879,0.931000,1
213,1789567812034114480,260510,0.931000,1
214,1789567812034521485,260121,0.931000,1
215,1789567812034928649,261782,0.931000,1
216,1789567812035335924,260993,0.000000,0
217,1789567812035743319,259803,0.931000,1
218,1789567812036150763,259724,0.931000,1
219,1789567812036557738,260395,0.931000,1
220,1789567812036967772,260576,0.931000,1
221,1789567812037375157,260727,0.931000,1
222,1789567812037782592,260677,0.000000,0
223,1789567812038189826,260258,0.000000,0
224,1789567812038596821,262539,0.000000,0
225,1789567812039004135,266340,0.931000,1
226,1789567812039411230,262930,0.931000,1
227,1789567812039818365,262121,0.931000,1
228,1789567812040225599,261452,0.931000,1
229,1789567812040632604,261402,0.931000,1
230,1789567812041039919,262813,0.000000,0
231,1789567812041447433,261474,0.931000,1
232,1789567812041854678,263984,0.931000,1
233,1789567812042261972,261506,0.931000,1
234,1789567812042669047,262766,0.000000,0
235,1789567812043076372,261216,0.000000,0
236,1789567812043483476,260938,0.000000,0
237,1789567812043890701,263038,0.931000,1
238,1789567812044298015,261850,0.931000,1
239,1789567812044705220,264440,0.931000,1
240,1789567812045112435,262950,0.931000,1
241,1789567812045519809,263012,0.931000,1
242,1789567812045927224,263052,0.000000,0
243,1789567812046334358,271464,0.931000,1
244,1789567812046741893,262064,0.931000,1
245,1789567812047149188,264104,0.931000,1
246,1789567812047556252,262956,0.931000,1
247,1789567812047963357,265906,0.931000,1
248,1789567812048375071,262447,0.931000,1
249,1789567812048782556,261348,0.931000,1
250,1789567812049189991,261298,0.931000,1
251,1789567812049597665,261519,0.000000,0
252,1789567812050006560,262080,0.931000,1
253,1789567812050413944,265071,0.931000,1
254,1789567812050821279,262831,0.000000,0
255,1789567812051228564,262402,0.931000,1
256,1789567812051635708,264123,0.931000,1
257,1789567812052043013,264314,0.931000,1
258,1789567812052450218,264764,0.931000,1
259,1789567812052857572,262345,0.931000,1
260,1789567812053265027,261876,0.000000,0
261,1789567812053672411,259697,0.931000,1
262,1789567812054079816,263918,0.931000,1
263,1789567812054486891,264008,0.931000,1
264,1789567812054894205,263659,0.931000,1
265,1789567812055301360,263370,0.931000,1
266,1789567812055708704,264601,0.000000,0
267,1789567812056115959,264491,0.000000,0
268,1789567812056523054,262842,0.931000,1
269,1789567812056930608,261453,0.000000,0
270,1789567812057337923,260903,0.000000,0
271,1789567812057745477,263045,0.000000,0
272,1789567812058152792,262955,0.931000,1
273,1789567812058559827,265385,0.931000,1
274,1789567812058968261,265207,0.931000,1
275,1789567812059375346,264177,0.931000,1
276,1789567812059782410,272929,0.000000,0
277,1789567812060189665,263959,0.931000,1
278,1789567812060596870,265499,0.931000,1
279,1789567812061004174,264561,0.931000,1
280,1789567812061411939,265061,0.931000,1
281,1789567812061819234,265912,0.931000,1
282,1789567812062226428,265713,0.000000,0
283,1789567812062633463,262513,0.931000,1
284,1789567812063040697,265375,0.931000,1
285,1789567812063448432,262535,0.931000,1
286,1789567812063855807,263555,0.000000,0
287,1789567812064262871,261727,0.000000,0
288,1789567812064670146,261857,0.000000,0
289,1789567812065077470,261598,0.931000,1
290,1789567812065485075,264149,0.931000,1
291,1789567812065892470,264759,0.931000,1
292,1789567812066299784,261090,0.931000,1
293,1789567812066707139,265511,0.000000,0
294,1789567812067114603,262242,0.931000,1
295,1789567812067521718,262262,0.000000,0
296,1789567812067929053,261663,0.931000,1
297,1789567812068336167,262334,0.931000,1
298,1789567812068743812,263264,0.931000,1
299,1789567812069151077,263525,0.931000,1
300,1789567812069558931,263216,0.931000,1
301,1789567812069968316,264047,0.931000,1
302,1789567812070378690,263578,0.000000,0
303,1789567812070786415,264028,0.931000,1
304,1789567812071193879,261000,0.931000,1
305,1789567812071600854,261440,0.931000,1
306,1789567812072008259,263180,0.931000,1
307,1789567812072415383,261512,0.931000,1
308,1789567812072822668,262912,0.000000,0
309,1789567812073230293,273023,0.931000,1
310,1789567812073637597,262954,0.931000,1
311,1789567812074044792,263564,0.931000,1
312,1789567812074451986,262226,0.931000,1
313,1789567812074860081,261536,0.000000,0
314,1789567812075267466,260746,0.931000,1
315,1789567812075674630,260268,0.000000,0
316,1789567812076082015,262058,0.000000,0
317,1789567812076489029,262210,0.931000,1
318,1789567812076896274,263370,0.000000,0
319,1789567812077303679,262210,0.000000,0
320,1789567812077710933,265512,0.931000,1
321,1789567812078118258,263412,0.931000,1
322,1789567812078525462,264453,0.931000,1
323,1789567812078932807,262384,0.931000,1
324,1789567812079339972,263294,0.931000,1
325,1789567812079747496,261295,0.931000,1
326,1789567812080154791,262066,0.000000,0
327,1789567812080561866,261836,0.000000,0
328,1789567812080970490,260958,0.931000,1
329,1789567812081378215,261568,0.000000,0
330,1789567812081785659,262719,0.931000,1
331,1789567812082192854,262650,0.931000,1
332,1789567812082600029,262790,0.931000,1
333,1789567812083007433,263491,0.931000,1
334,1789567812083414498,260792,0.931000,1
335,1789567812083821662,259023,0.931000,1
336,1789567812084228927,262503,0.931000,1
337,1789567812084635932,262814,0.931000,1
338,1789567812085043486,263425,0.931000,1
339,1789567812085451051,265216,0.000000,0
340,1789567812085858455,262007,0.931000,1
341,1789567812086265650,262137,0.931000,1
342,1789567812086672715,269068,0.931000,1
343,1789567812087080029,261769,0.931000,1
344,1789567812087487204,261549,0.000000,0
345,1789567812087894339,262110,0.000000,0
346,1789567812088301603,261521,0.000000,0
347,1789567812088708718,265892,0.931000,1
348,1789567812089115972,261963,0.931000,1
349,1789567812089523367,263853,0.931000,1
350,1789567812089930702,262474,0.931000,1
351,1789567812090337916,261415,0.931000,1
352,1789567812090745451,262365,0.000000,0
353,1789567812091154375,262597,0.000000,0
354,1789567812091561950,262857,0.931000,1
355,1789567812091969305,260917,0.931000,1
356,1789567812092376329,260859,0.000000,0
357,1789567812092783694,262539,0.931000,1
358,1789567812093190928,261830,0.931000,1
359,1789567812093598403,262431,0.000000,0
360,1789567812094005608,261651,0.931000,1
361,1789567812094412682,261353,0.931000,1
362,1789567812094819997,261183,0.000000,0
363,1789567812095227211,262274,0.931000,1
364,1789567812095634296,261095,0.931000,1
365,1789567812096041651,266615,0.000000,0
366,1789567812096448775,262836,0.931000,1
367,1789567812096856280,264937,0.931000,1
368,1789567812097266084,263048,0.000000,0
369,1789567812097673879,262629,0.931000,1
370,1789567812098081204,261119,0.931000,1
371,1789567812098488268,262330,0.931000,1
372,1789567812098895413,263571,0.000000,0
373,1789567812099302458,261891,0.000000,0
374,1789567812099709572,265993,0.931000,1
375,1789567812100116757,270053,0.000000,0
376,1789567812100523681,262134,0.931000,1
377,1789567812100930926,261974,0.931000,1
378,1789567812101338391,260905,0.000000,0
379,1789567812101745985,261166,0.000000,0
380,1789567812102153370,262907,0.931000,1
381,1789567812102560424,261908,0.931000,1
382,1789567812102968349,261648,0.931000,1
383,1789567812103375384,260559,0.000000,0
384,1789567812103782638,261520,0.931000,1
385,1789567812104189663,261610,0.000000,0
386,1789567812104596727,263112,0.931000,1
387,1789567812105003862,263082,0.931000,1
388,1789567812105411527,261282,0.931000,1
389,1789567812105819031,260534,0.931000,1
390,1789567812106226186,261604,0.931000,1
391,1789567812106633311,261244,0.931000,1
392,1789567812107040625,261406,0.931000,1
393,1789567812107447670,262576,0.000000,0
394,1789567812107855004,262167,0.931000,1
395,1789567812108262319,264728,0.931000,1
396,1789567812108669404,262048,0.000000,0
397,1789567812109076768,260930,0.000000,0
398,1789567812109484463,261900,0.931000,1
399,1789567812109891797,261741,0.931000,1
400,1789567812110298972,261712,0.000000,0
401,1789567812110708827,266012,0.931000,1
402,1789567812111116471,263554,0.931000,1
403,1789567812111523576,262404,0.000000,0
404,1789567812111932020,262135,0.931000,1
405,1789567812112339595,261596,0.931000,1
406,1789567812112746700,261466,0.931000,1
407,1789567812113154104,262157,0.931000,1
408,1789567812113561669,268308,0.000000,0
409,1789567812113969093,260919,0.931000,1
410,1789567812114376118,260709,0.000000,0
411,1789567812114783193,262830,0.000000,0
412,1789567812115190397,261501,0.000000,0
413,1789567812115597462,263121,0.931000,1
414,1789567812116004747,262452,0.931000,1
415,1789567812116411851,260343,0.000000,0
416,1789567812116819076,259524,0.931000,1
417,1789567812117226540,261845,0.931000,1
418,1789567812117633625,262005,0.931000,1
419,1789567812118041030,262026,0.931000,1
420,1789567812118448204,262337,0.931000,1
421,1789567812118855459,264058,0.931000,1
422,1789567812119262673,261259,0.931000,1
423,1789567812119669808,262469,0.931000,1
424,1789567812120077133,262410,0.931000,1
425,1789567812120484657,261601,0.000000,0
426,1789567812120892092,262971,0.000000,0
427,1789567812121299386,261543,0.000000,0
428,1789567812121706621,263093,0.931000,1
429,1789567812122114036,263113,0.931000,1
430,1789567812122521100,263875,0.000000,0
431,1789567812122928325,263025,0.931000,1
432,1789567812123335520,263325,0.931000,1
433,1789567812123743104,261277,0.931000,1
434,1789567812124150599,265307,0.931000,1
435,1789567812124557613,260748,0.000000,0
436,1789567812124968338,263009,0.931000,1
437,1789567812125376143,260189,0.931000,1
438,1789567812125783307,263541,0.000000,0
439,1789567812126190512,262751,0.000000,0
440,1789567812126597696,262853,0.931000,1
441,1789567812127004981,271023,0.000000,0
442,1789567812127412146,261523,0.931000,1
443,1789567812127819400,262605,0.931000,1
444,1789567812128226615,262955,0.931000,1
445,1789567812128633539,263566,0.000000,0
446,1789567812129040744,265137,0.000000,0
447,1789567812129448019,263177,0.931000,1
448,1789567812129855433,261368,0.931000,1
449,1789567812130262678,264269,0.931000,1
450,1789567812130669672,264590,0.931000,1
451,1789567812131076707,260830,0.931000,1
452,1789567812131483582,260961,0.000000,0
453,1789567812131890866,262452,0.000000,0
454,1789567812132297941,261122,0.931000,1
455,1789567812132705276,263553,0.931000,1
456,1789567812133114300,263014,0.000000,0
457,1789567812133522395,262975,0.931000,1
458,1789567812133929759,261476,0.000000,0
459,1789567812134336904,260816,0.931000,1
460,1789567812134744179,261147,0.931000,1
461,1789567812135151393,263108,0.931000,1
462,1789567812135558508,263729,0.931000,1
463,1789567812135968662,265310,0.931000,1
464,1789567812136375667,262410,0.931000,1
465,1789567812136783052,262791,0.931000,1
466,1789567812137190276,267422,0.000000,0
467,1789567812137598001,262512,0.931000,1
468,1789567812138005315,266184,0.931000,1
469,1789567812138412410,260294,0.000000,0
470,1789567812138819785,262174,0.931000,1
471,1789567812139227059,264676,0.000000,0
472,1789567812139636554,263436,0.931000,1
473,1789567812140044088,266588,0.000000,0
474,1789567812140451373,271968,0.000000,0
475,1789567812140858638,263838,0.931000,1
476,1789567812141266482,263660,0.000000,0
477,1789567812141673847,262130,0.931000,1
478,1789567812142081131,263641,0.931000,1
479,1789567812142489026,263042,0.931000,1
480,1789567812142896331,265662,0.931000,1
481,1789567812143303525,264284,0.000000,0
482,1789567812143711040,268034,0.000000,0
483,1789567812144118325,263774,0.931000,1
484,1789567812144525729,263096,0.931000,1
485,1789567812144932964,263096,0.931000,1
486,1789567812145340718,264207,0.931000,1
487,1789567812145748223,262118,0.931000,1
488,1789567812146155668,263938,0.931000,1
489,1789567812146563042,264589,0.000000,0
490,1789567812146970497,268800,0.931000,1
491,1789567812147377441,261581,0.931000,1
492,1789567812147784746,261601,0.931000,1
493,1789567812148191941,262572,0.000000,0
494,1789567812148599055,260493,0.931000,1
495,1789567812149006290,262913,0.000000,0
496,1789567812149414034,264055,0.931000,1
497,1789567812149821379,261745,0.931000,1
498,1789567812150228474,261745,0.931000,1
499,1789567812150635618,261497,0.931000,1
500,1789567812151043053,261187,0.000000,0
501,1789567812151450178,261657,0.000000,0
502,1789567812151857222,261079,0.931000,1
503,1789567812152264447,260919,0.931000,1
504,1789567812152671541,264651,0.000000,0
505,1789567812153078786,263801,0.000000,0
506,1789567812153489031,269841,0.931000,1
507,1789567812153896895,262483,0.931000,1
508,1789567812154304300,262133,0.931000,1
509,1789567812154711544,266335,0.000000,0
510,1789567812155118879,262315,0.931000,1
511,1789567812155525974,262105,0.000000,0
512,1789567812155933158,261957,0.931000,1
513,1789567812156340363,263017,0.000000,0
514,1789567812156747957,263278,0.000000,0
515,1789567812157155322,264249,0.000000,0
516,1789567812157563237,263159,0.931000,1
517,1789567812157970631,263510,0.000000,0
518,1789567812158377586,260421,0.931000,1
519,1789567812158784980,261382,0.931000,1
520,1789567812159192075,262222,0.000000,0
521,1789567812159599440,262083,0.931000,1
522,1789567812160006764,263254,0.000000,0
523,1789567812160413889,260464,0.931000,1
524,1789567812160821254,262705,0.931000,1
525,1789567812161228668,262856,0.931000,1
526,1789567812161635763,261887,0.000000,0
527,1789567812162043057,261948,0.931000,1
528,1789567812162450952,261698,0.000000,0
529,1789567812162858287,263319,0.000000,0
530,1789567812163265541,260860,0.000000,0
531,1789567812163672716,260540,0.931000,1
532,1789567812164080110,264182,0.931000,1
533,1789567812164487195,261232,0.000000,0
534,1789567812164894430,262483,0.931000,1
535,1789567812165302024,259884,0.931000,1
536,1789567812165709379,262734,0.931000,1
537,1789567812166116753,259786,0.931000,1
538,1789567812166523768,279376,0.000000,0
539,1789567812166931113,262866,0.931000,1
540,1789567812167338407,261438,0.000000,0
541,1789567812167745782,262498,0.931000,1
542,1789567812168153206,261959,0.931000,1
543,1789567812168560291,261220,0.931000,1
544,1789567812168968636,261800,0.931000,1
545,1789567812169376490,260512,0.931000,1
546,1789567812169783705,261302,0.000000,0
547,1789567812170191200,260632,0.931000,1
548,1789567812170598534,262944,0.931000,1
549,1789567812171005719,262684,0.931000,1
550,1789567812171412773,262115,0.931000,1
551,1789567812171820068,261116,0.931000,1
552,1789567812172227253,261506,0.931000,1
553,1789567812172634397,263028,0.931000,1
554,1789567812173041622,261298,0.000000,0
555,1789567812173449506,258739,0.931000,1
556,1789567812173856831,259879,0.931000,1
557,1789567812174265686,259820,0.931000,1
558,1789567812174673150,262551,0.000000,0
559,1789567812175080305,263192,0.000000,0
560,1789567812175487499,264293,0.931000,1
561,1789567812175894614,261923,0.000000,0
562,1789567812176301889,262574,0.000000,0
563,1789567812176709053,263485,0.000000,0
564,1789567812177116288,262226,0.931000,1
565,1789567812177523862,263157,0.931000,1
566,1789567812177931197,260727,0.931000,1
567,1789567812178338562,261328,0.931000,1
568,1789567812178746256,263979,0.931000,1
