round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
0,1789997653066824384,0.973619,0.753535,0.000000,0
1,1789997653068020595,0.823443,0.511026,0.000000,0
2,1789997653069382386,0.992139,0.956270,0.948753,1
3,1789997653070521742,0.966571,0.755788,0.730523,1
4,1789997653071524397,0.961605,0.993113,0.000000,0
5,1789997653072305827,0.985272,0.946105,0.000000,0
6,1789997653072767194,0.997445,0.988316,0.000000,0
7,1789997653073143785,0.975233,0.993630,0.000000,0
8,1789997653073513765,0.992893,0.973331,0.000000,0
