round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,616930,660090,1789999621169813812,1789999621169726529,130783,0,0.872137,1,1
1,1,293066,337145,1789999621170187927,1789999621170277821,117912,89894,0.798902,1,1
2,1,200137,242977,1789999621170655630,1789999621170726885,104453,71255,0.830659,1,1
3,1,191477,217377,1789999621171074164,1789999621171149210,92491,75046,0.829412,1,1
4,1,167827,188707,1789999621171430318,1789999621171589484,74011,159166,0.777061,1,1
5,1,151887,167617,1789999621171833372,1789999621172015958,71370,182586,0.769106,1,1
6,1,147238,163037,1789999621172253556,1789999621172457082,73989,203526,0.000000,1,0
7,2,323435,168558,1789999621172872426,1789999621172904937,73497,32511,0.894958,1,1
8,1,144478,160038,1789999621173141092,1789999621173355861,74386,214769,0.746816,1,1
9,1,142609,159899,1789999621173596416,1789999621173799925,90146,203509,0.754729,1,1
10,2,309685,161558,1789999621174217606,1789999621174256399,72646,38793,0.887321,1,1
11,1,139278,155358,1789999621174486112,1789999621174687123,71165,201011,0.759157,1,1
12,1,142117,157767,1789999621174917855,1789999621175121227,73474,203372,0.756097,1,1
13,1,141018,156337,1789999621175353729,1789999621175553402,71592,199673,0.758459,1,1
14,1,139948,154708,1789999621175782272,1789999621175985406,71932,203134,0.756300,1,1
15,1,141878,157728,1789999621176216285,1789999621176420130,73531,203845,0.754790,1,1
16,1,142157,157237,1789999621176653619,1789999621177258779,75510,605160,0.505104,1,1
17,1,144307,159547,1789999621177496676,1789999621177688333,76089,191657,0.764460,1,1
18,1,158468,174167,1789999621177942460,1789999621178122578,71888,180118,0.000000,1,0
19,1,144548,159868,1789999621178356913,1789999621178558332,75787,201419,0.757481,1,1
20,1,145307,160827,1789999621178796636,1789999621178994806,75366,198170,0.000000,1,0
21,2,311665,159568,1789999621179398637,1789999621179425280,74796,26643,0.901813,1,1
22,1,143918,159118,1789999621179662134,1789999621179854545,76555,192411,0.764818,1,1
23,1,150927,166497,1789999621180101727,1789999621180668794,78163,567067,0.524074,1,1
24,1,154588,169768,1789999621180920315,1789999621181100428,72833,180113,0.767285,1,1
25,1,152927,168197,1789999621181343938,1789999621181533202,78712,189264,0.765830,1,1
26,1,150597,165757,1789999621181782511,1789999621181963857,72801,181346,0.771787,1,1
27,1,145238,160438,1789999621182199515,1789999621182392831,75940,193316,0.763466,1,1
28,1,146008,161408,1789999621182632399,1789999621182820715,74280,188316,0.767178,1,1
29,1,150628,166177,1789999621183062903,1789999621183250590,74939,187687,0.766342,1,1
30,2,306356,159357,1789999621183648754,1789999621183684654,72408,35900,0.893098,1,1
31,1,146707,161797,1789999621183920999,1789999621184126918,75817,205919,0.751123,1,1
32,1,143357,160857,1789999621184363082,1789999621184561302,74436,198220,0.759454,1,1
33,1,148588,163767,1789999621184803616,1789999621185008726,75655,205110,0.752123,1,1
34,1,145568,160548,1789999621185247319,1789999621185443791,76235,196472,0.761103,1,1
35,2,312315,161317,1789999621185849410,1789999621185884845,75784,35435,0.887977,1,1
36,1,147088,162038,1789999621186124896,1789999621186319079,74693,194183,0.761972,1,1
37,1,142918,158657,1789999621186553700,1789999621186751673,76632,197973,0.759628,1,1
38,1,149758,165347,1789999621186996553,1789999621187189368,75441,192815,0.761506,1,1
39,1,146428,167578,1789999621187428246,1789999621187624942,82440,196696,0.759931,1,1
40,1,147068,162398,1789999621187872539,1789999621188064146,78509,191607,0.763557,1,1
41,1,150017,165417,1789999621188309862,1789999621188894125,77138,584263,0.515081,1,1
42,2,310185,160078,1789999621189299298,1789999621189329879,74557,30581,0.896840,1,1
43,1,144898,157248,1789999621189566334,1789999621189763373,72917,197039,0.759158,1,1
44,1,147778,167398,1789999621190007367,1789999621190195718,74195,188351,0.000000,1,0
45,2,313985,165737,1789999621190605208,1789999621190631332,81854,26124,0.900623,1,1
46,1,148297,169157,1789999621190883273,1789999621191069986,74213,186713,0.765967,1,1
47,1,288536,308855,1789999621191453505,1789999621191507050,76954,53545,0.873273,1,1
48,1,147128,166568,1789999621191752121,1789999621191943715,73272,191594,0.763336,1,1
49,1,146767,166247,1789999621192185544,1789999621192387809,74861,202265,0.757087,1,1
50,1,143407,162977,1789999621192627327,1789999621192823233,75340,195906,0.761651,1,1
51,1,150108,170057,1789999621193070261,1789999621193257177,73860,186916,0.766358,1,1
52,1,145788,165598,1789999621193498134,1789999621193687862,76188,189728,0.765453,1,1
53,1,148758,168908,1789999621193934927,1789999621194122066,77907,187139,0.000000,1,0
54,1,145857,165547,1789999621194370260,1789999621194556980,74147,186720,0.768829,1,1
55,1,151368,170808,1789999621194803805,1789999621195004834,78547,201029,0.751559,1,1
56,2,308635,162807,1789999621195413965,1789999621196205978,74844,792013,0.419283,1,1
57,1,150417,170507,1789999621196454379,1789999621197016288,75092,561909,0.525717,1,1
58,1,148158,167868,1789999621197264957,1789999621197442872,74002,177915,0.774268,1,1
59,1,145698,165347,1789999621197684232,1789999621197870926,81891,186694,0.769345,1,1
60,2,308435,160298,1789999621198281952,1789999621198302530,74921,20578,0.000000,1,0
61,1,146238,166528,1789999621198544558,1789999621198729315,72029,184757,0.770306,1,1
62,1,151218,171217,1789999621198974082,1789999621199159109,76508,185027,0.768936,1,1
63,1,143058,162258,1789999621199400475,1789999621199980068,76067,579593,0.519317,1,1
64,2,311856,163587,1789999621200389640,1789999621200411843,74735,22203,0.904847,1,1
65,1,142989,162558,1789999621200651957,1789999621200841207,72195,189250,0.767991,1,1
66,1,150758,169497,1789999621201085610,1789999621201674346,74014,588736,0.512943,1,1
67,1,147458,166358,1789999621201918677,1789999621202514355,74191,595678,0.509910,1,1
68,1,148778,167538,1789999621202759814,1789999621202949159,73291,189345,0.763397,1,1
69,1,147008,165678,1789999621203190177,1789999621203385643,77270,195466,0.761164,1,1
70,1,160868,179978,1789999621203646381,1789999621203817938,72359,171557,0.771100,1,1
71,1,149878,169267,1789999621204061775,1789999621204253222,71779,191447,0.764199,1,1
72,1,148968,168788,1789999621204495428,1789999621204691016,73028,195588,0.760342,1,1
73,1,150908,170268,1789999621204936571,1789999621205123920,76017,187349,0.000000,1,0
74,1,144757,163837,1789999621205365964,1789999621205557364,76336,191400,0.763452,1,1
75,1,146948,166397,1789999621205803518,1789999621205992839,76355,189321,0.764665,1,1
76,1,143628,162668,1789999621206234131,1789999621206422743,74474,188612,0.766120,1,1
77,1,141808,160977,1789999621206661106,1789999621206849437,78254,188331,0.000000,1,0
78,2,303555,155107,1789999621207252036,1789999621207282822,72193,30786,0.899102,1,1
79,1,139607,159327,1789999621207515112,1789999621207717636,73362,202524,0.756459,1,1
80,1,151037,170357,1789999621207964535,1789999621208152190,75501,187655,0.765263,1,1
81,2,303965,159337,1789999621208552816,1789999621208582154,73921,29338,0.897505,1,1
82,1,147318,167028,1789999621208825342,1789999621209017969,73519,192627,0.762161,1,1
83,1,151357,170867,1789999621209263895,1789999621209454733,74189,190838,0.763840,1,1
84,1,157148,177787,1789999621209708070,1789999621209894817,74519,186747,0.767707,1,1
85,2,323135,168737,1789999621210314110,1789999621210331341,70628,17231,0.903989,1,1
86,1,149557,169028,1789999621210575536,1789999621210762966,73206,187430,0.766978,1,1
87,1,148618,167707,1789999621211006370,1789999621211201070,76105,194700,0.761087,1,1
88,1,148268,168237,1789999621211446063,1789999621211637024,79335,190961,0.762733,1,1
89,1,148678,168228,1789999621211887956,1789999621212076318,76574,188362,0.765523,1,1
90,1,147198,166678,1789999621212321429,1789999621212511672,77644,190243,0.765149,1,1
91,1,145007,164217,1789999621212755723,1789999621212949687,72252,193964,0.761857,1,1
92,1,152948,172927,1789999621213196617,1789999621213377081,77632,180464,0.773162,1,1
93,1,144198,164748,1789999621213622040,1789999621213804045,73921,182005,0.000000,1,0
94,1,146387,165617,1789999621214046233,1789999621214228060,71599,181827,0.772018,1,1
95,1,143458,163048,1789999621214464687,1789999621214660464,72909,195777,0.761774,1,1
96,1,143658,163328,1789999621214898560,1789999621215089628,81448,191068,0.764766,1,1
97,1,147247,166767,1789999621215339513,1789999621215519683,75017,180170,0.774624,1,1
98,2,319715,173208,1789999621215936075,1789999621215953207,73437,17132,0.905164,1,1
99,1,143838,163058,1789999621216191711,1789999621216380531,75686,188820,0.767462,1,1
100,1,148807,168597,1789999621216626964,1789999621216816216,81114,189252,0.762657,1,1
