count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
236,168100,480,168580,0.876215,1
237,174738,530,175268,0.871742,1
238,163976,480,164456,0.879010,1
239,162244,530,162774,0.880187,1
240,160522,510,161032,0.881359,1
241,171400,510,171910,0.873988,1
242,160008,460,160468,0.881710,1
243,161696,520,162216,0.880560,1
244,162344,460,162804,0.880119,1
245,161232,490,161722,0.880876,1
246,160889,460,161349,0.881109,1
247,164406,530,164936,0.878718,1
248,163004,480,163484,0.879670,1
249,168322,560,168882,0.876065,1
250,165780,480,166260,0.877786,1
251,163958,490,164448,0.879022,1
252,163166,560,163726,0.879560,1
253,161264,550,161814,0.880854,1
254,160132,520,160652,0.881625,1
255,161990,570,162560,0.880360,1
256,161437,540,161977,0.880736,1
257,162295,550,162845,0.880152,1
258,164382,500,164882,0.878734,1
259,163130,530,163660,0.879585,1
260,163668,510,164178,0.879219,1
261,162666,530,163196,0.879900,1
262,161204,500,161704,0.880895,1
263,163782,600,164382,0.879142,1
264,163580,500,164080,0.879279,1
265,161597,570,162167,0.880627,1
266,162925,510,163435,0.879724,1
267,165183,570,165753,0.878191,1
268,162451,470,162921,0.880046,1
269,163718,540,164258,0.879185,1
270,173276,550,173826,0.872724,1
271,162284,470,162754,0.880160,1
272,162162,480,162642,0.880243,1
273,162080,480,162560,0.880299,1
274,162028,480,162508,0.880334,1
275,161175,490,161665,0.880914,1
276,162683,510,163193,0.879888,1
277,162431,520,162951,0.880060,1
278,161959,530,162489,0.880381,1
279,162227,520,162747,0.880199,1
280,167514,640,168154,0.876612,1
281,161482,550,162032,0.880705,1
282,162090,560,162650,0.880292,1
283,166658,610,167268,0.877191,1
284,163145,540,163685,0.879574,1
285,162853,460,163313,0.879773,1
286,161131,570,161701,0.880944,1
287,161869,500,162369,0.880442,1
288,162337,500,162837,0.880124,1
289,163935,580,164515,0.879038,1
290,160543,510,161053,0.881345,1
291,161280,530,161810,0.880843,1
292,162588,520,163108,0.879953,1
293,161946,500,162446,0.880390,1
294,162494,510,163004,0.880017,1
295,160962,470,161432,0.881060,1
296,164480,550,165030,0.878668,1
297,162138,480,162618,0.880259,1
298,161685,520,162205,0.880567,1
299,166833,470,167303,0.877073,1
300,163081,520,163601,0.879618,1
301,161139,510,161649,0.880939,1
302,163126,540,163666,0.879587,1
303,169094,540,169634,0.875544,1
304,161252,500,161752,0.880862,1
305,172180,510,172690,0.873462,1
306,160528,530,161058,0.881355,1
307,160676,480,161156,0.881254,1
308,162053,510,162563,0.880317,1
309,162691,470,163161,0.879883,1
310,163969,510,164479,0.879015,1
311,160767,470,161237,0.881192,1
312,165595,580,166175,0.877911,1
313,163272,570,163842,0.879488,1
314,160890,470,161360,0.881109,1
315,165958,590,166548,0.877665,1
316,162246,490,162736,0.880186,1
317,162754,510,163264,0.879840,1
318,163681,490,164171,0.879210,1
319,162989,670,163659,0.879680,1
320,161397,540,161937,0.880763,1
321,163115,510,163625,0.879595,1
322,162373,480,162853,0.880099,1
323,161901,540,162441,0.880420,1
324,162908,530,163438,0.879735,1
325,161366,550,161916,0.880784,1
326,162544,510,163054,0.879983,1
327,160532,520,161052,0.881352,1
328,162920,600,163520,0.879727,1
329,162887,530,163417,0.879750,1
330,161185,540,161725,0.880908,1
331,164863,530,165393,0.878408,1
332,162451,510,162961,0.880046,1
333,162439,540,162979,0.880054,1
334,160997,540,161537,0.881036,1
335,161544,450,161994,0.880663,1
336,171462,480,171942,0.873946,1
337,162230,470,162700,0.880197,1
338,163078,530,163608,0.879620,1
339,162136,500,162636,0.880260,1
340,161914,500,162414,0.880411,1
341,165202,530,165732,0.878178,1
342,162680,550,163230,0.879890,1
343,164808,520,165328,0.878445,1
344,170216,620,170836,0.874786,1
345,162173,510,162683,0.880235,1
346,162740,540,163280,0.879850,1
347,163338,520,163858,0.879443,1
348,161556,530,162086,0.880655,1
349,162504,540,163044,0.880010,1
350,160692,490,161182,0.881243,1
351,162760,440,163200,0.879836,1
352,160738,550,161288,0.881212,1
353,162296,490,162786,0.880152,1
354,161814,560,162374,0.880480,1
355,163562,470,164032,0.879291,1
356,162180,510,162690,0.880231,1
357,163256,500,163756,0.879499,1
358,162654,500,163154,0.879908,1
359,164262,540,164802,0.878816,1
360,164180,520,164700,0.878871,1
361,162628,530,163158,0.879926,1
362,162296,500,162796,0.880152,1
363,163954,560,164514,0.879025,1
364,163432,550,163982,0.879379,1
365,165060,520,165580,0.878274,1
366,162477,480,162957,0.880029,1
367,163565,470,164035,0.879289,1
368,164742,450,165192,0.878490,1
369,179190,530,179720,0.868758,1
370,163618,540,164158,0.879253,1
371,163876,500,164376,0.879078,1
372,163894,470,164364,0.879066,1
373,162392,450,162842,0.880086,1
374,162309,500,162809,0.880143,1
375,161947,580,162527,0.880389,1
376,167255,620,167875,0.876787,1
377,161933,520,162453,0.880399,1
378,169801,520,170321,0.875066,1
379,165638,480,166118,0.877882,1
380,164216,500,164716,0.878847,1
381,164104,540,164644,0.878923,1
382,160872,520,161392,0.881121,1
383,162190,520,162710,0.880224,1
384,165348,530,165878,0.878079,1
385,159206,470,159676,0.882257,1
386,158054,430,158484,0.883043,1
387,159282,400,159682,0.882205,1
388,157680,460,158140,0.883298,1
389,164737,440,165177,0.878493,1
390,163024,460,163484,0.879657,1
391,162442,430,162872,0.880052,1
392,160910,450,161360,0.881095,1
393,158458,480,158938,0.882767,1
394,158706,410,159116,0.882598,1
395,167164,720,167884,0.876849,1
396,165062,560,165622,0.878273,1
397,165250,510,165760,0.878145,1
398,165678,540,166218,0.877855,1
399,164425,480,164905,0.878705,1
400,163383,490,163873,0.879413,1
401,165260,500,165760,0.878139,1
402,170948,490,171438,0.874292,1
403,166486,600,167086,0.877308,1
404,165294,510,165804,0.878116,1
405,163742,540,164282,0.879169,1
406,162170,490,162660,0.880237,1
407,162807,440,163247,0.879804,1
408,165555,560,166115,0.877939,1
409,163713,470,164183,0.879189,1
410,163001,470,163471,0.879672,1
411,166458,510,166968,0.877327,1
412,162886,480,163366,0.879750,1
413,160924,470,161394,0.881085,1
414,162262,560,162822,0.880175,1
415,163670,490,164160,0.879218,1
416,168278,540,168818,0.876095,1
417,172345,500,172845,0.873351,1
418,165493,520,166013,0.877981,1
419,167321,480,167801,0.876742,1
420,165409,490,165899,0.878038,1
421,164397,480,164877,0.878724,1
422,166354,510,166864,0.877397,1
423,165072,490,165562,0.878266,1
424,170350,480,170830,0.874696,1
425,165227,510,165737,0.878161,1
426,165035,480,165515,0.878291,1
427,173533,490,174023,0.872552,1
428,163581,510,164091,0.879278,1
429,163969,550,164519,0.879015,1
430,164537,480,165017,0.878629,1
431,163225,490,163715,0.879520,1
432,163583,490,164073,0.879277,1
433,175880,470,176350,0.870975,1
434,169908,490,170398,0.874994,1
435,178666,530,179196,0.869108,1
436,165993,470,166463,0.877642,1
437,162991,490,163481,0.879679,1
438,165709,490,166199,0.877834,1
439,162627,470,163097,0.879927,1
440,166175,600,166775,0.877518,1
441,165463,460,165923,0.878001,1
442,163901,500,164401,0.879061,1
443,168079,480,168559,0.876230,1
444,162606,470,163076,0.879941,1
445,161923,490,162413,0.880405,1
446,163721,500,164221,0.879183,1
447,163759,490,164249,0.879157,1
448,166007,540,166547,0.877632,1
449,163785,490,164275,0.879140,1
450,163783,470,164253,0.879141,1
451,164371,540,164911,0.878742,1
452,163849,520,164369,0.879096,1
453,164197,550,164747,0.878860,1
454,163245,530,163775,0.879506,1
455,164792,550,165342,0.878456,1
456,166509,570,167079,0.877292,1
457,164487,530,165017,0.878663,1
458,163665,560,164225,0.879221,1
459,167323,540,167863,0.876741,1
460,162611,480,163091,0.879937,1
461,163279,510,163789,0.879483,1
462,162917,440,163357,0.879729,1
463,164414,490,164904,0.878713,1
464,163912,440,164352,0.879053,1
465,163700,530,164230,0.879197,1
466,163797,550,164347,0.879131,1
467,163745,580,164325,0.879167,1
468,173213,570,173783,0.872767,1
469,165151,520,165671,0.878213,1
470,164348,530,164878,0.878757,1
471,165436,500,165936,0.878019,1
472,165774,600,166374,0.877790,1
473,162872,490,163362,0.879760,1
474,164010,450,164460,0.878987,1
475,165398,430,165828,0.878045,1
476,162625,440,163065,0.879928,1
477,164193,460,164653,0.878863,1
478,163040,480,163520,0.879646,1
479,164478,540,165018,0.878669,1
480,163876,460,164336,0.879078,1
481,165604,540,166144,0.877905,1
482,170862,480,171342,0.874350,1
483,163450,470,163920,0.879367,1
484,163688,510,164198,0.879205,1
485,164506,490,164996,0.878650,1
486,162744,460,163204,0.879847,1
487,164252,430,164682,0.878823,1
488,168330,540,168870,0.876060,1
489,164647,470,165117,0.878554,1
490,164444,500,164944,0.878692,1
491,165952,530,166482,0.877670,1
492,163000,510,163510,0.879673,1
493,163918,520,164438,0.879049,1
494,163506,470,163976,0.879329,1
495,164424,580,165004,0.878706,1
496,163722,580,164302,0.879182,1
497,173950,640,174590,0.872271,1
498,163488,530,164018,0.879341,1
499,164696,480,165176,0.878521,1
500,162073,480,162553,0.880303,1
501,175420,480,175900,0.871284,1
502,163468,510,163978,0.879355,1
503,163806,500,164306,0.879125,1
504,167354,550,167904,0.876720,1
505,163642,500,164142,0.879237,1
506,162040,530,162570,0.880326,1
507,166468,570,167038,0.877320,1
508,164616,660,165276,0.878575,1
509,164183,550,164733,0.878869,1
510,164880,590,165470,0.878396,1
511,167858,520,168378,0.876379,1
512,164336,520,164856,0.878766,1
513,163664,520,164184,0.879222,1
514,163802,530,164332,0.879128,1
515,164030,480,164510,0.878973,1
516,162988,500,163488,0.879681,1
517,162665,450,163115,0.879901,1
518,162973,510,163483,0.879691,1
519,171341,620,171961,0.874027,1
520,166679,560,167239,0.877177,1
521,164387,560,164947,0.878731,1
522,166895,520,167415,0.877031,1
523,164563,490,165053,0.878611,1
524,163331,500,163831,0.879448,1
525,162928,440,163368,0.879722,1
526,163906,480,164386,0.879057,1
527,164053,480,164533,0.878958,1
528,163161,460,163621,0.879564,1
529,166949,530,167479,0.876994,1
530,164737,490,165227,0.878493,1
531,164955,480,165435,0.878345,1
532,163153,480,163633,0.879569,1
533,170890,440,171330,0.874331,1
534,162878,540,163418,0.879756,1
535,167346,520,167866,0.876726,1
536,169704,570,170274,0.875132,1
537,165632,540,166172,0.877886,1
538,165490,500,165990,0.877983,1
539,164748,540,165288,0.878486,1
540,164865,480,165345,0.878407,1
541,164383,510,164893,0.878734,1
542,163621,510,164131,0.879251,1
543,164999,490,165489,0.878316,1
544,164996,470,165466,0.878318,1
545,169294,530,169824,0.875409,1
546,163062,480,163542,0.879631,1
547,163540,530,164070,0.879306,1
548,171078,450,171528,0.874205,1
549,162386,490,162876,0.880090,1
550,162994,470,163464,0.879677,1
551,166292,470,166762,0.877439,1
552,165080,560,165640,0.878261,1
553,165388,510,165898,0.878052,1
554,166935,510,167445,0.877004,1
555,164262,490,164752,0.878816,1
556,164150,520,164670,0.878892,1
557,162068,530,162598,0.880307,1
558,163566,530,164096,0.879288,1
559,164504,510,165014,0.878651,1
560,165142,510,165652,0.878219,1
561,168950,500,169450,0.875641,1
562,164778,530,165308,0.878466,1
563,164146,500,164646,0.878894,1
564,162984,490,163474,0.879684,1
565,169102,580,169682,0.875538,1
566,176369,510,176879,0.870647,1
567,168607,540,169147,0.875873,1
568,167045,520,167565,0.876929,1
569,163702,550,164252,0.879196,1
570,165920,460,166380,0.877691,1
571,163978,490,164468,0.879009,1
572,165556,440,165996,0.877938,1
573,165544,530,166074,0.877946,1
574,164752,570,165322,0.878483,1
575,164450,530,164980,0.878688,1
576,165688,530,166218,0.877848,1
577,163965,490,164455,0.879017,1
578,163913,530,164443,0.879053,1
579,164840,490,165330,0.878424,1
580,163238,470,163708,0.879511,1
581,164646,500,165146,0.878555,1
582,164644,500,165144,0.878556,1
583,165102,480,165582,0.878246,1
584,168050,510,168560,0.876249,1
585,165858,480,166338,0.877733,1
586,166876,490,167366,0.877044,1
587,166383,460,166843,0.877378,1
588,163740,490,164230,0.879170,1
589,163908,460,164368,0.879056,1
590,164386,480,164866,0.878732,1
591,163554,490,164044,0.879297,1
592,166582,530,167112,0.877243,1
593,164700,470,165170,0.878518,1
594,165047,580,165627,0.878283,1
595,164985,490,165475,0.878325,1
596,166413,500,166913,0.877357,1
597,164041,490,164531,0.878966,1
598,164488,470,164958,0.878662,1
599,178336,520,178856,0.869329,1
600,168144,510,168654,0.876186,1
601,163782,480,164262,0.879142,1
602,167660,470,168130,0.876513,1
603,166148,520,166668,0.877537,1
604,169366,550,169916,0.875360,1
605,163663,540,164203,0.879222,1
606,165280,510,165790,0.878125,1
607,165448,650,166098,0.878011,1
608,164626,540,165166,0.878569,1
609,165184,490,165674,0.878190,1
610,162812,530,163342,0.879801,1
611,165570,440,166010,0.877928,1
612,165108,460,165568,0.878242,1
613,165246,470,165716,0.878148,1
614,166844,470,167314,0.877065,1
615,166102,500,166602,0.877568,1
616,167879,510,168389,0.876365,1
617,167167,450,167617,0.876847,1
618,169345,580,169925,0.875374,1
619,164212,450,164662,0.878850,1
620,164230,520,164750,0.878837,1
621,166448,470,166918,0.877333,1
622,165056,540,165596,0.878277,1
623,164584,490,165074,0.878597,1
624,166492,520,167012,0.877304,1
625,173890,450,174340,0.872311,1
626,161108,440,161548,0.880960,1
627,160935,420,161355,0.881078,1
628,159863,450,160313,0.881808,1
629,160511,400,160911,0.881367,1
630,160898,470,161368,0.881103,1
631,165216,600,165816,0.878168,1
632,171914,430,172344,0.873641,1
633,162742,460,163202,0.879848,1
634,164170,420,164590,0.878878,1
635,167828,810,168638,0.876399,1
636,167496,560,168056,0.876624,1
637,165203,540,165743,0.878177,1
638,168110,560,168670,0.876209,1
639,167058,510,167568,0.876920,1
640,164656,520,165176,0.878548,1
641,169014,520,169534,0.875598,1
642,165392,480,165872,0.878049,1
643,169170,600,169770,0.875492,1
