count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
187,1785838195205037393,379262,159170,0.882281,1
188,1785838195205418505,378022,158758,0.882562,1
189,1785838195205798347,379382,159617,0.881976,1
190,1785838195206180279,378672,157955,0.883111,1
191,1785838195206560711,377752,157653,0.883317,1
192,1785838195206940333,380713,159481,0.882069,1
193,1785838195207322796,380242,160188,0.881587,1
194,1785838195207705068,379442,160576,0.881322,1
195,1785838195208086360,380052,158404,0.882804,1
196,1785838195208468062,374062,156453,0.884137,1
197,1785838195208843734,384582,158231,0.882922,1
198,1785838195209229946,381472,159079,0.882343,1
199,1785838195209613888,376692,158327,0.882856,1
200,1785838195209992210,378812,158445,0.882776,1
201,1785838195210372672,377972,158823,0.882518,1
202,1785838195210752504,388922,163511,0.879326,1
203,1785838195211143256,378493,158289,0.882882,1
204,1785838195211523529,377122,158016,0.883069,1
205,1785838195211902241,378302,158675,0.882619,1
206,1785838195212282203,376752,156633,0.884014,1
207,1785838195212660495,375542,156531,0.884084,1
208,1785838195213037667,377202,157599,0.883354,1
209,1785838195213416439,378332,161877,0.880437,1
210,1785838195213796821,376922,159066,0.882352,1
211,1785838195214175913,402072,179273,0.868702,1
212,1785838195214580325,378872,158922,0.882450,1
213,1785838195214960947,382583,158990,0.882404,1
214,1785838195215345170,380362,158227,0.882925,1
215,1785838195215727712,380362,158205,0.882940,1
216,1785838195216110234,378812,157793,0.883221,1
217,1785838195216490826,376342,157791,0.883223,1
218,1785838195216868948,379452,157440,0.883462,1
219,1785838195217249920,373672,156458,0.884134,1
220,1785838195217625142,372892,156006,0.884443,1
221,1785838195217999624,377682,155775,0.884601,1
222,1785838195218378916,377752,156673,0.883987,1
223,1785838195218763758,382982,161071,0.880985,1
224,1785838195219148830,379852,158859,0.882493,1
225,1785838195219530442,380763,160377,0.881458,1
226,1785838195219913315,384932,163244,0.879507,1
227,1785838195220299817,376742,157222,0.883611,1
228,1785838195220678019,375892,157150,0.883661,1
229,1785838195221055571,380422,157038,0.883737,1
230,1785838195221438473,378422,158116,0.883001,1
231,1785838195221818355,376552,158365,0.882831,1
232,1785838195222196517,377342,156543,0.884076,1
233,1785838195222575529,376882,157011,0.883756,1
234,1785838195222954131,378672,157469,0.883443,1
235,1785838195223334743,381532,157017,0.883752,1
236,1785838195223718205,377093,157886,0.883158,1
237,1785838195224097068,377842,157733,0.883262,1
238,1785838195224476540,377822,157701,0.883284,1
239,1785838195224856102,380352,158209,0.882937,1
240,1785838195225238274,378852,158787,0.882542,1
241,1785838195225618676,379732,161945,0.880390,1
242,1785838195226000008,382302,160153,0.881611,1
243,1785838195226384370,375472,155752,0.884617,1
244,1785838195226761532,390292,169270,0.875425,1
245,1785838195227154024,381282,157668,0.883307,1
246,1785838195227537756,380712,158146,0.882980,1
247,1785838195227921458,380423,158284,0.882886,1
248,1785838195228303661,379942,158321,0.882861,1
249,1785838195228685413,380552,160939,0.881075,1
250,1785838195229067835,377942,158197,0.882945,1
251,1785838195229448777,375022,157615,0.883343,1
252,1785838195229825829,374352,157764,0.883241,1
253,1785838195230201851,377652,155402,0.884857,1
254,1785838195230581593,376212,156020,0.884434,1
255,1785838195230959425,388432,165528,0.877957,1
256,1785838195231349787,377012,157166,0.883650,1
257,1785838195231728719,379592,157215,0.883616,1
258,1785838195232109951,381213,160213,0.881570,1
259,1785838195232492824,373102,155910,0.884509,1
260,1785838195232867586,376332,157038,0.883737,1
261,1785838195233245648,382082,157727,0.883266,1
262,1785838195233629590,377572,157655,0.883316,1
263,1785838195234008672,379362,157773,0.883235,1
264,1785838195234389974,378132,157811,0.883209,1
265,1785838195234770226,378652,157579,0.883367,1
266,1785838195235150678,378392,157987,0.883089,1
