count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
212,106071,0,106071,106071,0,0,0
213,306789,0,306789,306789,0,0,1
214,137588,0,137588,137588,0,0,1
215,146123,0,146123,146123,0,0,0
216,124066,0,124066,124066,0,0,1
217,99852,0,99852,99852,0,0,0
218,179002,0,179002,179002,0,0,1
219,110023,0,110023,110023,0,0,1
220,103213,0,103213,103213,0,0,1
221,142686,0,142686,142686,0,0,0
222,129092,0,129092,129092,0,0,0
223,145499,0,145499,145499,0,0,1
224,120728,0,120728,120728,0,0,0
225,152470,0,152470,152470,0,0,0
226,85806,0,85806,85806,0,0,1
227,171474,0,171474,171474,0,0,0
228,475220,0,475220,475220,0,0,0
229,84841,0,84841,84841,0,0,0
230,479333,0,479333,479333,0,0,1
231,75464,0,75464,75464,0,0,1
232,1410690,0,1410690,1410690,0,0,0
233,901153,0,901153,901153,0,0,1
234,397335,0,397335,397335,0,0,1
235,818005,0,818005,818005,0,0,0
236,310854,0,310854,310854,0,0,1
237,873800,0,873800,873800,0,0,1
238,368497,0,368497,368497,0,0,1
239,293264,0,293264,293264,0,0,1
240,205184,0,205184,205184,0,0,1
241,90940,0,90940,90940,0,0,0
242,766440,0,766440,766440,0,0,0
243,249608,0,249608,249608,0,0,1
244,155628,0,155628,155628,0,0,1
245,849134,0,849134,849134,0,0,0
246,342561,0,342561,342561,0,0,0
247,65168,0,65168,65168,0,0,1
248,1338853,0,1338853,1338853,0,0,1
249,823834,0,823834,823834,0,0,1
250,320299,0,320299,320299,0,0,0
251,123891,0,123891,123891,0,0,1
252,449930,0,449930,449930,0,0,1
253,148025,0,148025,148025,0,0,1
254,572196,0,572196,572196,0,0,0
255,64575,0,64575,64575,0,0,0
256,305271,0,305271,305271,0,0,1
257,113606,0,113606,113606,0,0,1
258,123226,0,123226,123226,0,0,0
259,139035,0,139035,139035,0,0,0
260,581356,0,581356,581356,0,0,0
261,73865,0,73865,73865,0,0,1
262,144136,0,144136,144136,0,0,1
263,114123,0,114123,114123,0,0,0
264,988990,0,988990,988990,0,0,0
265,479730,0,479730,479730,0,0,1
266,139100,0,139100,139100,0,0,1
267,162471,0,162471,162471,0,0,1
268,162150,0,162150,162150,0,0,0
269,994610,0,994610,994610,0,0,1
270,488146,0,488146,488146,0,0,1
271,53298,0,53298,53298,0,0,1
272,2270718,0,2270718,2270718,0,0,0
273,1765793,0,1765793,1765793,0,0,0
274,1262338,0,1262338,1262338,0,0,1
275,758563,0,758563,758563,0,0,1
276,252721,0,252721,252721,0,0,1
277,659885,0,659885,659885,0,0,1
278,155031,0,155031,155031,0,0,0
279,330840,0,330840,330840,0,0,1
280,129239,0,129239,129239,0,0,1
281,195526,0,195526,195526,0,0,1
282,502538,0,502538,502538,0,0,0
283,73142,0,73142,73142,0,0,1
284,174946,0,174946,174946,0,0,1
285,192258,0,192258,192258,0,0,1
286,193825,0,193825,193825,0,0,0
287,96612,0,96612,96612,0,0,1
288,89252,0,89252,89252,0,0,0
289,1449774,0,1449774,1449774,0,0,0
290,932916,0,932916,932916,0,0,1
291,426857,0,426857,426857,0,0,1
292,112802,0,112802,112802,0,0,0
293,96116,0,96116,96116,0,0,0
294,103654,0,103654,103654,0,0,0
295,101446,0,101446,101446,0,0,1
296,687722,0,687722,687722,0,0,1
297,180013,0,180013,180013,0,0,1
298,541077,0,541077,541077,0,0,0
299,84308,0,84308,84308,0,0,0
300,631509,0,631509,631509,0,0,1
301,135820,0,135820,135820,0,0,0
302,117205,0,117205,117205,0,0,0
303,722992,0,722992,722992,0,0,1
