count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
51,159269,0,159269,159269,0,0,1
52,570806,0,570806,570806,0,0,1
53,63804,0,63804,63804,0,0,0
54,930405,0,930405,930405,0,0,0
55,423354,0,423354,423354,0,0,1
56,206460,0,206460,206460,0,0,1
57,155016,0,155016,155016,0,0,1
58,1075188,0,1075188,1075188,0,0,0
59,567422,0,567422,567422,0,0,0
60,63613,0,63613,63613,0,0,0
61,73097,0,73097,73097,0,0,1
62,215627,0,215627,215627,0,0,1
63,511972,0,511972,511972,0,0,1
64,34541,0,34541,34541,0,0,0
65,96537,0,96537,96537,0,0,1
66,94025,0,94025,94025,0,0,1
67,111225,0,111225,111225,0,0,0
68,167882,0,167882,167882,0,0,0
69,212286,0,212286,212286,0,0,0
70,143210,0,143210,143210,0,0,1
71,376663,0,376663,376663,0,0,1
72,59324,0,59324,59324,0,0,0
73,66812,0,66812,66812,0,0,0
74,1737352,0,1737352,1737352,0,0,0
75,1230245,0,1230245,1230245,0,0,0
76,724973,0,724973,724973,0,0,1
77,220802,0,220802,220802,0,0,0
78,79615,0,79615,79615,0,0,1
79,127257,0,127257,127257,0,0,1
80,114903,0,114903,114903,0,0,0
81,133493,0,133493,133493,0,0,1
82,546819,0,546819,546819,0,0,0
83,56641,0,56641,56641,0,0,0
84,70380,0,70380,70380,0,0,0
85,245772,0,245772,245772,0,0,1
86,770179,0,770179,770179,0,0,1
87,263366,0,263366,263366,0,0,1
88,1320033,0,1320033,1320033,0,0,1
89,812877,0,812877,812877,0,0,0
90,308361,0,308361,308361,0,0,1
91,73178,0,73178,73178,0,0,1
92,228402,0,228402,228402,0,0,0
93,250668,0,250668,250668,0,0,0
94,341379,0,341379,341379,0,0,1
95,428444,0,428444,428444,0,0,0
96,281647,0,281647,281647,0,0,1
97,98095,0,98095,98095,0,0,1
98,643180,0,643180,643180,0,0,1
99,134601,0,134601,134601,0,0,0
100,202269,0,202269,202269,0,0,1
101,281467,0,281467,281467,0,0,0
102,376961,0,376961,376961,0,0,1
103,478220,0,478220,478220,0,0,0
104,48041,0,48041,48041,0,0,1
105,190806,0,190806,190806,0,0,1
106,233075,0,233075,233075,0,0,1
107,108898,0,108898,108898,0,0,0
108,201579,0,201579,201579,0,0,1
109,138423,0,138423,138423,0,0,0
110,143481,0,143481,143481,0,0,0
111,163202,0,163202,163202,0,0,1
112,138431,0,138431,138431,0,0,0
113,596024,0,596024,596024,0,0,0
114,84229,0,84229,84229,0,0,0
115,308471,0,308471,308471,0,0,0
116,1499200,0,1499200,1499200,0,0,1
117,992848,0,992848,992848,0,0,1
118,498835,0,498835,498835,0,0,1
119,36347,0,36347,36347,0,0,0
120,916291,0,916291,916291,0,0,0
121,409809,0,409809,409809,0,0,1
122,54119,0,54119,54119,0,0,1
123,462660,0,462660,462660,0,0,1
124,227208,0,227208,227208,0,0,1
125,168789,0,168789,168789,0,0,1
126,224690,0,224690,224690,0,0,1
127,1924198,0,1924198,1924198,0,0,0
128,1417259,0,1417259,1417259,0,0,1
129,913152,0,913152,913152,0,0,0
130,409370,0,409370,409370,0,0,1
131,347463,0,347463,347463,0,0,1
132,1421210,0,1421210,1421210,0,0,0
133,914060,0,914060,914060,0,0,0
134,409785,0,409785,409785,0,0,1
135,1374813,0,1374813,1374813,0,0,1
136,868569,0,868569,868569,0,0,1
137,364120,0,364120,364120,0,0,0
138,120083,0,120083,120083,0,0,1
139,115127,0,115127,115127,0,0,1
140,1368059,0,1368059,1368059,0,0,1
141,859641,0,859641,859641,0,0,0
142,354212,0,354212,354212,0,0,0
143,1999304,0,1999304,1999304,0,0,0
144,1492223,0,1492223,1492223,0,0,1
145,988187,0,988187,988187,0,0,0
146,484039,0,484039,484039,0,0,1
147,60684,0,60684,60684,0,0,0
148,929561,0,929561,929561,0,0,0
149,419932,0,419932,419932,0,0,0
150,211779,0,211779,211779,0,0,0
151,129073,0,129073,129073,0,0,0
152,179005,0,179005,179005,0,0,1
153,459477,0,459477,459477,0,0,1
154,98677,0,98677,98677,0,0,0
155,197345,0,197345,197345,0,0,0
156,290430,0,290430,290430,0,0,1
157,401657,0,401657,401657,0,0,1
158,224549,0,224549,224549,0,0,1
159,114745,0,114745,114745,0,0,1
160,233059,0,233059,233059,0,0,0
161,404540,0,404540,404540,0,0,1
162,98194,0,98194,98194,0,0,0
163,344885,0,344885,344885,0,0,1
164,659927,0,659927,659927,0,0,0
165,152870,0,152870,152870,0,0,0
166,120518,0,120518,120518,0,0,0
167,87545,0,87545,87545,0,0,1
168,111364,0,111364,111364,0,0,0
169,387160,0,387160,387160,0,0,1
170,508642,0,508642,508642,0,0,0
171,148747,0,148747,148747,0,0,0
172,965979,0,965979,965979,0,0,1
173,458807,0,458807,458807,0,0,0
174,64668,0,64668,64668,0,0,0
175,358897,0,358897,358897,0,0,1
176,111256,0,111256,111256,0,0,0
177,207954,0,207954,207954,0,0,1
178,70787,0,70787,70787,0,0,1
179,122645,0,122645,122645,0,0,0
180,123964,0,123964,123964,0,0,0
181,635677,0,635677,635677,0,0,0
182,126398,0,126398,126398,0,0,1
183,208900,0,208900,208900,0,0,1
184,95512,0,95512,95512,0,0,0
185,1234214,0,1234214,1234214,0,0,0
186,719666,0,719666,719666,0,0,0
187,213789,0,213789,213789,0,0,1
188,118244,0,118244,118244,0,0,1
189,501179,0,501179,501179,0,0,1
190,90336,0,90336,90336,0,0,0
