count_index,ts_swap,swap_to_recv_ns,werner,success_bit
0,1789567653108361788,373198,0.000000,0
1,1789567653108786122,151930,0.000000,0
2,1789567653109234626,104276,0.931000,1
3,1789567653109643181,103661,0.000000,0
4,1789567653110050405,86388,0.000000,0
5,1789567653110457250,85723,0.000000,0
6,1789567653110864454,85750,0.000000,0
7,1789567653111271239,84426,0.000000,0
8,1789567653111678324,84342,0.000000,0
9,1789567653112085108,83378,0.000000,0
10,1789567653112491993,95163,0.000000,0
11,1789567653112898988,90638,0.000000,0
12,1789567653113306422,83385,0.000000,0
13,1789567653113713357,84050,0.000000,0
14,1789567653114119941,87277,0.931000,1
15,1789567653114527076,83693,0.000000,0
16,1789567653114933711,83428,0.000000,0
17,1789567653115340935,82555,0.931000,1
18,1789567653115748120,83380,0.000000,0
19,1789567653116154754,82596,0.000000,0
20,1789567653116561749,80712,0.000000,0
21,1789567653116968504,83317,0.000000,0
22,1789567653117375608,84324,0.000000,0
23,1789567653117782503,84060,0.000000,0
24,1789567653118189208,85955,0.000000,0
25,1789567653118596902,84291,0.000000,0
26,1789567653119003777,86417,0.000000,0
27,1789567653119410881,85563,0.000000,0
28,1789567653119818046,84528,0.000000,0
29,1789567653120224751,84254,0.000000,0
30,1789567653120631655,84411,0.931000,1
31,1789567653121038470,84346,0.000000,0
32,1789567653121445584,84683,0.000000,0
33,1789567653121852699,83568,0.000000,0
34,1789567653122259524,83074,0.000000,0
35,1789567653122666358,81970,0.931000,1
36,1789567653123073043,84735,0.000000,0
37,1789567653123483737,84073,0.000000,0
38,1789567653123890702,86878,0.000000,0
39,1789567653124297417,84053,0.000000,0
40,1789567653124704761,82770,0.931000,1
41,1789567653125111756,98575,0.000000,0
42,1789567653125519311,83421,0.000000,0
43,1789567653125926195,83167,0.000000,0
44,1789567653126333040,83263,0.000000,0
45,1789567653126739854,82080,0.000000,0
46,1789567653127146609,86285,0.000000,0
47,1789567653127553424,83040,0.000000,0
48,1789567653127960278,82927,0.000000,0
49,1789567653128366843,84122,0.000000,0
50,1789567653128773767,84068,0.000000,0
51,1789567653129180512,86784,0.000000,0
52,1789567653129587977,84680,0.000000,0
53,1789567653129999491,84506,0.000000,0
54,1789567653130406886,84062,0.000000,0
55,1789567653130813730,84318,0.931000,1
56,1789567653131220865,83393,0.000000,0
57,1789567653131628089,84640,0.000000,0
58,1789567653132035104,83245,0.931000,1
59,1789567653132441928,84542,0.000000,0
60,1789567653132848993,83838,0.000000,0
61,1789567653133256378,85263,0.000000,0
62,1789567653133663342,86199,0.000000,0
63,1789567653134070007,86595,0.931000,1
64,1789567653134480261,83811,0.000000,0
65,1789567653134887286,84156,0.000000,0
66,1789567653135294211,85583,0.000000,0
67,1789567653135701175,83599,0.931000,1
68,1789567653136108060,83134,0.000000,0
69,1789567653136514835,82440,0.000000,0
70,1789567653136921729,83776,0.000000,0
71,1789567653137329154,83772,0.000000,0
72,1789567653137736148,84598,0.000000,0
73,1789567653138143043,87803,0.000000,0
74,1789567653138549958,92209,0.000000,0
75,1789567653138956562,84106,0.000000,0
76,1789567653139363397,83781,0.000000,0
77,1789567653139770751,82978,0.931000,1
78,1789567653140177736,86873,0.000000,0
79,1789567653140584531,83058,0.000000,0
80,1789567653140991325,83435,0.000000,0
