sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
21,1782212080311769550,1782212123366546513,1782212123366568723,1782212080311961306,43054776963,-43054607417,-43054692190,84773,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
22,1782212080311985665,1782212123366842943,1782212123366858443,1782212080312193761,43054857278,-43054664682,-43054760980,96298,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
23,1782212080312218391,1782212123366991943,1782212123367013323,1782212080312412767,43054773552,-43054600556,-43054687054,86498,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
24,1782212080312439486,1782212123367293733,1782212123367308913,1782212080312644942,43054854247,-43054663971,-43054759109,95138,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
25,1782212080312669692,1782212123367445533,1782212123367468933,1782212080312865268,43054775841,-43054603665,-43054689753,86088,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
26,1782212080312889497,1782212123367738183,1782212123367754283,1782212080313090893,43054848686,-43054663390,-43054756038,92648,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
27,1782212080313115253,1782212123367887843,1782212123367909193,1782212080313312219,43054772590,-43054596974,-43054684782,87808,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
28,1782212080313336679,1782212123368194053,1782212123368210083,1782212080313548024,43054857374,-43054662059,-43054759717,97657,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
29,1782212080313577254,1782212123368354043,1782212123368383283,1782212080313772100,43054776789,-43054611183,-43054693986,82803,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
30,1782212080313796580,1782212123368644013,1782212123368659593,1782212080313996356,43054847433,-43054663237,-43054755335,92098,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
31,1782212080314020366,1782212123368795873,1782212123368816983,1782212080314221302,43054775507,-43054595681,-43054685594,89913,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
32,1782212080314245901,1782212123369099653,1782212123369114843,1782212080314450587,43054853752,-43054664256,-43054759004,94748,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
33,1782212080314478947,1782212123369255174,1782212123369276164,1782212080314678153,43054776227,-43054598011,-43054687119,89108,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
34,1782212080314704712,1782212123369550834,1782212123369568064,1782212080314905258,43054846122,-43054662806,-43054754464,91658,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
35,1782212080314930588,1782212123369706644,1782212123369728734,1782212080315133414,43054776056,-43054595320,-43054685688,90368,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
36,1782212080315158913,1782212123370013984,1782212123370029154,1782212080315365309,43054855071,-43054663845,-43054759458,95613,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
37,1782212080315397089,1782212123370173214,1782212123370194404,1782212080315595875,43054776125,-43054598529,-43054687327,88798,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
