count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
1474,238738,1756,240494,0.830097,1
1475,182210,1615,183825,0.866741,1
1476,178994,1691,180685,0.868889,1
1477,174346,1330,175676,0.872005,1
1478,213080,1603,214683,0.846473,1
1479,249366,2184,251550,0.823436,1
1480,171658,1252,172910,0.873814,1
1481,121506,1061,122567,0.908469,1
1482,111168,944,112112,0.915831,1
1483,109542,953,110495,0.916996,1
1484,108389,894,109283,0.917823,1
1486,122515,1647,124162,0.907754,2
1487,126791,1125,127916,0.904734,1
1488,109627,934,110561,0.916935,1
1489,96200,975,97175,0.926626,1
1492,142204,1557,143761,0.893955,3
1493,136480,1449,137929,0.897939,1
1494,99049,1333,100382,0.924559,1
1495,193054,1484,194538,0.859550,1
1496,150344,1405,151749,0.888330,1
1497,234275,1748,236023,0.832915,1
1499,179099,2055,181154,0.868819,2
1500,188311,1347,189658,0.862686,1
1501,153880,1204,155084,0.885900,1
1502,130740,1030,131770,0.901957,1
1503,113868,892,114760,0.913901,1
1505,106308,877,107185,0.919318,2
1506,105275,911,106186,0.920062,1
1507,108030,889,108919,0.918081,1
1509,106446,868,107314,0.919219,2
1510,105318,902,106220,0.920031,1
1511,106014,957,106971,0.919530,1
1512,143060,869,143929,0.893362,1
1513,203810,2007,205817,0.852494,1
1514,211702,3140,214842,0.847365,1
1515,153482,1378,154860,0.886173,1
1516,159585,1203,160788,0.881998,1
1517,132017,1003,133020,0.901061,1
1518,119925,1021,120946,0.909590,1
1519,118083,1067,119150,0.910898,1
1520,115513,1024,116537,0.912727,1
1522,594791,1862,596653,0.641342,2
1524,168793,1315,170108,0.875747,2
1525,132069,1141,133210,0.901024,1
1526,124224,991,125215,0.906546,1
1527,116545,1020,117565,0.911992,1
1529,157146,1485,158631,0.883663,2
1530,178252,1257,179509,0.869385,1
1531,148343,1071,149414,0.889708,1
1532,184748,847,185595,0.865051,1
1533,144699,832,145531,0.892226,1
1534,128556,1199,129755,0.903491,1
1535,112260,990,113250,0.915049,1
1536,252914,1615,254529,0.821228,1
1538,95375,1158,96533,0.927226,2
1539,82523,1052,83575,0.936632,1
1540,81996,915,82911,0.937021,1
1541,205945,1819,207764,0.851102,1
1542,183796,1636,185432,0.865684,1
1545,188022,1404,189426,0.862877,3
1546,148739,1494,150233,0.889435,1
1547,232613,1817,234430,0.833968,1
1548,171288,1348,172636,0.874063,1
1549,159460,1417,160877,0.882083,1
1550,146275,1333,147608,0.891136,1
1551,122641,975,123616,0.907665,1
1552,110118,949,111067,0.916583,1
1554,108243,1010,109253,0.917928,2
1555,117206,997,118203,0.911522,1
1556,116972,1066,118038,0.911688,1
1557,112498,1039,113537,0.914879,1
1558,106827,1047,107874,0.918945,1
1559,108526,1039,109565,0.917724,1
1560,103528,1040,104568,0.921321,1
1561,104988,1000,105988,0.920268,1
1562,102639,1011,103650,0.921962,1
1563,235824,1402,237226,0.831936,1
1564,135870,1076,136946,0.898365,1
1565,346754,1753,348507,0.765583,1
1566,334649,1584,336233,0.772471,1
1568,164371,1275,165646,0.878742,2
1569,145499,1516,147015,0.891673,1
1570,195167,1519,196686,0.858158,1
1571,273751,1553,275304,0.808417,1
1572,252628,2052,254680,0.821405,1
1573,288274,1622,289896,0.799645,1
1574,168447,1146,169593,0.875981,1
1576,132247,1470,133717,0.900900,2
1577,120025,1067,121092,0.909519,1
1578,155564,997,156561,0.884746,1
1580,115041,1022,116063,0.913064,2
1584,213038,1601,214639,0.846500,4
1585,182398,1839,184237,0.866616,1
1586,205575,1325,206900,0.851343,1
1587,150435,1118,151553,0.888267,1
1588,122513,1065,123578,0.907756,1
1590,113908,897,114805,0.913872,2
1591,119870,918,120788,0.909629,1
1593,182350,1486,183836,0.866648,2
1594,164402,1455,165857,0.878721,1
1595,212487,1894,214381,0.846857,1
1597,129200,976,130176,0.903039,2
1598,111962,1099,113061,0.915263,1
1600,114573,914,115487,0.913397,2
1601,114762,976,115738,0.913263,1
