count_index,emit_ts_ns,rtt_ns,e2r_ns,werner
181,1784630781779961139,482872,256960,0.818719
182,1784630781780454879,330758,150739,0.888058
183,1784630781780794668,392105,203346,0.852797
184,1784630781781195796,479009,291871,0.797492
185,1784630781781683847,479236,235346,0.832238
186,1784630781782172628,510576,216668,0.844158
187,1784630781782693796,519825,289174,0.799106
188,1784630781783223516,531096,293801,0.796340
189,1784630781783764015,610838,350622,0.763400
190,1784630781784384428,459543,301961,0.791494
191,1784630781784854437,309418,189369,0.861985
192,1784630781785173142,418999,172553,0.873211
193,1784630781785601486,417643,188956,0.862258
194,1784630781786028487,368353,247370,0.824681
195,1784630781786405502,353888,198283,0.856110
196,1784630781786768500,485811,314937,0.783868
197,1784630781787263211,390165,194547,0.858566
198,1784630781787662459,443204,222945,0.840127
199,1784630781788116784,522819,303378,0.790656
200,1784630781788648968,359418,212798,0.846656
201,1784630781789017604,592773,314187,0.784306
202,1784630781789619094,411535,215136,0.845145
203,1784630781790040317,471279,311106,0.786109
204,1784630781790519869,367183,210662,0.848038
205,1784630781790896192,326969,196425,0.857330
206,1784630781791231550,318048,169174,0.875490
207,1784630781791556643,290733,157242,0.883598
208,1784630781791854349,371191,223348,0.839869
209,1784630781792234135,260209,146546,0.890949
210,1784630781792500649,332163,190442,0.861275
211,1784630781792840841,314872,157401,0.883489
212,1784630781793163701,383854,229722,0.835804
213,1784630781793556164,335872,212720,0.846706
214,1784630781793899163,349623,141799,0.894237
215,1784630781794255845,381605,212373,0.846930
216,1784630781794644958,326448,183869,0.865636
217,1784630781794978798,445337,346109,0.765948
218,1784630781795431091,1027448,649241,0.617954
219,1784630781796467730,1075730,601863,0.638232
220,1784630781797554192,874253,557002,0.658339
221,1784630781798438866,784059,598851,0.639554
222,1784630781799231715,726623,427567,0.721675
223,1784630781799970126,918308,500332,0.685063
224,1784630781800908033,480688,289378,0.798983
225,1784630781801404099,471139,235009,0.832451
226,1784630781801886588,715378,391991,0.740568
227,1784630781802612875,778065,429515,0.720660
228,1784630781803398962,468969,293951,0.796250
229,1784630781803873526,407652,239622,0.829540
230,1784630781804289289,614124,373322,0.750755
231,1784630781804913843,377109,197434,0.856667
232,1784630781805300233,490787,312711,0.785169
233,1784630781805800261,427630,262293,0.815428
234,1784630781806237120,768645,477439,0.696296
235,1784630781807015079,770376,398664,0.736973
236,1784630781807794899,689143,420976,0.725125
237,1784630781808495467,677905,271822,0.809592
238,1784630781809185681,710649,407382,0.732312
239,1784630781809906433,761323,502722,0.683906
240,1784630781810679224,391507,199370,0.855397
241,1784630781811081344,470068,273427,0.808614
242,1784630781811563169,445765,248374,0.824055
243,1784630781812015466,324013,171493,0.873925
244,1784630781812346035,325442,196149,0.857512
245,1784630781812678256,438244,323995,0.778603
246,1784630781813123156,455050,202076,0.853626
247,1784630781813587010,486068,199336,0.855420
248,1784630781814082464,626130,393297,0.739863
249,1784630781814717865,395679,168312,0.876072
250,1784630781815123580,595564,415933,0.727780
251,1784630781815731636,437404,191394,0.860646
252,1784630781816178468,630940,389831,0.741737
253,1784630781816818867,583421,400253,0.736120
254,1784630781817411748,547139,367875,0.753763
255,1784630781817968298,709433,487691,0.691234
256,1784630781818687551,769887,491148,0.689539
257,1784630781819470348,409867,247080,0.824863
258,1784630781819891319,470304,199950,0.855017
259,1784630781820371816,376070,213240,0.846370
260,1784630781820757322,262381,135694,0.898488
261,1784630781821025667,245751,131429,0.901473
262,1784630781821276377,246155,126920,0.904643
263,1784630781821528580,267081,130206,0.902332
264,1784630781821804958,436369,215871,0.844671
265,1784630781822250387,332508,172185,0.873459
266,1784630781822590725,332640,166941,0.877000
267,1784630781822928939,527093,332103,0.773931
268,1784630781823466281,486292,341127,0.768775
269,1784630781823961307,304839,179082,0.868830
270,1784630781824273192,402115,227007,0.837532
271,1784630781824684591,553017,361562,0.757270
272,1784630781825247156,573738,393110,0.739964
273,1784630781825830348,589693,409273,0.731306
274,1784630781826430673,461817,256784,0.818828
275,1784630781826902832,608889,425656,0.722673
276,1784630781827521191,590231,409895,0.730976
277,1784630781828120998,597868,423320,0.723895
278,1784630781828727979,625323,453635,0.708252
279,1784630781829362358,655673,396822,0.737963
280,1784630781830029269,558969,365176,0.755260
281,1784630781830597486,575704,350444,0.763500
282,1784630781831181571,336595,178730,0.869065
283,1784630781831530953,319969,181126,0.867464
284,1784630781831859393,295012,158200,0.882943
285,1784630781832162304,466957,280451,0.804354
286,1784630781832649994,477495,297553,0.794107
287,1784630781833133805,412983,223615,0.839698
288,1784630781833557335,560000,405897,0.733103
289,1784630781834126515,486767,252529,0.821467
290,1784630781834623901,408420,225140,0.838724
291,1784630781835042754,593510,412350,0.729674
292,1784630781835645679,484706,307204,0.788400
293,1784630781836139387,604233,404443,0.733879
294,1784630781836751967,333895,180863,0.867640
295,1784630781837093168,429951,283056,0.802782
296,1784630781837529407,708656,437413,0.716564
297,1784630781838248482,516228,278079,0.805790
298,1784630781838774199,446270,265832,0.813254
299,1784630781839229825,340868,190683,0.861116
300,1784630781839578757,299942,166944,0.876998
301,1784630781839884446,252189,134727,0.899164
302,1784630781840141452,511938,291771,0.797552
303,1784630781840660655,334164,205406,0.851453
304,1784630781841002264,455136,164781,0.878464
305,1784630781841468017,395698,213875,0.845959
306,1784630781841873887,438740,194607,0.858526
307,1784630781842322274,535582,303105,0.790817
308,1784630781842867552,477249,261034,0.816204
309,1784630781843354308,476505,229204,0.836133
310,1784630781843849410,474199,256068,0.819271
311,1784630781844333460,470015,249156,0.823567
312,1784630781844812928,479626,238349,0.830342
313,1784630781845302195,482368,237425,0.830925
314,1784630781845794295,448448,232058,0.834320
315,1784630781846252435,462138,239187,0.829814
316,1784630781846724325,447168,228771,0.836409
317,1784630781847181129,465362,230338,0.835412
318,1784630781847656035,457094,251290,0.822237
319,1784630781848124844,395613,176937,0.870266
320,1784630781848530072,470337,239675,0.829507
321,1784630781849010041,623244,260166,0.816739
322,1784630781849647709,606646,393297,0.739863
323,1784630781850266080,518025,308076,0.787888
324,1784630781850793545,499218,298381,0.793615
325,1784630781851302279,476895,282697,0.802999
326,1784630781851788856,497078,291855,0.797501
327,1784630781852302216,466404,289103,0.799148
328,1784630781852779544,486206,239749,0.829460
329,1784630781853275859,391472,170845,0.874362
330,1784630781853676939,367470,155807,0.884579
331,1784630781854053982,410626,183240,0.866055
332,1784630781854474157,490633,286512,0.800702
333,1784630781854974375,555221,357604,0.759480
334,1784630781855539316,452919,261673,0.815810
335,1784630781856002830,342869,184111,0.865475
336,1784630781856355430,483389,166661,0.877189
337,1784630781856848039,285242,157047,0.883731
338,1784630781857139098,238807,129374,0.902916
339,1784630781857382933,257498,123436,0.907103
340,1784630781857646610,264516,156275,0.884259
341,1784630781857917475,399062,177240,0.870063
342,1784630781858325264,543199,307557,0.788193
343,1784630781858879489,658537,490062,0.690071
344,1784630781859547892,471234,286412,0.800763
345,1784630781860028792,658668,434162,0.718246
346,1784630781860698164,480514,302530,0.791157
347,1784630781861188132,600719,403596,0.734331
348,1784630781861800082,553443,257147,0.818604
349,1784630781862365116,477896,313085,0.784950
350,1784630781862851816,608587,363550,0.756163
351,1784630781863471435,714238,329298,0.775543
352,1784630781864198702,539879,370281,0.752432
353,1784630781864749938,452180,248336,0.824078
354,1784630781865212425,519069,366798,0.754360
355,1784630781865740326,458453,237159,0.831093
356,1784630781866204997,447746,255247,0.819780
357,1784630781866661523,576546,369881,0.752653
358,1784630781867248308,550015,381583,0.746224
359,1784630781867808335,398906,218480,0.842992
360,1784630781868216674,421247,289312,0.799023
361,1784630781868645426,597286,224175,0.839340
362,1784630781869252615,454892,211503,0.847493
363,1784630781869719068,405866,217897,0.843367
364,1784630781870135917,624532,479781,0.695135
365,1784630781870768521,497303,236430,0.831553
366,1784630781871271833,417339,206691,0.850617
367,1784630781871699744,656295,378967,0.747655
368,1784630781872366200,595643,321510,0.780043
369,1784630781872973243,665624,429555,0.720639
370,1784630781873658664,641003,453373,0.708385
371,1784630781874309553,596193,394984,0.738953
372,1784630781874916086,490487,350988,0.763194
373,1784630781875416170,328165,206328,0.850853
374,1784630781875752629,499121,308370,0.787715
375,1784630781876257431,361022,167895,0.876354
376,1784630781876624000,429786,237529,0.830859
377,1784630781877062665,633632,402819,0.734746
378,1784630781877706224,547719,281212,0.803895
379,1784630781878265403,560833,350322,0.763569
380,1784630781878836388,845986,472006,0.699000
381,1784630781879692778,435480,231278,0.834815
382,1784630781880137320,509973,322765,0.779315
383,1784630781880657243,677422,427331,0.721798
384,1784630781881344330,439256,206656,0.850640
385,1784630781881793016,670191,432867,0.718917
386,1784630781882472593,464082,233453,0.833436
387,1784630781882948460,386729,198224,0.856149
388,1784630781883344641,449668,208688,0.849319
389,1784630781883804673,591538,344204,0.767027
390,1784630781884406523,565354,401439,0.735485
391,1784630781884982938,488968,341104,0.768788
392,1784630781885481582,326418,178024,0.869538
393,1784630781885815958,313499,173507,0.872569
394,1784630781886134807,271055,154708,0.885332
395,1784630781886420773,307489,191897,0.860314
396,1784630781886733464,277120,168713,0.875801
397,1784630781887015430,237336,127644,0.904133
398,1784630781887258292,225980,130552,0.902089
399,1784630781887490392,430812,170887,0.874333
400,1784630781887929978,414293,315818,0.783354
401,1784630781888353055,363182,197947,0.856331
402,1784630781888725334,474448,155900,0.884516
403,1784630781889215093,566962,299968,0.792674
404,1784630781889792267,458318,261507,0.815912
405,1784630781890260030,463226,274452,0.807991
406,1784630781890732712,325132,196073,0.857562
407,1784630781891066782,239624,123894,0.906779
408,1784630781891312994,404501,146258,0.891148
409,1784630781891722500,401214,162300,0.880149
410,1784630781892128460,237350,132239,0.900905
411,1784630781892371410,233934,122958,0.907441
412,1784630781892610190,234077,133861,0.899769
413,1784630781892857172,289995,119585,0.909831
414,1784630781893151891,205185,107771,0.918267
415,1784630781893361942,336909,180801,0.867681
416,1784630781893704345,489077,306493,0.788819
417,1784630781894202167,457070,200986,0.854339
418,1784630781894670338,590660,343727,0.767298
419,1784630781895275311,378596,212291,0.846983
420,1784630781895663144,526022,306893,0.788583
421,1784630781896198811,491705,274559,0.807926
422,1784630781896700075,526316,226201,0.838046
423,1784630781897235888,608265,348683,0.764493
424,1784630781897855134,506758,383551,0.745150
425,1784630781898372677,484405,201735,0.853849
426,1784630781898866832,523342,351573,0.762864
427,1784630781899399883,321335,191159,0.860801
428,1784630781899731543,314019,182964,0.866239
429,1784630781900054214,252289,136235,0.898110
430,1784630781900312027,269666,114771,0.913256
431,1784630781900588690,357137,167752,0.876451
432,1784630781900955086,315618,179913,0.868274
433,1784630781901277731,289094,135583,0.898565
434,1784630781901571648,337891,118199,0.910815
435,1784630781901914800,290852,159335,0.882169
436,1784630781902210569,237295,122248,0.907943
437,1784630781902453894,466655,202999,0.853023
438,1784630781902925955,244393,149794,0.888708
439,1784630781903175786,229793,124600,0.906280
440,1784630781903410486,348761,127945,0.903921
441,1784630781903769603,555672,271858,0.809570
442,1784630781904336471,356168,224496,0.839135
443,1784630781904703138,386954,197740,0.856467
444,1784630781905099593,478713,264530,0.814053
445,1784630781905588646,653176,326301,0.777270
446,1784630781906251982,619071,346669,0.765631
447,1784630781906882200,545334,245283,0.825986
448,1784630781907437855,457406,280509,0.804319
449,1784630781907904641,372723,169367,0.875359
450,1784630781908288176,518009,350521,0.763457
451,1784630781908818525,771297,581167,0.647396
452,1784630781909599899,402770,258350,0.817860
453,1784630781910012086,387504,237068,0.831150
454,1784630781910407805,365790,209547,0.848761
455,1784630781910790961,304718,162168,0.880239
456,1784630781911105594,258669,120222,0.909379
457,1784630781911372008,274718,157708,0.883279
458,1784630781911653368,252433,123414,0.907118
459,1784630781911912449,265581,150143,0.888468
460,1784630781912186930,276436,148618,0.889519
461,1784630781912471111,258126,138903,0.896250
462,1784630781912734552,432524,123908,0.906769
463,1784630781913172184,258494,154548,0.885442
464,1784630781913435471,302362,162456,0.880043
465,1784630781913745300,242259,138666,0.896415
466,1784630781913994506,266465,140264,0.895303
467,1784630781914268111,329349,173392,0.872646
468,1784630781914605762,399948,240605,0.828922
469,1784630781915013789,376949,192438,0.859956
470,1784630781915397845,509995,189699,0.861766
471,1784630781915915282,358081,183978,0.865563
472,1784630781916280690,257291,167098,0.876893
473,1784630781916545522,248537,134390,0.899399
474,1784630781916799113,203624,118060,0.910914
475,1784630781917008140,257687,150434,0.888268
476,1784630781917271695,271507,156638,0.884011
477,1784630781917549381,235426,123233,0.907246
478,1784630781917790224,250361,122043,0.908088
479,1784630781918045020,293314,119447,0.909929
480,1784630781918350294,255607,134398,0.899394
481,1784630781918610948,322859,193176,0.859470
482,1784630781918940242,275336,169678,0.875149
483,1784630781919222009,245223,149526,0.888893
484,1784630781919473566,376610,180863,0.867640
485,1784630781919860177,486594,266384,0.812916
486,1784630781920356479,334849,194328,0.858710
487,1784630781920697264,380239,182726,0.866397
488,1784630781921087345,389399,200084,0.854930
489,1784630781921487562,309614,158081,0.883024
490,1784630781921806035,363976,205911,0.851124
491,1784630781922178387,348649,186956,0.863584
492,1784630781922533363,324775,146773,0.890792
493,1784630781922867627,355947,176031,0.870874
494,1784630781923231996,291910,171396,0.873990
495,1784630781923530367,222141,122736,0.907598
496,1784630781923760106,275787,148846,0.889361
497,1784630781924050285,297643,153126,0.886417
498,1784630781924355564,291365,151189,0.887748
499,1784630781924653935,421146,170376,0.874678
500,1784630781925084324,373936,209169,0.849006
501,1784630781925466590,389449,266073,0.813107
502,1784630781925863199,391134,157062,0.883721
503,1784630781926260905,399242,204814,0.851839
504,1784630781926668709,447660,255671,0.819517
505,1784630781927126260,449174,265803,0.813272
506,1784630781927584479,398954,187447,0.863258
507,1784630781927995933,493331,226467,0.837877
508,1784630781928498925,538378,294528,0.795906
509,1784630781929046471,481573,207018,0.850404
510,1784630781929537304,519049,311837,0.785681
511,1784630781930065646,411087,193648,0.859158
512,1784630781930485275,349710,194938,0.858309
513,1784630781930842989,328456,175267,0.871386
514,1784630781931179995,433324,276840,0.806541
515,1784630781931622367,284124,159255,0.882223
516,1784630781931913538,321151,182805,0.866344
517,1784630781932242307,286044,169317,0.875393
518,1784630781932535157,282739,152604,0.886776
519,1784630781932824765,366068,234964,0.832479
520,1784630781933198015,243186,137072,0.897526
521,1784630781933448035,354751,205597,0.851329
522,1784630781933809696,266716,146628,0.890892
523,1784630781934083162,298435,126666,0.904822
524,1784630781934390231,358044,203726,0.852549
525,1784630781934755326,305710,173437,0.872616
526,1784630781935067997,332672,134584,0.899264
527,1784630781935407391,289234,155539,0.884763
528,1784630781935703816,297196,175409,0.871291
529,1784630781936006365,259284,158290,0.882882
530,1784630781936270514,273001,160090,0.881654
