count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
34,216206,1782475646410494897,1782475646410494897,1782475646410725913,1782475646410725913,1782475646410711103,1782475646410711103,3,3,0,1.000000000000,1.000000000000,1.000000000000
35,219304,1782475646410613887,1782475646410613887,1782475646410847711,1782475646410847711,1782475646410833191,1782475646410833191,2,0,2,1.000000000000,1.000000000000,1.000000000000
36,215141,1782475646410729798,1782475646410729798,1782475646410959399,1782475646410959399,1782475646410944939,1782475646410944939,2,0,2,1.000000000000,1.000000000000,1.000000000000
37,215448,1782475646410845459,1782475646410845459,1782475646411075237,1782475646411075237,1782475646411060907,1782475646411060907,0,1,1,1.000000000000,1.000000000000,1.000000000000
38,216445,1782475646410961890,1782475646410961890,1782475646411192755,1782475646411192755,1782475646411178335,1782475646411178335,2,3,1,1.000000000000,1.000000000000,1.000000000000
39,216602,1782475646411081461,1782475646411081461,1782475646411312673,1782475646411312673,1782475646411298063,1782475646411298063,3,0,3,1.000000000000,1.000000000000,1.000000000000
40,219520,1782475646411197551,1782475646411197551,1782475646411432071,1782475646411432071,1782475646411417071,1782475646411417071,2,2,0,1.000000000000,1.000000000000,1.000000000000
41,215648,1782475646411313272,1782475646411313272,1782475646411543429,1782475646411543429,1782475646411528920,1782475646411528920,0,2,2,1.000000000000,1.000000000000,1.000000000000
42,220085,1782475646411429033,1782475646411429033,1782475646411663577,1782475646411663577,1782475646411649118,1782475646411649118,2,3,1,1.000000000000,1.000000000000,1.000000000000
43,215583,1782475646411545873,1782475646411545873,1782475646411775975,1782475646411775975,1782475646411761456,1782475646411761456,3,1,2,1.000000000000,1.000000000000,1.000000000000
44,218229,1782475646411661884,1782475646411661884,1782475646411894783,1782475646411894783,1782475646411880113,1782475646411880113,0,2,2,1.000000000000,1.000000000000,1.000000000000
45,305805,1782475646411779885,1782475646411779885,1782475646412100439,1782475646412100439,1782475646412085690,1782475646412085690,2,1,3,1.000000000000,1.000000000000,1.000000000000
46,218722,1782475646411989506,1782475646411989506,1782475646412222877,1782475646412222877,1782475646412208228,1782475646412208228,0,2,2,1.000000000000,1.000000000000,1.000000000000
47,218388,1782475646412107657,1782475646412107657,1782475646412341565,1782475646412341565,1782475646412326045,1782475646412326045,3,2,1,1.000000000000,1.000000000000,1.000000000000
48,214425,1782475646412222308,1782475646412222308,1782475646412451293,1782475646412451293,1782475646412436733,1782475646412436733,3,1,2,1.000000000000,1.000000000000,1.000000000000
49,213362,1782475646412337199,1782475646412337199,1782475646412565041,1782475646412565041,1782475646412550561,1782475646412550561,1,0,1,1.000000000000,1.000000000000,1.000000000000
50,216810,1782475646412451519,1782475646412451519,1782475646412682509,1782475646412682509,1782475646412668329,1782475646412668329,1,2,3,1.000000000000,1.000000000000,1.000000000000
51,213647,1782475646412569720,1782475646412569720,1782475646412797427,1782475646412797427,1782475646412783367,1782475646412783367,3,0,3,1.000000000000,1.000000000000,1.000000000000
52,215594,1782475646412687411,1782475646412687411,1782475646412917485,1782475646412917485,1782475646412903005,1782475646412903005,0,1,1,1.000000000000,1.000000000000,1.000000000000
53,214822,1782475646412804841,1782475646412804841,1782475646413033883,1782475646413033883,1782475646413019663,1782475646413019663,2,2,0,1.000000000000,1.000000000000,1.000000000000
54,216149,1782475646412922122,1782475646412922122,1782475646413153071,1782475646413153071,1782475646413138271,1782475646413138271,3,1,2,1.000000000000,1.000000000000,1.000000000000
55,215127,1782475646413039652,1782475646413039652,1782475646413269639,1782475646413269639,1782475646413254779,1782475646413254779,2,3,1,1.000000000000,1.000000000000,1.000000000000
56,219044,1782475646413156773,1782475646413156773,1782475646413391636,1782475646413391636,1782475646413375817,1782475646413375817,1,3,2,1.000000000000,1.000000000000,1.000000000000
57,215340,1782475646413278215,1782475646413278215,1782475646413508314,1782475646413508314,1782475646413493555,1782475646413493555,0,3,3,1.000000000000,1.000000000000,1.000000000000
58,216747,1782475646413395975,1782475646413395975,1782475646413627532,1782475646413627532,1782475646413612722,1782475646413612722,2,2,0,1.000000000000,1.000000000000,1.000000000000
59,214744,1782475646413512926,1782475646413512926,1782475646413739730,1782475646413739730,1782475646413727670,1782475646413727670,2,3,1,1.000000000000,1.000000000000,1.000000000000
60,215031,1782475646413629927,1782475646413629927,1782475646413856208,1782475646413856208,1782475646413844958,1782475646413844958,3,0,3,1.000000000000,1.000000000000,1.000000000000
61,214749,1782475646413747367,1782475646413747367,1782475646413973006,1782475646413973006,1782475646413962116,1782475646413962116,3,0,3,1.000000000000,1.000000000000,1.000000000000
62,214626,1782475646413864338,1782475646413864338,1782475646414089554,1782475646414089554,1782475646414078964,1782475646414078964,2,2,0,1.000000000000,1.000000000000,1.000000000000
63,216433,1782475646413981409,1782475646413981409,1782475646414208092,1782475646414208092,1782475646414197842,1782475646414197842,0,2,2,1.000000000000,1.000000000000,1.000000000000
64,219451,1782475646414101109,1782475646414101109,1782475646414331530,1782475646414331530,1782475646414320560,1782475646414320560,1,2,3,1.000000000000,1.000000000000,1.000000000000
65,217009,1782475646414218420,1782475646414218420,1782475646414446029,1782475646414446029,1782475646414435429,1782475646414435429,1,2,3,1.000000000000,1.000000000000,1.000000000000
66,215016,1782475646414335741,1782475646414335741,1782475646414560966,1782475646414560966,1782475646414550757,1782475646414550757,2,1,3,1.000000000000,1.000000000000,1.000000000000
67,214483,1782475646414453542,1782475646414453542,1782475646414678394,1782475646414678394,1782475646414668025,1782475646414668025,2,2,0,1.000000000000,1.000000000000,1.000000000000
68,216169,1782475646414570823,1782475646414570823,1782475646414796812,1782475646414796812,1782475646414786992,1782475646414786992,1,0,1,1.000000000000,1.000000000000,1.000000000000
69,214276,1782475646414687764,1782475646414687764,1782475646414911790,1782475646414911790,1782475646414902040,1782475646414902040,0,0,0,1.000000000000,1.000000000000,1.000000000000
70,213694,1782475646414804814,1782475646414804814,1782475646415028608,1782475646415028608,1782475646415018508,1782475646415018508,2,3,1,1.000000000000,1.000000000000,1.000000000000
71,214941,1782475646414921715,1782475646414921715,1782475646415146776,1782475646415146776,1782475646415136656,1782475646415136656,3,1,2,1.000000000000,1.000000000000,1.000000000000
72,215769,1782475646415041395,1782475646415041395,1782475646415267554,1782475646415267554,1782475646415257164,1782475646415257164,1,1,0,1.000000000000,1.000000000000,1.000000000000
73,219916,1782475646415158926,1782475646415158926,1782475646415389702,1782475646415389702,1782475646415378842,1782475646415378842,0,3,3,1.000000000000,1.000000000000,1.000000000000
74,221263,1782475646415279427,1782475646415279427,1782475646415510690,1782475646415510690,1782475646415500690,1782475646415500690,2,0,2,1.000000000000,1.000000000000,1.000000000000
75,217151,1782475646415397137,1782475646415397137,1782475646415624237,1782475646415624237,1782475646415614288,1782475646415614288,1,3,2,1.000000000000,1.000000000000,1.000000000000
