count_idx,delay_ns,loop_gap_ns,recv_block_ns
51,136468,11564,7031
52,127050,15501,6433
53,118013,14570,6242
54,102333,14560,4633
55,92520,9167,8703
56,78885,12974,3979
57,64364,8089,3471
58,85362,7604,40348
59,70266,45382,4370
60,55972,9249,9562
61,178201,15337,147043
62,104015,171552,9498
63,87092,19110,4587
64,73071,10313,4479
65,57704,8857,3927
66,60470,9646,21148
67,52713,25503,11603
68,49283,18430,14423
69,44815,21085,12737
70,31834,17452,8993
71,146386,13199,131251
72,102841,155344,10252
73,48531,18288,5457
74,46456,12136,13391
75,38039,17751,6662
76,29202,10804,8641
77,142298,12810,131004
78,95626,154836,10178
79,44777,16191,4913
80,35948,8979,7267
81,27977,11477,8394
82,139266,14284,127134
83,101780,151035,10032
84,47603,15755,4512
85,36541,8636,6596
86,30204,10761,9484
87,141846,13648,126840
88,102659,150515,9825
89,46879,15409,4400
90,36632,9784,6686
91,30645,10801,9478
92,144209,13519,129581
93,105602,153686,10017
94,44305,15504,4925
95,36280,9324,9518
96,30715,13723,10196
97,143158,14246,128923
98,105943,154187,9620
99,51945,15557,4258
100,39550,8526,5173
101,36742,9142,11599
102,101327,15727,80704
103,158989,95208,111235
104,89546,135881,8845
105,70348,14104,3723
106,67552,9375,15050
107,167419,19105,118893
108,98606,143104,10654
109,45812,20773,5326
110,35432,9929,7022
111,28116,11227,8662
112,230603,12941,217769
113,201472,248473,12369
114,154251,21778,4766
115,142572,9835,4522
116,131193,8835,4303
117,116005,8354,3870
118,99776,7918,3998
119,82115,8064,4131
120,67518,8148,3954
121,89061,8010,42216
122,66482,47503,4453
123,56036,8529,9892
124,147077,14019,121177
125,66155,136675,7966
126,49207,14140,8906
127,37299,14042,8020
128,137334,12766,117058
129,98613,140527,9402
130,41514,16255,6642
131,31786,10801,9371
132,89491,13479,75984
133,145956,90471,105707
134,53009,123484,15303
135,39324,23807,12460
136,44523,19487,24155
137,40478,31485,20796
138,30194,30131,11461
139,140957,18144,122699
140,99646,147332,9787
141,48421,16711,4756
142,37273,9595,7482
143,30250,11775,9437
144,237142,13788,219634
145,185771,250634,12373
146,141259,21633,5306
147,128671,10130,4155
148,118112,8543,5342
149,104287,9310,4002
150,88811,8055,3797
151,74508,7738,3859
152,55582,7709,4362
153,75678,8316,41473
154,57611,47333,4558
155,47660,8559,8953
156,28901,12966,8981
157,141323,13109,130708
158,102468,146905,9206
159,55873,18010,6893
160,43731,13563,5780
161,38815,12047,11736
162,40047,19988,13961
163,106656,20892,84820
164,61163,101278,10501
165,48770,20241,12722
166,45152,20879,13272
167,35287,20787,13068
168,29609,20460,12237
169,49035,19823,32602
170,43562,44551,13267
171,38190,21340,12300
172,151681,19088,124102
173,109746,154729,12530
174,54969,23165,6258
175,47763,15050,12012
176,42901,20167,11509
177,36680,19571,11594
178,32973,21240,10666
179,52903,18480,34195
180,37620,45123,10610
181,32288,18861,10926
182,130850,18238,109922
183,98655,137829,11453
184,44485,20710,6648
185,46425,14346,17410
186,43719,25243,7768
187,42270,14542,12313
188,36968,19450,10632
189,48794,17715,32457
190,37255,41994,10942
191,117477,17386,99807
192,71255,118253,16676
193,31367,23947,10826
194,117807,18627,100267
195,90020,124529,15077
196,75530,24693,10356
197,120849,18607,103856
198,88748,125999,10263
199,74606,20138,6550
200,64380,14053,6578
201,55766,14289,6374
202,52967,15324,13649
203,125597,21370,86674
204,153276,101429,107147
205,72950,125460,9275
206,59530,17710,6490
207,50444,13536,6596
208,45093,13470,13923
209,37588,20253,10960
210,108665,18803,92351
211,68057,110268,14489
212,122440,23133,102650
213,84983,125724,10313
214,69569,20142,6397
215,53131,14631,5784
216,51825,12756,11721
217,161577,19054,121755
218,87124,145317,9727
219,48312,18329,12547
220,45697,20892,12414
221,30477,19852,11840
222,38852,19089,23299
223,124047,31159,101600
224,86902,125337,14160
225,39964,23495,10680
226,33540,19811,14317
227,113945,21987,95363
228,83233,116608,15495
229,32065,25169,11018
230,27433,18776,10715
231,68060,17749,53931
232,63470,69145,9899
233,55475,17966,6531
234,48681,15659,6808
235,48468,14618,14806
236,45468,22764,11744
237,161680,141241,13179
238,143569,29793,17357
239,42251,28025,11831
240,158135,19825,142319
241,114201,161986,11323
242,72792,22157,7201
243,65530,15769,8762
244,59016,17427,5881
245,52652,14121,6438
246,45723,14550,6787
247,36945,14729,7076
248,54309,15027,25335
249,45049,33190,6512
250,45436,15582,6387
251,42307,14645,6163
252,41912,14323,6003
253,41183,14133,6094
254,40559,14201,6035
255,40339,14131,6480
256,39702,14411,6429
257,37365,13319,5896
258,47876,14932,18521
259,50989,26882,12672
260,113894,20862,86646
261,66202,102645,14749
262,29222,24028,10737
263,25631,17130,11101
264,27640,18329,12490
265,28964,20322,10297
266,39345,19435,16213
267,35017,23790,6882
268,36505,15500,6727
269,35453,15117,6602
270,80899,14786,49996
271,92377,65445,12032
272,93095,21470,7126
273,94314,15028,7026
274,96421,15325,7121
275,95781,14516,6645
276,95847,14515,7238
277,89031,15024,7733
278,88050,15246,8100
279,84449,15884,5839
280,82866,14058,6628
281,73430,13115,5274
282,72942,13822,6571
283,72210,14426,6792
284,74114,14330,6540
285,52009,14133,6640
286,51454,14157,6615
287,51241,14093,6638
288,50549,14229,6794
289,50583,14967,6480
290,78180,15371,32594
291,77968,40365,6273
292,78038,14806,6089
293,76908,14084,6526
294,52521,13992,6713
295,48472,14341,6658
296,46151,14298,6284
297,45723,14331,5991
298,46141,14908,6281
299,46366,14157,6099
300,46293,14475,5957
301,46899,14166,6406
302,46200,14855,5952
303,45729,14402,5417
304,44959,13650,6054
305,42390,13783,6521
306,41455,14758,6243
307,39581,13494,12504
308,43242,20929,10475
309,31683,19094,10658
310,34708,19182,11802
311,39903,19799,14051
312,41717,22368,11118
313,33528,19248,13323
314,33619,22130,10542
315,35849,18877,12977
316,38454,21147,13487
317,36627,21090,6971
318,36761,14669,6834
319,36203,14562,7009
320,35811,14650,6606
321,35283,14205,6759
322,35389,15499,6436
323,34771,14496,6176
324,34325,14368,6067
325,33927,14324,6218
326,33764,14519,6190
327,33541,14650,6136
328,50976,14484,24091
329,50945,32586,5837
330,46503,14456,6094
331,39441,14345,6746
332,39511,15156,6515
333,33640,14804,6516
334,33871,14815,6562
335,34613,15009,6577
336,35207,15081,6861
337,35788,15330,6617
338,36323,15338,6428
339,37058,14890,6747
340,37276,15106,6713
341,35786,15083,6985
342,36624,15307,7616
343,35441,16015,7583
344,33265,16125,6330
345,32025,14934,6561
346,31707,15173,5965
347,30995,14300,6624
348,32625,15014,6824
349,33221,15251,6336
350,34628,14713,6867
351,34825,15096,6712
352,35418,15128,6358
353,40852,14907,11624
354,39326,18734,5470
355,45901,12759,11103
356,53687,19125,26860
357,34237,35402,10283
358,33944,18194,11384
359,38538,19525,15159
360,35476,23233,6224
361,36342,14472,6512
362,63494,14912,36431
363,98746,43315,40459
364,110586,57565,10464
365,111826,19446,6027
366,112266,13403,5756
367,111522,13111,6055
368,111062,13587,6475
369,107338,14220,6243
370,106687,14335,6133
371,108112,14244,6755
372,108829,14985,6466
373,109478,14865,6442
374,107326,14566,8355
375,106870,16361,6268
376,107001,14733,6253
377,106670,14495,6174
378,105761,14332,6341
379,105893,14582,6528
380,132023,14617,28542
381,136814,36819,6771
382,140727,14731,7205
383,122233,15415,6420
384,113021,14631,6430
385,111172,14715,6319
386,113544,14359,8047
387,87467,16477,6530
388,86575,14989,6321
389,87398,14627,6120
390,87810,14636,6490
391,88275,14211,6376
392,89713,14338,6359
393,90383,14566,6174
394,90061,13977,6513
395,90409,14790,6417
396,90268,14442,6487
397,90925,14312,6531
398,86056,14492,6119
399,82565,14189,6220
400,82344,14149,6225
401,81718,14309,5904
402,79733,14193,6560
403,79880,14891,6332
404,80320,14664,6404
405,81020,14747,6741
406,69185,15424,6180
407,69710,14443,6624
408,76759,14827,12824
409,76610,20964,6632
410,76368,14589,6659
411,75493,14542,6586
412,75445,14484,6711
413,64264,14465,6775
414,63054,14539,6620
415,62975,14673,6472
416,63033,14523,6619
417,63156,14812,6411
418,63042,14441,6524
419,62824,14578,6254
420,63223,14498,6261
421,63067,14560,6473
422,62649,14796,6180
423,64556,14372,8127
424,65184,16066,7326
425,65719,15189,7201
426,61791,15176,6659
427,61759,14675,6708
428,63296,15026,8725
429,64064,16839,6991
430,64614,15267,6619
431,68010,14750,6702
432,71720,14619,6471
433,73239,14008,5513
434,75201,12844,5912
435,101761,14161,30603
436,104624,39090,5854
437,104742,14579,6007
438,81055,14483,6169
439,81370,14428,6001
440,70512,14584,6024
441,69517,14554,6132
442,70215,14666,6125
443,70512,14640,6020
444,70659,14413,6051
445,70115,14513,6171
446,70243,14560,6229
447,69820,14369,6065
448,69871,14644,6091
449,69655,14561,6179
450,68622,14399,6369
451,68639,14660,6102
452,68559,14408,6446
453,66407,14024,6429
454,60797,12849,5831
455,70042,12380,6536
456,74736,37031,7338
457,73849,14782,7676
458,72896,14473,5657
459,47284,13687,5945
460,47452,13112,13747
461,44344,21243,11391
462,124727,19204,102539
463,87139,133298,11037
464,72300,22154,6301
465,69491,19459,6099
466,86763,16673,6461
467,79703,38538,6237
468,71591,15553,6025
469,63846,14277,5948
470,56836,14525,6004
471,47585,14437,5881
472,64347,14545,32996
473,56145,41508,6140
474,54928,19173,6523
475,53280,14575,14319
476,46162,21044,10460
477,41215,18651,10654
478,144477,18314,128109
479,72965,149450,10946
480,59839,21548,6374
481,59287,21354,6398
482,53272,15185,5912
483,43389,14574,12721
484,39801,21160,11190
485,33688,19400,14603
486,47993,22706,31108
487,144247,40677,115310
488,75060,136789,11159
489,65866,32112,7182
490,64555,17758,10404
491,64249,19156,11302
492,89773,19929,68834
493,99800,88204,55822
494,94683,74592,8580
495,86902,18102,6244
496,85555,20940,5965
497,75370,14444,5912
498,67999,13950,5953
499,59927,14564,6002
500,62334,14267,17397
501,52918,25123,10615
502,45561,18687,10602
503,35329,23769,10773
504,30867,19298,10596
505,106790,18433,87865
506,72858,107827,14087
507,48491,28153,30808
508,40747,44790,11395
509,37388,20373,11169
510,39951,20201,11164
511,36150,26818,11082
512,44403,19408,28714
513,37579,39961,11563
514,133420,19447,116098
515,67980,136962,10428
516,56066,23690,7202
517,48770,17561,6735
518,56769,22568,16001
519,50325,23528,9987
520,138574,16673,102958
521,68896,123328,10387
522,57421,20082,6221
523,51665,14688,6260
524,46654,14779,6166
525,52431,21089,14719
526,47248,22809,9822
527,44305,18161,10636
528,136684,17498,112605
529,69555,133060,9952
530,57285,19033,5997
531,52414,14451,5455
532,54769,14285,6112
533,49351,20627,9894
534,45471,18641,11396
535,134657,18833,114752
536,67796,134956,9478
537,57758,19396,6376
538,50494,14220,5496
539,50609,13981,12267
540,46049,27272,10574
541,38236,19039,10839
542,32439,19412,10661
543,29410,19143,10752
544,46131,19262,30198
545,37506,41428,11551
546,34222,20263,10801
547,36970,24671,10952
548,34739,19726,10777
549,31591,19422,10956
550,34205,18955,18548
551,227486,26664,202634
552,311089,357781,18143
553,290249,32724,6001
554,289050,24459,6495
555,282363,15411,5986
556,277401,14575,6016
557,267571,13660,5358
558,258420,13596,5804
559,242773,12264,4900
560,235384,11169,6047
561,231463,14659,6016
562,225264,25428,6370
563,219552,14623,5914
564,215221,14433,5838
565,208228,14148,5832
566,199958,14451,5620
567,220089,14048,30257
568,223018,47726,8987
569,219402,23674,13866
570,193713,21829,6223
571,184073,14332,6020
572,176523,14429,7071
573,167960,15624,5807
574,159894,14339,6273
575,150538,14526,6123
576,149544,19487,6145
577,140757,14584,6059
578,117202,14343,6044
579,106396,14599,6269
580,95464,14435,5976
581,84462,14519,5858
582,74398,14393,5992
583,71112,14634,6805
584,62450,19793,5944
585,54091,14356,5825
586,46433,14465,5810
587,44434,14527,11397
588,43967,20048,13067
589,118508,21506,92182
590,123694,111186,11424
591,83573,26849,6137
592,78464,14765,5836
593,73975,14586,5539
594,69043,13819,5854
595,65552,14364,5878
596,62924,14667,5908
597,153352,89308,23221
598,172782,56945,9046
599,169816,19089,5697
600,165488,12341,5145
601,478294,11522,149672
602,696344,461509,88074
603,705809,106163,9571
604,707425,19594,7226
605,723034,15686,8776
606,690825,28564,6748
607,686130,14832,8043
608,681275,16600,6282
609,674680,14458,6467
610,668727,14820,6093
611,663025,14286,6269
612,657454,14964,5860
613,657960,19161,6205
614,652663,14634,6193
615,647919,14276,6030
616,640443,14530,6230
617,636257,14542,6107
618,632750,14114,6519
619,923323,13604,8437
620,987464,342806,45988
621,985091,59037,8577
622,977211,17481,5926
623,1174867,14722,5893
624,1192388,230484,14624
625,1185788,27381,6843
626,1181358,16541,6242
627,1186052,14724,5675
628,1180725,21394,5225
629,1173655,11410,4796
630,1169972,12608,5819
631,1169164,14207,5477
632,1169571,13704,5645
633,1169719,13368,5725
634,1168700,14102,5723
635,1171161,19246,5786
636,1144076,14106,5757
637,1138833,14431,6089
638,1130614,14248,6268
639,1122059,14708,5647
640,1114804,13847,5962
641,1107169,13854,6116
642,1121270,19457,24993
643,1110324,33759,6159
644,1044314,14528,5522
645,1030428,12691,5670
646,1020810,14130,6052
647,999261,14581,6108
648,991889,14524,5841
649,988088,13883,5827
650,979544,18927,5871
651,973783,13976,6591
652,969293,15562,5838
653,962491,14114,5785
654,838646,13985,5475
655,797486,13787,5951
656,787154,14000,5726
657,784328,18693,5504
658,775408,14201,5854
659,768140,14369,5845
660,763425,14261,6008
661,757301,14222,5813
662,751667,14179,5893
663,744123,14296,5850
664,740414,18247,6309
665,735231,14462,5521
666,724810,12994,5194
667,714405,12147,4484
668,704505,11391,4882
669,695558,11988,5447
670,688011,13098,4915
671,688734,12230,6020
672,678919,24715,5281
673,646934,12713,5708
674,636049,13573,5946
675,623242,12892,5073
676,612382,11994,5179
677,600907,12532,4718
678,589097,11498,4762
679,581596,16202,5088
680,567045,11412,5288
681,547443,13007,4997
682,531338,12769,5729
683,520984,14171,5886
684,512703,14265,5893
685,500383,14305,5690
686,495609,18719,5767
687,483467,14309,5974
688,470304,14295,5358
689,459299,13679,5694
690,449851,14218,5725
691,440396,13735,5628
692,429751,13000,5329
693,424350,16912,5547
694,414332,13543,5293
695,354135,13342,6019
696,311864,13877,5689
697,233786,14218,6012
698,221277,14095,5813
699,229167,13962,22941
700,222794,30571,5505
701,213309,17582,5333
702,201166,12087,5448
703,164055,13370,5267
704,144324,13297,5735
705,131597,14195,5578
706,119368,13628,5934
707,59467,14260,5740
708,65892,31923,6005
709,56175,14970,5755
710,49862,14276,6158
711,43931,14309,14503
712,83097,61496,12076
713,70914,25228,5526
714,69686,12336,12893
715,103609,25817,50273
716,54016,62466,15013
717,50436,23518,12618
718,47150,21249,10440
719,43717,19083,11063
720,38013,19622,11433
721,40117,19506,19398
722,158106,26933,130339
723,83597,160568,9369
724,67419,19353,6154
725,63149,14150,5970
726,58239,14470,5710
727,60087,12943,16781
728,151229,24559,108036
729,76533,130064,11167
730,74009,30490,7074
731,71649,17063,6455
732,66594,15231,6237
