count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
288,3040,3304,3846
289,3403,4605,4259
290,3837,6955,4727
291,3436,3559,4235
292,3819,6874,4710
293,4317,6000,5240
294,3230,5802,4031
295,4751,3444,5529
296,3679,23409,4712
297,17706,16063,19528
298,2900,2242,4135
299,2037,2380,2706
300,1896,1837,2420
301,2301,1967,2817
302,2131,2257,2611
303,2244,2372,2766
304,2249,2349,2728
305,2495,2338,2965
306,239173,23477,245179
307,20753,4225,23136
308,3635,6138,4639
309,4812,26129,5753
310,17163,4930,19597
311,4131,19968,5515
312,4784,4027,6626
313,4171,4103,5352
314,3558,3469,4457
315,6686,4237,8218
316,4780,3698,5663
317,3677,5893,4599
318,3909,3627,4880
319,3415,5957,4245
320,3775,6970,4705
321,19331,19874,21909
322,4351,3609,5933
323,4902,3353,5692
324,6439,4185,7991
325,21940,18743,24481
326,4101,2899,5899
327,6825,3474,7667
328,3246,3846,4110
329,4053,2312,4621
330,2406,6287,3074
331,3852,4322,4650
332,3392,5682,4216
333,3956,6473,4859
334,3642,3848,4549
335,75684,19409,81402
336,4958,3451,6291
337,3356,3129,4172
338,4088,4637,5128
339,3925,3708,4963
340,4238,3892,5222
341,4073,6864,5061
342,4398,3269,5267
343,3557,3326,4411
344,66295,22047,71053
345,19906,5138,21955
346,4118,3580,5027
347,3317,3056,4100
348,3237,3511,4164
349,3552,3902,4316
350,4077,3732,4918
351,4071,3880,4860
352,3562,6574,4362
353,8767,6287,9608
354,4178,3323,5003
355,3878,3568,4896
356,3051,2935,3830
357,3114,3217,3964
358,3457,3546,4268
359,5891,4283,6585
360,6357,24008,7160
361,19900,5037,22323
362,2476,2532,3106
363,10556,2308,11224
364,2142,2304,2716
365,1958,2081,2526
366,3073,12175,4013
367,4137,3732,4858
368,3561,3868,4345
369,3824,5688,4608
370,3791,3936,4698
371,230878,27548,237997
372,22114,5240,24753
373,3799,3549,4718
374,3183,3452,4018
375,3472,6977,4362
376,4082,7251,4964
377,3481,3778,4251
378,3612,3309,4417
379,3955,5858,4904
380,3662,24185,4569
381,20719,5627,22797
382,3063,2733,4053
383,2649,3953,3325
384,2167,3760,2709
385,2131,2224,2610
386,2797,2026,3271
387,2411,2165,2885
388,2675,2696,3147
389,2530,2316,3009
390,5677,3494,6243
391,3214,2570,3718
392,3584,2411,4091
393,3396,3265,3878
394,2794,3295,3323
395,5096,16841,6218
396,20272,4722,22870
397,3840,3192,5092
398,3207,3301,4014
399,3515,3777,4489
400,3718,3708,4687
401,3157,3523,3987
402,3757,3960,4722
403,4196,4047,5171
404,3776,10005,4718
405,21871,20921,24175
406,6004,4108,7774
407,3825,3715,4790
408,3575,3674,4459
409,3748,3686,4742
410,4871,4189,5766
411,3753,3972,4587
412,3317,4004,4194
413,3906,3982,4686
414,4109,4083,5042
415,3882,65156,4779
416,19116,17061,21092
417,3567,2681,4852
418,2098,2523,2846
419,2468,2375,2980
420,2329,2337,2857
421,2477,3050,2954
422,5546,3913,6378
423,19476,4349,21685
424,3998,7058,5426
425,3814,3540,4883
426,3603,6379,4401
427,3800,4603,4495
428,4958,3457,5794
