count_idx,delay_ns,loop_gap_ns,recv_block_ns
339,38970,17302,12436
340,206807,19185,180547
341,289562,217188,132538
342,280649,148640,240875
343,304638,353513,25275
344,294608,40447,4534
345,481438,9574,187870
346,949651,220936,452946
347,567383,477928,476794
348,182534,507196,124441
349,68016,142434,22060
350,51594,31325,7740
351,43276,14190,10094
352,40278,17056,12009
353,133657,19446,115003
354,90602,134669,16656
355,51074,29790,14187
356,208108,24258,237184
357,127534,274574,15807
358,122952,27255,6256
359,124607,14253,7331
360,124069,14091,7186
361,120183,14138,5952
362,109741,13655,5002
363,95454,11828,6195
364,85246,12981,6170
365,62274,12436,5268
366,44439,11199,5571
367,77242,12356,47835
368,67372,53419,4856
369,55935,9084,4957
370,36037,9523,11518
371,27281,16015,7836
372,106876,12222,93873
373,189265,111680,131618
374,117303,170132,15346
375,98942,26570,5617
376,85880,13719,6170
377,114588,14094,43335
378,105103,52250,6036
379,58746,13198,5818
380,45792,12050,13842
381,37821,20677,11965
382,31711,20114,11839
383,43196,20182,27572
384,154362,35035,128895
385,96983,155355,10051
386,74185,19382,6471
387,47734,14395,7610
388,43785,16017,12423
389,39188,20038,11814
390,28152,19479,12261
391,139699,18771,120930
392,93444,148324,10209
393,72165,16141,6165
394,57456,10689,4157
395,50126,8402,11178
396,35598,15623,8634
397,149855,13009,134662
398,116994,167554,13808
399,59601,22783,6201
400,60920,13916,21423
401,50904,30522,6184
402,49982,15079,12436
403,266916,19253,224896
404,182251,255889,12145
405,125342,20590,5697
406,110517,11009,3875
407,98863,8425,3797
408,86379,7836,3961
409,101211,8136,32281
410,242158,36782,151165
411,93983,180645,12047
412,76907,20274,5470
413,52478,12261,5841
414,42294,12774,6235
415,31560,12672,5688
416,44134,12625,21438
417,43339,28861,6029
418,42502,12829,6012
419,52194,20367,13304
420,36337,20521,12260
421,29451,19182,10657
422,50190,18484,35020
423,33304,42594,9089
424,36365,13561,20407
425,28764,26986,10559
426,231751,17697,210404
427,193731,242066,12019
428,169623,20402,4866
429,137554,9937,5307
430,113561,9677,3522
431,100260,7837,4115
432,84169,8351,3814
433,66043,8015,3558
434,84014,7936,36247
435,67874,40685,4246
436,49829,8542,9512
437,30573,13865,8233
438,152865,12629,139605
439,87397,162332,11082
440,65157,17406,3948
441,50963,9019,4445
442,29465,8992,4483
443,38383,8822,18508
444,32690,23153,4295
445,31355,8507,8123
446,44857,12535,27202
447,371897,107402,269461
448,178836,301892,12623
449,88692,20796,10607
450,175871,15981,161960
451,86992,186335,9929
452,34872,15882,4767
453,33424,9414,10228
454,30624,14628,9190
455,22726,13580,8190
456,39935,12532,27915
457,31247,35108,9023
458,23828,13234,8092
459,90245,12396,75227
460,66832,94220,12086
461,113573,18005,72456
462,61702,101453,12032
463,42234,19779,10879
464,34242,18755,11439
465,93082,18779,74084
466,105540,88792,65677
467,202636,79193,230426
468,150738,263955,12212
469,122585,19740,11583
470,77885,31284,9557
