count_idx,delay_ns,loop_gap_ns
51,10762,7967
52,10930,5119
53,66074,5560
54,25602,338084
55,19320,16461
56,19543,7498
57,37638,10132
58,41045,30651
59,20438,11836
60,14864,8224
61,16235,8942
62,18072,16626
63,13428,20269
64,14221,8334
65,60477,17215
66,52663,97995
67,45541,8893
68,40662,4816
69,34911,3392
70,27367,3202
71,20166,3361
72,29058,3284
73,19095,19350
74,17000,4491
75,13374,5928
76,36883,11133
77,55716,61109
78,42457,72928
79,38145,10965
80,34342,6777
81,32645,5924
82,30750,7851
83,28174,6010
84,24768,5871
85,58768,5650
86,117501,45203
87,41139,70823
88,16006,54676
89,65564,7245
90,39583,77482
91,33565,9185
92,28049,5777
93,25325,5094
94,21362,5353
95,16446,4591
96,29924,4684
97,25542,24938
98,26358,8921
99,44154,25893
100,35840,33439
101,17582,5259
102,13104,6665
103,13539,7473
104,41764,11995
105,15856,58780
106,13713,9511
107,9733,7333
108,204993,6137
109,185222,224598
110,181353,8245
111,178723,3718
112,176344,3431
113,173459,3208
114,172084,4123
115,169142,3132
116,177971,2991
117,187291,15611
118,145847,219692
119,144031,11594
120,141811,3921
121,139016,3445
122,133919,4391
123,127534,3147
124,120599,3005
125,127487,3063
126,27087,15963
127,16864,23386
128,26219,9016
129,32525,16096
130,32729,12289
131,29285,5202
132,18440,4931
133,17334,4780
134,16158,5241
135,19842,5068
136,137050,9941
137,118383,320447
138,116646,9839
139,113660,3871
140,108673,3134
141,103644,4682
142,97331,4482
143,87002,6013
144,141778,4575
145,346854,80994
146,73833,226030
147,66716,11174
148,64960,5192
149,64160,4933
150,62822,5543
151,63620,5201
152,68409,6153
153,146550,11911
154,421315,87914
155,125285,315387
156,115217,11182
157,113050,4982
158,110819,4432
159,108762,4492
160,107421,4314
161,106291,4255
162,177101,5141
163,424035,79576
164,95680,257033
165,82334,8577
166,73168,3608
167,48766,3836
168,40550,3532
169,35010,3229
170,30437,4276
171,67641,3154
172,301735,49456
173,125831,249782
174,120567,11179
175,121131,7045
176,121709,6764
177,128638,10106
178,141105,21156
179,140544,5780
180,186842,4509
181,250597,56020
182,167317,74153
183,155235,209300
184,150046,10893
185,146266,5381
186,132481,5983
187,122696,4959
188,118536,4750
189,114459,4788
190,126000,4844
191,116108,20290
192,77168,172957
193,23393,8514
194,27551,4786
195,22138,18322
196,47059,5324
197,49392,56565
198,35865,58507
199,31485,10933
200,28560,7177
201,33669,6209
202,34310,15417
203,39452,8052
204,42755,46977
205,27432,52175
206,11947,11368
207,14189,7756
208,13902,17561
209,14921,6309
210,15986,9626
211,10916,8394
212,9183,8343
213,81985,8210
214,34439,88212
215,30233,8152
216,27943,5916
217,28222,5612
218,28899,6778
219,28387,5390
220,27422,5806
221,26173,5735
222,29488,5492
223,109871,9644
224,92434,309314
225,89151,8277
226,88072,5071
227,85176,3343
228,82346,3263
229,78923,3078
230,76480,3122
231,85354,3072
232,111001,14816
233,92763,264595
234,90554,9447
235,87846,3785
236,84794,3284
237,81919,3213
238,78779,3090
239,76078,2960
240,85593,2976
241,117150,15135
242,100595,273491
243,95083,8400
244,89408,3794
245,82769,3469
246,76102,3356
247,70651,3250
248,64660,3210
249,69995,3180
250,70755,15587
251,36682,123945
252,31069,8125
253,27897,3908
254,25039,3368
255,22890,3436
256,20273,3337
257,16042,3304
258,14072,4419
259,15719,3693
260,111202,8459
261,93935,226527
262,90299,8602
263,87439,4054
264,84533,3334
265,81838,3424
266,80388,4443
267,78974,3204
268,126384,4859
269,82904,54939
270,34459,8543
271,17190,45679
272,12217,6062
273,11473,3721
274,10384,7844
275,6581,4951
276,10234,5315
277,13083,10418
278,10271,13211
279,87031,5370
