round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
77,1,371921,383691,1789999669229040828,1789999669228788505,252403,0,0.783756,1,1
78,1,371932,382942,1789999669229432980,1789999669229181289,299631,0,0.793829,1,1
79,1,368212,381642,1789999669229862312,1789999669229611954,291248,0,0.000000,1,0
80,1,369601,382271,1789999669230286533,1789999669230032248,254355,0,0.882790,1,1
81,1,367902,381422,1789999669230675825,1789999669230423113,252792,0,0.906532,1,1
82,1,368491,381911,1789999669231066016,1789999669230814218,292839,0,0.783780,1,1
83,1,372131,385901,1789999669231491958,1789999669231239022,292216,0,0.000000,1,0
84,1,368592,381822,1789999669231913080,1789999669231662497,290823,0,0.756277,1,1
85,1,371111,386031,1789999669232337841,1789999669232082861,255180,0,0.762550,1,1
86,1,369912,383042,1789999669232730963,1789999669232477806,293827,0,0.786182,1,1
87,1,369311,381651,1789999669233160504,1789999669232909620,292295,0,0.750792,1,1
88,1,371281,383741,1789999669233586646,1789999669233332464,291122,0,0.763322,1,1
89,1,375542,387472,1789999669234011938,1789999669233753869,258149,0,0.759035,1,1
90,1,370841,382681,1789999669234403269,1789999669234150734,252615,0,0.776090,1,1
91,1,366532,378882,1789999669234790031,1789999669234538778,293873,0,0.789958,1,1
92,1,366401,377961,1789999669235212102,1789999669234962403,290179,0,0.000000,1,0
93,1,369432,380972,1789999669235635744,1789999669235385197,291407,0,0.000000,1,0
94,1,628127,661047,1789999681252462299,1789999681252136020,326409,0,0.770422,1,1
95,1,599386,612876,1789999681253134456,1789999681252883940,250616,0,0.968168,1,1
96,1,402855,415205,1789999681253562731,1789999681253317494,245317,0,0.867528,1,1
97,1,437715,454355,1789999681254022406,1789999681253786388,250628,0,0.810343,1,1
98,1,414514,425424,1789999681254462560,1789999681254224642,255698,0,0.840458,1,1
99,1,386895,398915,1789999681254873655,1789999681254632866,240869,0,0.000000,1,0
100,1,384874,396714,1789999681255278869,1789999681255036371,242568,0,0.000000,1,0
101,1,386134,393354,1789999681255685123,1789999681255443786,275538,0,0.000000,1,0
102,1,382044,388934,1789999681256110368,1789999681255871290,275428,0,0.000000,1,0
103,1,382764,405354,1789999681256538552,1789999681256302144,279029,0,0.748859,1,1
104,1,379304,386184,1789999681256969877,1789999681256734029,278918,0,0.000000,1,0
105,1,362994,369674,1789999681257385311,1789999681257149343,277789,0,0.000000,1,0
106,1,365904,373264,1789999681257802026,1789999681257564968,278888,0,0.772582,1,1
107,1,365894,373424,1789999681258218520,1789999681257980032,238578,0,0.882658,1,1
