,pgen_0.1,pgen_0.2,pgen_0.3,pgen_0.4,pgen_0.5,pgen_0.6,pgen_0.7,pgen_0.8,pgen_0.9,pgen_1.0
Infinite,646.8540676076517,1067.4327929740116,1353.861502441321,1585.6581523011012,1809.2622341723343,1989.8269528351398,2170.7862950857934,2316.323015045491,2459.902931940831,2638.5699404293155
1 min,646.8521229724013,1067.4294197245322,1353.8577695719664,1585.6533825027238,1809.2568474340626,1989.820486779917,2170.7795741755467,2316.3157578397477,2459.895216643859,2638.562388557219
1 s,646.7373918925788,1067.2304024041755,1353.6375345179401,1585.371970316398,1808.9390364920203,1989.4389982597618,2170.3830491453355,2315.887592189371,2459.440024102286,2638.116836973088
500 ms,646.6207210590147,1067.0280207818575,1353.413575214473,1585.08580036883,1808.615852268733,1989.0510614576588,2169.979820848665,2315.452188633017,2458.9771365627416,2637.6637515575644
1 ms,532.6839520311066,869.6423343371317,1134.3088997863238,1305.6564655305558,1492.9716597249626,1611.0210711805807,1776.6114276053288,1890.8264138551283,2007.428889058945,2194.7144783384156
500 us,423.7910812782536,681.5672233720509,924.0227104144154,1038.6727393368228,1191.2279704942484,1251.5758803239046,1401.5938754997906,1486.3066414432624,1576.9632512463907,1770.2937244252103
1 us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
