,pgen_0.1,pgen_0.2,pgen_0.3,pgen_0.4,pgen_0.5,pgen_0.6,pgen_0.7,pgen_0.8,pgen_0.9,pgen_1.0
Infinite,653.6932330362457,1077.2227692790243,1366.6608240336911,1599.3254354416415,1824.522149472234,2006.2701342519672,2187.5955870607677,2332.768591199026,2476.5741125189707,2640.239743282094
1 min,653.6886727708054,1077.2152111808389,1366.6513415624847,1599.314350316386,1824.5094571179952,2006.2562189532566,2187.5803974986848,2332.75232208004,2476.5569007393806,2640.2217096429226
1 s,653.4196301231099,1076.7693050816995,1366.0919026747495,1598.6603593632296,1823.7606443355035,2005.435255810174,2186.6842564810977,2331.7924904770234,2475.5414546815964,2639.157775320988
500 ms,653.1460536810545,1076.315885013027,1365.5230360619878,1597.9953472324448,1822.9992126676286,2004.6004576786274,2185.77301366573,2330.8164841748858,2474.5088963918665,2638.075909859129
1 ms,394.13462234222004,647.1788803136706,826.776467673078,968.1658712813388,1101.9900153177498,1213.9868857012505,1322.8167636589285,1406.7623157724968,1496.7214656618194,1612.589894995692
500 us,165.62178248985686,268.9269569559079,351.05731376796945,412.007687586358,465.5941135271155,515.8272040332341,560.9122869906433,591.4918064806608,633.6314717009258,704.8473402430093
1 us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
