count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
405,3850,830,3890
406,3920,860,3970
407,3850,820,3890
408,5530,4470,5609
409,4960,940,4990
410,3920,850,3970
411,4080,820,4140
412,3790,830,3840
413,3880,880,3930
414,5130,1090,5180
415,4440,880,4480
416,3930,820,3970
417,3830,820,3980
418,3810,810,3850
419,6490,1930,6630
420,4690,860,4740
421,3900,900,3950
422,3880,1000,3930
423,3770,840,3820
424,4720,1350,4770
425,4970,910,5010
426,3900,870,3940
427,3890,870,3930
428,3860,820,3900
429,3830,850,3860
430,7450,5600,7520
431,4150,980,4200
432,3810,850,3840
433,3800,840,3850
434,3860,830,3890
435,6380,4730,6470
436,4620,880,4660
437,3860,860,3900
438,3830,880,3870
439,3900,940,3940
440,3820,870,3860
441,5120,930,5270
442,3890,850,3920
443,3860,830,3890
444,4500,830,4540
445,4159,860,4209
446,6790,1940,6840
447,4650,820,4710
448,6460,5110,6540
449,5840,1540,5880
450,7920,1750,8000
451,7719,2240,7769
452,4370,830,4410
453,3970,890,4000
454,3900,850,3940
455,3840,840,3870
456,5900,1520,5960
457,4960,840,5020
458,4060,1480,4130
459,3909,820,3959
460,3840,800,3880
461,3830,830,3860
462,5080,1070,5130
463,3940,850,3990
464,3990,830,4040
465,3900,890,3940
466,3750,810,3800
467,6059,1650,6119
468,4840,840,4880
469,3890,850,3930
470,3800,960,3840
471,3780,830,3820
472,4060,820,4100
473,5240,880,5280
474,3940,870,3970
475,3949,890,3989
476,3830,810,3870
477,3900,840,3940
478,7070,5740,7160
479,4100,970,4140
480,3830,860,3880
481,3860,850,3890
482,3780,820,3830
483,5950,1710,6030
484,4820,840,4870
485,3869,870,3909
486,3840,870,3880
487,4020,940,4060
488,3870,850,3910
489,5080,920,5570
490,3820,850,3870
491,3930,870,3970
492,3920,840,3960
493,3900,830,3950
494,6500,2040,6550
495,4640,860,4690
496,3850,820,3890
497,3860,810,3910
498,4030,870,4080
499,3910,880,3950
500,5130,850,5180
501,4220,850,4260
502,4030,790,4070
503,3840,830,3880
504,3869,830,3909
505,7440,5360,7520
506,4079,860,4109
507,4090,840,4130
508,3780,840,3840
509,3849,830,3889
510,5920,5020,6040
511,4959,910,5009
512,3970,860,4010
513,3800,840,3840
514,3839,800,3869
515,3880,810,3920
516,7909,5410,7999
517,5510,850,5550
518,3930,1010,3970
519,3850,820,3900
520,3880,810,3920
521,3830,830,3880
522,3830,830,3880
523,3780,880,3830
524,3819,800,3859
525,3810,830,3840
526,3720,1050,3760
527,3790,900,3830
528,3960,810,4000
529,3740,830,3790
530,4220,860,4260
531,3850,880,3890
532,3750,850,3790
533,3720,800,3760
534,3850,810,3900
535,3880,920,3920
536,3780,830,3820
537,3730,830,3760
538,3759,820,3799
539,3720,840,3770
540,3750,820,3800
541,3790,850,3830
542,3750,920,3790
543,3770,810,3820
544,3740,830,3790
545,3720,810,3770
546,4110,830,4160
547,3870,860,3910
548,3760,880,3800
549,3829,830,3869
550,3740,820,3780
551,3790,840,3830
552,3740,830,3790
553,3820,830,3860
554,3810,820,3850
555,3950,840,4000
556,3750,870,3800
557,3700,840,3740
558,3710,960,3760
559,3830,890,3880
560,3709,820,3759
561,4080,850,4120
562,3770,800,3810
563,3850,800,3900
564,3760,850,3810
565,3810,870,3850
566,3760,940,3810
567,3709,820,3749
568,3750,820,3800
569,3770,820,3820
570,3790,850,3820
571,3880,850,3910
572,3790,830,3840
573,3710,860,3750
574,3690,1050,3740
575,3720,930,3770
576,3840,840,3870
577,4030,810,4090
578,3769,850,3809
579,3840,840,3870
580,3810,810,3850
581,3770,840,3820
582,3710,830,3760
583,3760,930,3800
584,3800,870,3850
585,3759,840,3799
586,3700,790,3750
587,3800,820,3850
588,4240,840,4290
589,3820,840,3870
590,3830,900,3870
591,3850,830,3900
592,4050,1470,4120
593,3800,800,3850
594,3930,860,3970
595,3900,860,3940
596,3830,790,3870
597,3770,860,3800
598,3830,850,3870
599,3770,830,3810
600,3830,830,3860
601,3860,860,3900
602,3820,820,3870
603,3950,870,4000
604,3870,820,3920
605,3850,830,3880
606,3890,960,3920
607,3960,860,4010
608,3830,790,3870
609,3790,830,3830
610,3730,840,3770
611,3770,850,3810
612,3710,810,3750
613,3830,830,3880
614,3780,940,3820
615,3820,850,3860
616,3780,820,3830
617,3840,830,3890
618,3850,810,3880
619,3860,860,3910
620,3790,830,3840
621,3700,850,3730
622,4000,1030,4030
623,3900,880,3940
624,3870,840,3910
625,3780,860,3820
626,3840,810,3890
627,3840,860,3880
628,3830,800,3870
629,3780,840,3820
630,3850,860,3890
631,3840,930,3890
632,3890,800,3940
633,3750,830,3880
634,3800,820,3840
635,3790,860,3820
636,4010,840,4050
637,3970,850,4010
638,3860,940,3890
639,3880,830,3920
640,3810,800,3860
641,3801,820,3841
642,3940,820,3970
643,3940,850,3990
644,3830,830,3870
645,3890,860,3930
646,3810,830,3860
647,3800,850,3850
648,3770,810,3820
649,7510,1860,7560
650,7270,2060,7330
651,4670,860,4700
652,5410,880,5460
653,4030,850,4070
654,3830,1030,3870
655,3880,870,3920
656,3810,840,3860
657,3760,870,3800
658,3810,810,3850
659,3840,800,3880
660,3810,820,3860
661,3750,820,3800
662,3780,950,3830
663,3790,830,3840
664,3780,810,3820
665,8600,910,8650
666,3929,820,3979
667,3890,870,3930
668,3850,800,3890
669,3770,840,3810
670,3840,1020,3870
671,3820,860,3870
672,3820,810,3870
673,3830,860,3870
674,3850,810,3880
675,3750,840,3800
676,3800,850,3850
677,3840,840,3880
678,3880,800,3920
679,3750,930,3790
680,4100,820,4140
681,3850,860,3890
682,3850,810,3880
683,3840,800,3890
684,3740,840,3790
685,3870,860,3920
686,3780,970,3830
687,3770,830,3810
688,3760,830,3810
689,3800,810,3840
690,3980,830,4020
691,3890,870,3930
692,3690,850,3730
693,3780,860,3820
694,3750,820,3790
695,3969,840,4019
696,3890,810,3930
697,3920,820,3950
698,3809,870,3839
699,3880,850,3920
700,3720,820,3770
701,3740,820,3780
702,3780,970,3810
703,3870,870,3910
704,3680,820,3730
705,3870,840,3910
706,3720,810,3770
707,3780,800,3820
708,3790,800,3830
709,3880,840,3920
710,4070,960,4110
711,3880,800,3910
712,3820,810,3850
713,3820,830,3860
714,3750,820,3800
715,3820,890,3870
716,3710,820,3760
717,3750,850,3800
718,3790,1050,3830
719,3870,950,3910
720,3860,800,3910
721,3780,850,3820
722,3820,800,3870
723,3850,840,3900
724,3740,840,3780
725,3890,850,3930
726,3780,800,3830
727,3870,900,3910
728,3860,800,3900
729,3860,840,3900
730,3740,820,3770
731,3850,830,3900
732,3800,810,3830
733,3840,860,3880
734,3990,1010,4030
735,3800,820,3850
736,3830,820,3870
737,3780,860,3830
738,3990,850,4030
739,7090,3210,7130
740,3970,800,4010
741,3790,860,3830
742,3740,800,3780
743,3780,840,3830
744,3840,790,3880
745,3820,860,3850
746,3800,810,3840
747,3920,860,3970
748,3830,820,3870
749,3800,830,3840
750,3800,920,3840
751,3860,860,3900
752,3780,860,3820
753,3790,840,3830
754,3950,800,3990
755,3940,810,3980
756,3770,830,3820
757,3850,870,3900
758,3850,890,3890
759,3790,820,3830
760,3870,819,3900
761,3780,820,3830
762,3820,800,3860
763,3869,830,3909
764,3800,810,3840
765,3870,830,3910
766,3729,1050,3769
767,3770,940,3810
768,3810,820,3850
769,4179,850,4229
770,3890,800,3930
771,3830,870,3860
772,3829,810,3859
773,3760,800,3810
774,3740,820,3790
775,3829,920,3889
776,3830,830,3870
777,3700,800,3750
778,3829,890,3879
779,3730,810,3770
780,3870,830,3910
781,3799,860,3839
782,3760,890,3800
783,3880,820,3910
784,3969,810,3999
785,3850,800,3890
786,3930,840,3970
787,3879,850,3919
788,3810,810,3840
789,3780,840,3820
790,3779,830,3829
791,3820,870,3860
792,3780,830,3820
793,3899,880,3939
794,3870,860,3920
795,3910,860,3960
796,3769,820,3799
797,3800,840,3850
798,3800,930,3850
799,4039,840,4089
800,3880,810,3930
801,3820,860,3850
802,3849,830,3889
803,3880,800,3910
804,3800,820,3850
805,3859,860,3889
806,3930,900,3960
807,3850,810,3900
808,3789,820,3839
809,3830,810,3880
810,3830,820,3870
811,3849,880,3899
812,3830,810,3880
813,3700,850,3730
814,4120,1030,4160
815,3830,950,3880
816,3840,860,3880
817,3890,860,3930
818,3800,790,3860
819,3840,820,3890
820,3820,830,3850
821,3880,830,3920
822,3810,830,3850
823,3970,940,4010
824,3950,840,3990
825,3820,820,3870
826,3810,850,3850
827,3830,830,3870
828,4070,830,4110
829,3970,860,4010
830,3900,930,3940
831,3779,840,3829
832,3780,790,3830
833,3810,820,3840
834,3889,850,3939
835,3890,860,3930
836,3830,800,3880
837,3839,810,3889
838,3730,800,3780
839,3790,800,3830
840,3740,820,3780
841,3840,850,3870
842,3860,850,3900
843,4030,840,4070
844,3800,820,3850
845,3750,870,3780
846,5560,1060,5590
847,5870,870,5930
848,5319,840,5369
849,3900,840,3940
850,3820,810,3870
851,3840,820,3880
852,3870,840,3910
853,3910,870,3950
854,3800,1000,3850
855,3750,820,3800
856,3810,810,3870
857,3760,810,3810
858,4270,840,4310
859,3980,840,4020
860,3780,820,3820
861,3750,820,3800
862,3750,1040,3800
863,3820,900,3860
864,3740,820,3790
865,3830,860,3870
866,3760,840,3790
867,3830,810,3880
868,3720,820,3760
869,3800,870,3850
870,3780,850,3820
871,3820,939,3850
872,7170,3300,7220
873,3940,870,4080
874,3970,830,4010
875,3830,820,3870
876,3850,830,3900
877,3860,820,3910
878,3850,920,3890
879,3830,820,3870
880,3790,800,3840
881,3790,830,3840
882,3960,850,4000
883,3950,850,3980
884,3830,810,3870
