round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
0,1790177341559538516,0.981739,0.614680,0.000000,0
1,1790177341560346525,0.692834,0.983763,0.681585,1
2,1790177341561966604,0.992230,0.397084,0.000000,0
3,1790177341562759813,0.992310,0.543176,0.538999,1
4,1790177347572102908,0.991377,0.964370,0.956055,1
5,1790177347572747549,0.906769,0.991457,0.000000,0
6,1790177347573446410,0.734353,0.991873,0.000000,0
7,1790177347574830382,0.370635,0.992756,0.000000,0
8,1790177347575968387,0.991645,0.398552,0.395222,1
9,1790177347576359142,0.991308,0.792029,0.000000,0
10,1790177347577533926,0.991179,0.425509,0.421756,1
11,1790177347578178387,0.775454,0.987796,0.000000,0
12,1790177347578567062,0.995042,0.982958,0.000000,0
13,1790177347579378642,0.991724,0.544198,0.000000,0
14,1790177347579776086,0.992330,0.785578,0.779552,1
15,1790177347580557386,0.991744,0.619443,0.000000,0
16,1790177347581375145,0.991467,0.607500,0.602316,1
17,1790177347582557139,0.991367,0.426929,0.423243,1
18,1790177347584097879,0.992062,0.342249,0.000000,0
19,1790177347584514293,0.992151,0.905355,0.000000,0
20,1790177347585298143,0.991437,0.533881,0.000000,0
21,1790177347585693418,0.992101,0.926456,0.000000,0
22,1790177347586086412,0.992131,0.789365,0.000000,0
23,1790177347587225967,0.991724,0.443522,0.439851,1
24,1790177347587629732,0.992082,0.784956,0.000000,0
25,1790177347588404012,0.676918,0.992995,0.672176,1
26,1790177347589077203,0.741192,0.992786,0.000000,0
27,1790177365617497412,0.983872,0.669433,0.658637,1
28,1790177368621394421,0.564744,0.981798,0.000000,0
29,1790177368622526196,0.510323,0.981376,0.000000,0
30,1790177368623420914,0.634242,0.991784,0.000000,0
31,1790177368623812559,0.991060,0.870665,0.862881,1
32,1790177368624348952,0.847116,0.992181,0.000000,0
33,1790177368624737326,0.995162,0.982889,0.000000,0
34,1790177368625140981,0.991953,0.824138,0.000000,0
35,1790177368625532016,0.991754,0.802417,0.795800,1
36,1790177368625922071,0.992250,0.924420,0.917256,1
37,1790177368626395604,0.910713,0.992896,0.000000,0
38,1790177374636126823,0.988398,0.903357,0.892876,1
39,1790177374637106530,0.990129,0.752130,0.744706,1
