sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
30,1780650930298311109,1780650930298322185,1780650930298322321,1780650930298339876,11076,17555,3239,14315,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
31,1780650930298351026,1780650930298362399,1780650930298362544,1780650930298379967,11373,17423,3025,14398,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
32,1780650930298391527,1780650930298406121,1780650930298406245,1780650930298422258,14594,16013,709,15303,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
33,1780650930298432483,1780650930298442632,1780650930298442755,1780650930298459017,10149,16262,3056,13205,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
34,1780650930298473383,1780650930298484044,1780650930298484311,1780650930298502383,10661,18072,3705,14366,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
35,1780650930298513850,1780650930298526051,1780650930298526177,1780650930298543778,12201,17601,2700,14901,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
36,1780650930298555211,1780650930298566907,1780650930298567053,1780650930298584717,11696,17664,2984,14680,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
37,1780650930298595946,1780650930298607140,1780650930298607279,1780650930298625020,11194,17741,3273,14467,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
38,1780650930298637312,1780650930298648682,1780650930298648829,1780650930298671702,11370,22873,5751,17121,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
39,1780650930298684729,1780650930298696702,1780650930298696849,1780650930298715156,11973,18307,3167,15140,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
40,1780650930298726624,1780650930298737898,1780650930298738042,1780650930298755697,11274,17655,3190,14464,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
41,1780650930298767083,1780650930298778352,1780650930298778480,1780650930298796368,11269,17888,3309,14578,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
42,1780650930298807791,1780650930298819146,1780650930298819330,1780650930298837186,11355,17856,3250,14605,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
43,1780650930298850904,1780650930298862174,1780650930298862305,1780650930298880314,11270,18009,3369,14639,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
44,1780650930298895179,1780650930298906236,1780650930298906379,1780650930298924125,11057,17746,3344,14401,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
45,1780650930298935346,1780650930298946493,1780650930298946629,1780650930298964101,11147,17472,3162,14309,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
46,1780650930298975236,1780650930298986748,1780650930298986887,1780650930299004634,11512,17747,3117,14629,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
47,1780650930299018473,1780650930299029290,1780650930299029411,1780650930299049194,10817,19783,4483,15300,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
48,1780650930299060492,1780650930299071742,1780650930299071891,1780650930299089540,11250,17649,3199,14449,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
49,1780650930299100904,1780650930299111835,1780650930299111967,1780650930299129309,10931,17342,3205,14136,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
50,1780650930299140742,1780650930299151637,1780650930299151785,1780650930299169290,10895,17505,3305,14200,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
