sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
26,1780651151409802067,1780651151409810269,1780651151409810298,1780651151409823915,8202,13617,2707,10909,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
27,1780651151409833770,1780651151409841983,1780651151409842012,1780651151409855651,8213,13639,2713,10926,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
28,1780651151409865577,1780651151409873580,1780651151409873609,1780651151409887258,8003,13649,2823,10826,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
29,1780651151409897257,1780651151409905391,1780651151409905419,1780651151409918979,8134,13560,2713,10847,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
30,1780651151409928902,1780651151409936949,1780651151409936978,1780651151409950699,8047,13721,2837,10884,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
31,1780651151409960798,1780651151409968614,1780651151409968641,1780651151409982427,7816,13786,2985,10801,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
32,1780651151409992438,1780651151410000459,1780651151410000487,1780651151410014125,8021,13638,2808,10829,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
33,1780651151410024101,1780651151410032239,1780651151410032268,1780651151410048395,8138,16127,3994,12132,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
34,1780651151410057284,1780651151410064593,1780651151410064618,1780651151410077008,7309,12390,2540,9849,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
35,1780651151410086013,1780651151410093284,1780651151410093310,1780651151410105716,7271,12406,2567,9838,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
36,1780651151410114610,1780651151410121777,1780651151410121803,1780651151410134099,7167,12296,2564,9731,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
37,1780651151410143162,1780651151410150172,1780651151410150197,1780651151410162386,7010,12189,2589,9599,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
38,1780651151410171454,1780651151410178613,1780651151410178639,1780651151410190829,7159,12190,2515,9674,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
39,1780651151410199882,1780651151410206963,1780651151410206989,1780651151410219264,7081,12275,2597,9678,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
40,1780651151410228281,1780651151410235509,1780651151410235535,1780651151410247781,7228,12246,2509,9737,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
41,1780651151410256812,1780651151410264000,1780651151410264026,1780651151410276316,7188,12290,2551,9739,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
42,1780651151410285386,1780651151410292507,1780651151410292532,1780651151410305030,7121,12498,2688,9809,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
43,1780651151410314110,1780651151410321410,1780651151410321436,1780651151410333801,7300,12365,2532,9832,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
44,1780651151410342911,1780651151410350025,1780651151410350051,1780651151410362354,7114,12303,2594,9708,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
45,1780651151410371322,1780651151410378470,1780651151410378496,1780651151410390839,7148,12343,2597,9745,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
46,1780651151410399955,1780651151410407041,1780651151410407068,1780651151410419410,7086,12342,2628,9714,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
47,1780651151410428534,1780651151410435636,1780651151410435662,1780651151410447864,7102,12202,2550,9652,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
48,1780651151410456754,1780651151410463792,1780651151410463817,1780651151410476104,7038,12287,2624,9662,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
49,1780651151410485136,1780651151410492338,1780651151410492364,1780651151410504749,7202,12385,2591,9793,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
50,1780651151410513782,1780651151410520820,1780651151410520846,1780651151410533127,7038,12281,2621,9659,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
51,1780651151410542288,1780651151410549529,1780651151410549554,1780651151410561851,7241,12297,2528,9769,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
52,1780651151410570836,1780651151410578017,1780651151410578043,1780651151410590399,7181,12356,2587,9768,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
53,1780651151410599374,1780651151410606601,1780651151410606628,1780651151410618997,7227,12369,2571,9798,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
54,1780651151410627986,1780651151410635028,1780651151410635054,1780651151410647353,7042,12299,2628,9670,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
55,1780651151410656248,1780651151410663386,1780651151410663412,1780651151410675750,7138,12338,2600,9738,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
56,1780651151410684686,1780651151410691875,1780651151410691901,1780651151410704306,7189,12405,2608,9797,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
57,1780651151410713246,1780651151410720461,1780651151410720487,1780651151410732684,7215,12197,2491,9706,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
58,1780651151410741793,1780651151410749028,1780651151410749054,1780651151410761356,7235,12302,2533,9768,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
59,1780651151410770429,1780651151410777688,1780651151410777714,1780651151410789941,7259,12227,2484,9743,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
60,1780651151410798969,1780651151410806122,1780651151410806148,1780651151410818415,7153,12267,2557,9710,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
61,1780651151410827373,1780651151410834456,1780651151410834482,1780651151410846779,7083,12297,2607,9690,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
62,1780651151410855713,1780651151410862828,1780651151410862854,1780651151410875163,7115,12309,2597,9712,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
63,1780651151410884104,1780651151410891195,1780651151410891221,1780651151410903473,7091,12252,2580,9671,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
64,1780651151410912294,1780651151410919355,1780651151410919382,1780651151410931722,7061,12340,2639,9700,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
65,1780651151410940696,1780651151410947865,1780651151410947891,1780651151410960247,7169,12356,2593,9762,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
66,1780651151410969153,1780651151410976285,1780651151410976311,1780651151410988562,7132,12251,2559,9691,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
67,1780651151410997554,1780651151411004760,1780651151411004785,1780651151411017061,7206,12276,2535,9741,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
68,1780651151411026002,1780651151411033194,1780651151411033219,1780651151411045456,7192,12237,2522,9714,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
69,1780651151411054401,1780651151411061658,1780651151411061684,1780651151411073904,7257,12220,2481,9738,1,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
70,1780651151411082870,1780651151411090095,1780651151411090120,1780651151411102352,7225,12232,2503,9728,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
71,1780651151411111355,1780651151411118621,1780651151411118648,1780651151411130844,7266,12196,2465,9731,1,1,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
