sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
30,1780651161030656344,1780651161030661996,1780651161030662021,1780651161030674809,5652,12788,3568,9220,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
31,1780651161030683780,1780651161030689338,1780651161030689364,1780651161030702077,5558,12713,3577,9135,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
32,1780651161030711124,1780651161030716791,1780651161030716817,1780651161030729504,5667,12687,3510,9177,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
33,1780651161030738295,1780651161030744076,1780651161030744102,1780651161030756801,5781,12699,3459,9240,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
34,1780651161030765784,1780651161030771499,1780651161030771525,1780651161030784087,5715,12562,3423,9138,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
35,1780651161030793037,1780651161030798745,1780651161030798771,1780651161030811398,5708,12627,3459,9167,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
36,1780651161030820375,1780651161030826180,1780651161030826206,1780651161030838947,5805,12741,3468,9273,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
37,1780651161030847808,1780651161030853537,1780651161030853563,1780651161030866308,5729,12745,3508,9237,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
38,1780651161030875160,1780651161030881009,1780651161030881035,1780651161030893642,5849,12607,3379,9228,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
39,1780651161030902532,1780651161030908247,1780651161030908272,1780651161030921032,5715,12760,3522,9237,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
40,1780651161030930109,1780651161030935860,1780651161030935885,1780651161030948506,5751,12621,3435,9186,1,1,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
41,1780651161030957506,1780651161030963232,1780651161030963258,1780651161030976108,5726,12850,3562,9288,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
42,1780651161030985302,1780651161030991090,1780651161030991116,1780651161031006619,5788,15503,4857,10645,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
43,1780651161031017250,1780651161031033150,1780651161031033179,1780651161031053041,15900,19862,1981,17881,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
44,1780651161031064470,1780651161031075640,1780651161031075667,1780651161031093300,11170,17633,3231,14401,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
45,1780651161031104695,1780651161031111411,1780651161031111440,1780651161031125927,6716,14487,3885,10601,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
46,1780651161031135903,1780651161031142548,1780651161031142577,1780651161031156830,6645,14253,3804,10449,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
47,1780651161031167008,1780651161031173821,1780651161031173850,1780651161031188448,6813,14598,3892,10705,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
48,1780651161031198762,1780651161031205951,1780651161031205979,1780651161031220517,7189,14538,3674,10863,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
49,1780651161031230552,1780651161031235445,1780651161031235473,1780651161031249868,4893,14395,4751,9644,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
