count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
50,1785326919784336924,389612,181013,0.867540,0
51,1785326919784730136,387112,181786,0.867024,1
52,1785326919785119018,385452,181989,0.866888,1
53,1785326919785506260,391273,183693,0.865753,1
54,1785326919785899213,389192,182675,0.866431,0
55,1785326919786291195,385432,182509,0.866542,1
56,1785326919786678207,385482,180662,0.867774,0
57,1785326919787065039,385172,180766,0.867705,1
58,1785326919787451741,394192,183259,0.866042,0
59,1785326919787848523,393763,189042,0.862201,0
60,1785326919788243946,389832,183275,0.866031,0
61,1785326919788635498,387332,183448,0.865916,0
62,1785326919789024650,390082,185792,0.864357,0
63,1785326919789416182,385602,181915,0.866938,1
64,1785326919789803344,384732,180859,0.867642,1
65,1785326919790189596,388602,183442,0.865920,0
66,1785326919790579578,389992,183136,0.866124,0
67,1785326919790971930,386993,182279,0.866695,1
68,1785326919791360393,389722,182851,0.866314,0
69,1785326919791751505,389992,183285,0.866025,1
70,1785326919792142987,384162,182138,0.866789,1
71,1785326919792528579,385142,179732,0.868395,1
72,1785326919792915201,384342,181265,0.867371,1
73,1785326919793301383,382752,179639,0.868457,0
74,1785326919793685615,382412,180463,0.867907,1
75,1785326919794078528,384952,182305,0.866678,1
76,1785326919794465870,386552,181039,0.867522,0
77,1785326919794853952,382552,181152,0.867447,0
78,1785326919795237904,399872,195815,0.857731,0
79,1785326919795639416,386492,181979,0.866895,0
80,1785326919796027408,385102,181762,0.867040,1
81,1785326919796413910,397342,191186,0.860783,1
82,1785326919796812872,395703,179169,0.868772,0
83,1785326919797211075,389872,181762,0.867040,0
84,1785326919797602457,392202,185005,0.864880,1
85,1785326919797996109,395832,184888,0.864958,1
86,1785326919798393611,391672,184302,0.865348,0
87,1785326919798786853,383162,180795,0.867685,0
88,1785326919799171605,390112,185519,0.864538,0
89,1785326919799563467,391312,185132,0.864796,0
90,1785326919799956429,386722,182405,0.866611,0
91,1785326919800345281,385363,180929,0.867596,0
92,1785326919800732354,385532,181321,0.867334,1
93,1785326919801119356,383092,180515,0.867872,1
94,1785326919801504258,385242,180188,0.868091,0
95,1785326919801891150,385212,180682,0.867761,0
96,1785326919802277892,386502,182245,0.866718,0
97,1785326919802665954,386592,181049,0.867516,0
98,1785326919803054116,387322,181462,0.867240,0
99,1785326919803442888,404833,181546,0.867184,0
100,1785326919803849561,388092,181608,0.867143,1
101,1785326919804239133,395312,184672,0.865102,0
102,1785326919804636365,388092,181665,0.867105,0
103,1785326919805027187,383422,180218,0.868071,1
104,1785326919805412139,386512,181672,0.867100,1
105,1785326919805800151,384872,181626,0.867131,0
106,1785326919806186733,387003,182839,0.866322,0
107,1785326919806575336,387842,182342,0.866653,1
108,1785326919806964718,386592,181655,0.867111,1
109,1785326919807352840,384602,180069,0.868170,0
110,1785326919807738902,381042,176332,0.870672,1
111,1785326919808121564,391702,186506,0.863883,1
112,1785326919808514836,388712,179509,0.868544,1
113,1785326919808904998,386282,179472,0.868569,0
114,1785326919809292680,388363,179486,0.868560,0
115,1785326919809684613,393392,179748,0.868385,0
116,1785326919810079885,382912,178882,0.868964,1
117,1785326919810464197,397982,187035,0.863532,0
118,1785326919810863819,391292,184569,0.865170,1
119,1785326919811256541,390502,184622,0.865135,1
120,1785326919811648573,390373,183095,0.866151,1
121,1785326919812040586,395182,191498,0.860577,0
122,1785326919812437558,387032,182411,0.866607,0
123,1785326919812826320,387012,184035,0.865525,1
124,1785326919813215092,385652,182028,0.866862,1
125,1785326919813602154,389412,185312,0.864676,1
126,1785326919813993036,381982,179385,0.868627,0
127,1785326919814378868,386702,182358,0.866642,0
128,1785326919814767310,386213,182582,0.866493,0
129,1785326919815155103,391632,183454,0.865912,1
130,1785326919815548375,392862,185078,0.864832,0
131,1785326919815942607,388742,184801,0.865016,0
132,1785326919816333329,388182,183225,0.866065,0
133,1785326919816723541,399442,186508,0.863882,1
134,1785326919817124693,398492,186742,0.863726,0
135,1785326919817524745,397853,184865,0.864973,1
136,1785326919817924068,389902,184007,0.865544,0
137,1785326919818315410,392082,185101,0.864816,0
138,1785326919818709432,391082,183574,0.865832,1
139,1785326919819102004,391572,184948,0.864918,1
140,1785326919819495076,404292,186071,0.864172,0
141,1785326919819901498,392432,184834,0.864994,0
142,1785326919820296020,390952,183718,0.865736,0
143,1785326919820697673,389232,183080,0.866161,0
144,1785326919821088655,396062,194573,0.858549,0
145,1785326919821486327,397052,193607,0.859185,0
146,1785326919821885009,385612,180840,0.867655,1
147,1785326919822272201,387452,182104,0.866812,1
148,1785326919822661203,395912,183137,0.866123,0
149,1785326919823058785,398193,185740,0.864392,0
150,1785326919823458658,389102,183463,0.865906,0
151,1785326919823849270,386682,181796,0.867017,0
152,1785326919824237372,392962,183320,0.866001,0
153,1785326919824632014,388702,183253,0.866046,0
154,1785326919825022436,385372,183087,0.866157,1
155,1785326919825409498,388573,184160,0.865442,0
156,1785326919825799831,386132,180953,0.867580,1
157,1785326919826187363,389742,186576,0.863836,0
158,1785326919826578955,388192,183950,0.865582,1
159,1785326919826970317,390532,181893,0.866952,1
160,1785326919827362459,386882,182917,0.866270,0
161,1785326919827751101,386422,183000,0.866215,0
162,1785326919828139133,385292,181854,0.866978,0
163,1785326919828525885,386773,183457,0.865910,0
164,1785326919828914068,388052,183510,0.865875,1
165,1785326919829303750,391632,185793,0.864356,1
166,1785326919829697102,385812,180966,0.867571,1
167,1785326919830084324,385462,181810,0.867008,0
168,1785326919830471326,385152,182083,0.866826,0
169,1785326919830857868,385052,181877,0.866963,0
170,1785326919831244470,387502,182340,0.866654,0
171,1785326919831633642,388442,184244,0.865386,1
