count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
187,1785326941678429869,383032,173626,0.872489,0
188,1785326941678814391,380452,172261,0.873408,1
189,1785326941679196323,389192,174036,0.872213,1
190,1785326941679587535,385673,173661,0.872465,1
191,1785326941679974908,382342,173595,0.872510,1
192,1785326941680359480,388702,179449,0.868584,0
193,1785326941680750052,381702,173454,0.872605,1
194,1785326941681133444,394332,185449,0.864585,0
195,1785326941681529566,382242,172124,0.873500,0
196,1785326941681913478,379832,172219,0.873436,1
197,1785326941682294790,382102,173924,0.872289,0
198,1785326941682678792,380522,172699,0.873113,1
199,1785326941683062134,380753,172564,0.873204,0
200,1785326941683444787,383742,173368,0.872663,0
201,1785326941683829979,400832,194103,0.858858,1
202,1785326941684232751,380802,172528,0.873228,0
203,1785326941684619163,382952,174293,0.872041,1
204,1785326941685003785,379022,172048,0.873551,1
205,1785326941685384467,384552,174483,0.871913,0
206,1785326941685770699,378522,172058,0.873544,1
207,1785326941686150651,381703,174643,0.871805,1
208,1785326941686533964,383052,173927,0.872287,0
209,1785326941686918766,383042,174032,0.872216,1
210,1785326941687303458,380852,172227,0.873430,1
211,1785326941687686120,384232,173352,0.872673,1
212,1785326941688071942,379702,171657,0.873814,0
213,1785326941688453164,382542,174202,0.872102,1
214,1785326941688837516,378262,172707,0.873107,1
215,1785326941689217378,380262,173812,0.872364,1
216,1785326941689599030,381872,172587,0.873188,0
217,1785326941689982622,384313,178002,0.869553,1
218,1785326941690368575,380452,172986,0.872920,1
219,1785326941690750747,381132,174421,0.871955,1
220,1785326941691134179,386062,179126,0.868800,0
221,1785326941691522131,392662,175301,0.871364,1
222,1785326941691916693,377672,173966,0.872260,0
223,1785326941692301875,379062,175381,0.871310,0
224,1785326941692682707,376982,172696,0.873115,1
225,1785326941693061079,371122,170131,0.874843,1
226,1785326941693433671,391823,185576,0.864501,1
227,1785326941693827214,378372,173730,0.872419,0
228,1785326941694207226,379782,172665,0.873136,1
229,1785326941694588458,377032,173500,0.872574,1
230,1785326941694967060,376682,173805,0.872369,1
231,1785326941695345282,382952,178790,0.869025,1
232,1785326941695729904,378962,175835,0.871005,1
233,1785326941696110346,382512,173540,0.872547,1
234,1785326941696494628,377992,174685,0.871777,0
235,1785326941696874300,377142,173420,0.872628,1
236,1785326941697253152,379092,172565,0.873203,0
237,1785326941697633784,375262,172400,0.873314,0
238,1785326941698010476,377813,172235,0.873425,1
239,1785326941698389659,380772,175649,0.871130,1
240,1785326941698772141,376052,172144,0.873486,1
241,1785326941699150103,375732,172809,0.873039,1
242,1785326941699527235,379942,174274,0.872053,0
243,1785326941699908817,381032,175599,0.871163,0
244,1785326941700291779,378032,174544,0.871872,1
245,1785326941700671771,378422,173719,0.872426,1
246,1785326941701051773,376042,173454,0.872605,1
247,1785326941701429265,376102,173259,0.872736,0
248,1785326941701807007,380532,177084,0.870168,1
249,1785326941702189179,379722,176529,0.870540,0
250,1785326941702570441,376473,171684,0.873796,0
251,1785326941702949294,379442,172888,0.872985,1
252,1785326941703330166,383232,174603,0.871832,1
253,1785326941703715048,385592,175688,0.871104,0
254,1785326941704102470,398392,174893,0.871637,1
255,1785326941704502682,387102,179127,0.868800,0
256,1785326941704891474,394582,183842,0.865654,0
257,1785326941705287986,384722,176557,0.870521,1
258,1785326941705674488,387512,174012,0.872229,0
259,1785326941706063590,396632,186027,0.864201,0
260,1785326941706461752,385123,175732,0.871074,1
261,1785326941706848705,379182,172956,0.872940,0
262,1785326941707229897,382402,174071,0.872190,1
263,1785326941707614329,390332,179956,0.868246,0
264,1785326941708006211,383232,177401,0.869955,1
265,1785326941708391083,382052,173816,0.872361,1
266,1785326941708774635,380702,172881,0.872990,0
267,1785326941709156717,381452,174636,0.871810,1
268,1785326941709539629,383312,173861,0.872331,1
269,1785326941709924581,380682,173876,0.872321,0
270,1785326941710306843,381412,173351,0.872674,1
