,pswap_0.80,pswap_0.90
Inf,2836.2124507510357,3765.9065460324227
1 min,2836.2116280247074,3765.9058079768665
1 s,2836.1630885148065,3765.8622636208393
500 ms,2836.1137290112974,3765.8179830841955
1 ms,2788.272540084986,3722.5906724595684
500 µs,2743.394248241378,3681.3246217943415
250 µs,2668.3270923591053,3605.528183755785
100 µs,2596.6586793875076,3510.3825460050057
50 µs,2564.830965935232,3465.9463770742827
1 µs,2546.1052679626,3434.6391656562505
