,pswap_0.80,pswap_0.90
Inf,2874.924593675098,4247.7539788909735
1 min,2874.923739693805,4247.75194593739
1 s,2874.873356330221,4247.632003614672
500 ms,2874.8221221030667,4247.510032281813
1 ms,2825.315880846681,4127.8119180969725
500 µs,2779.2318849776475,4012.1796412386784
250 µs,2707.759151742886,3799.155269125412
100 µs,2641.1232266964753,3362.484075682391
50 µs,2614.022935919476,2993.4871748566065
1 µs,2562.162262305206,2483.30013721434
