count_idx,delay_ns,clock_offset_ns,clock_sync_rtt_ns
51,-44182519,2144857345,10994807
52,-44188775,2144857345,10994807
53,-44195616,2144857345,10994807
54,-44199074,2144857345,10994807
55,-44202435,2144857345,10994807
56,-44205444,2144857345,10994807
57,-44209323,2144857345,10994807
58,-44212963,2144857345,10994807
59,-44201243,2144857345,10994807
60,-44204529,2144857345,10994807
61,-44207537,2144857345,10994807
62,-44211666,2144857345,10994807
63,-44215845,2144857345,10994807
64,-44218633,2144857345,10994807
65,-44222263,2144857345,10994807
66,-44225697,2144857345,10994807
67,-44266211,2144857345,10994807
68,-44276613,2144857345,10994807
69,-44285555,2144857345,10994807
70,-44294116,2144857345,10994807
71,-44303823,2144857345,10994807
72,-44313627,2144857345,10994807
73,-44322617,2144857345,10994807
74,-44331709,2144857345,10994807
75,-44338514,2144857345,10994807
76,-44347808,2144857345,10994807
77,-44359235,2144857345,10994807
78,-44368009,2144857345,10994807
79,-44380784,2144857345,10994807
80,-44389889,2144857345,10994807
81,-44400259,2144857345,10994807
82,-44411457,2144857345,10994807
83,-44418537,2144857345,10994807
84,-44426470,2144857345,10994807
85,-44436802,2144857345,10994807
86,-44447984,2144857345,10994807
87,-44457415,2144857345,10994807
88,-44462555,2144857345,10994807
89,-44466407,2144857345,10994807
90,-44470339,2144857345,10994807
91,-44473251,2144857345,10994807
92,-44476425,2144857345,10994807
93,-44480152,2144857345,10994807
94,-44483847,2144857345,10994807
95,-44487438,2144857345,10994807
96,-44491257,2144857345,10994807
97,-44495274,2144857345,10994807
98,-44498945,2144857345,10994807
99,-44501348,2144857345,10994807
100,-44504750,2144857345,10994807
101,-44508282,2144857345,10994807
102,-44511926,2144857345,10994807
103,-44515671,2144857345,10994807
104,-44519064,2144857345,10994807
105,-44524917,2144857345,10994807
106,-44528766,2144857345,10994807
107,-44531103,2144857345,10994807
108,-44534690,2144857345,10994807
109,-44538469,2144857345,10994807
110,-44541696,2144857345,10994807
111,-44545447,2144857345,10994807
112,-44548938,2144857345,10994807
113,-44552544,2144857345,10994807
114,-44556051,2144857345,10994807
115,-44558325,2144857345,10994807
116,-44595678,2144857345,10994807
117,-44607283,2144857345,10994807
118,-44616480,2144857345,10994807
119,-44624680,2144857345,10994807
120,-44631948,2144857345,10994807
121,-44640646,2144857345,10994807
122,-44649896,2144857345,10994807
123,-44655837,2144857345,10994807
124,-44664295,2144857345,10994807
125,-44672407,2144857345,10994807
126,-44679867,2144857345,10994807
127,-44687031,2144857345,10994807
128,-44696474,2144857345,10994807
129,-44703823,2144857345,10994807
130,-44712125,2144857345,10994807
131,-44718962,2144857345,10994807
132,-44726811,2144857345,10994807
133,-44733710,2144857345,10994807
134,-44740360,2144857345,10994807
135,-44746948,2144857345,10994807
136,-44753670,2144857345,10994807
137,-44762581,2144857345,10994807
138,-44770378,2144857345,10994807
139,-44779472,2144857345,10994807
140,-44791161,2144857345,10994807
141,-44799744,2144857345,10994807
142,-44807717,2144857345,10994807
143,-44815025,2144857345,10994807
144,-44835632,2144857345,10994807
