count_idx,delay_ns,loop_gap_ns
448,10539,5291
449,15987,5824
450,46318,10456
451,50840,191718
452,25606,59937
453,31899,10230
454,18505,38212
455,11900,7321
456,10825,4024
457,8018,5792
458,31139,4842
459,17363,48000
460,16547,9551
461,17147,7836
462,13921,4668
463,11276,3314
464,9271,5635
465,5971,4569
466,25957,4511
467,47624,30789
468,51940,68820
469,51722,9812
470,49184,6986
471,46550,4834
472,32958,5150
473,25791,4823
474,20398,3432
475,42666,2983
476,157789,32226
477,87577,129374
478,83073,10366
479,81947,5335
480,81836,5162
481,81135,4774
482,79919,4474
483,77010,4197
484,109882,4184
485,95949,46335
486,50763,11912
487,36515,62175
488,31340,6390
489,27478,3394
490,22224,3112
491,18095,3143
492,12506,3094
493,15148,3257
494,53043,10489
495,23580,64252
496,16476,7411
497,37845,7298
498,26997,52199
499,22053,6493
500,18872,3468
501,17373,3423
502,14647,3938
503,13700,3056
504,13634,5680
505,38668,12344
506,28721,60935
507,25752,8759
508,24734,5219
509,23859,4979
510,22501,4881
511,20776,4504
512,19347,4822
513,44632,4630
514,162504,34046
515,35912,127272
516,14198,54555
517,7882,6300
518,25836,5128
519,48136,30724
520,40589,64384
521,36268,26097
522,52520,6686
523,55310,34521
524,58868,8614
525,48816,11907
526,154030,40702
527,126142,179446
528,118594,11030
529,120775,5639
530,116782,11584
531,112335,5134
532,108171,4733
533,106627,4969
534,147556,5221
535,165718,49445
536,47517,21974
537,35124,73032
538,38106,15764
539,35160,6208
540,32400,5608
541,27544,5547
542,22765,5477
543,18608,5435
544,16595,5454
545,14876,8032
546,78138,73643
547,86516,12939
548,66703,98454
549,72800,105881
550,79550,48648
551,71625,12990
552,67628,4363
553,61987,4389
554,58494,9495
555,50875,3207
556,69577,2920
557,132426,31445
558,36100,75625
559,42099,43211
560,30863,51914
561,32794,8319
562,21271,12891
563,14154,13948
564,11284,7893
565,41363,6997
566,15953,62780
567,8211,8514
568,92141,5622
569,57722,99061
570,29716,9349
571,15978,9680
572,12869,3529
573,15852,3483
574,12874,9686
575,11769,3301
576,9979,5639
577,7756,4206
578,14450,4997
579,31562,19984
580,11305,42924
581,56740,7947
582,32262,62992
583,26457,7298
584,22499,3608
585,19975,3245
586,17457,2779
587,19405,7774
588,16488,3282
589,12759,3257
590,13345,2920
591,41253,6799
592,16399,115496
593,11505,9340
594,9722,3748
595,15101,6031
596,11225,11915
597,9870,4966
598,13117,5300
599,12596,8639
600,13398,5716
601,10851,7637
602,30064,5897
603,27694,34853
604,27572,36363
605,28277,31822
606,66004,35783
607,56736,74606
608,52857,7401
609,49895,3536
610,46733,3017
611,43069,3133
612,45052,7682
613,41864,3214
614,64857,2909
615,193614,31468
616,30618,137366
617,13512,41662
618,7987,6411
619,32552,5099
620,12798,39164
621,7981,7068
622,52699,5412
623,31204,61514
624,22874,10313
625,17527,5861
626,17528,5153
627,27143,10245
628,55185,41368
629,43377,71713
630,41807,8607
631,40320,5441
632,39174,5208
633,37001,4983
634,33669,4646
635,29771,4740
636,54680,4983
637,173920,39400
638,57201,126085
639,35921,74482
640,26922,6601
641,19189,4366
642,15425,3316
643,15762,6053
644,15871,14387
645,33956,23055
646,14007,60865
647,29636,6590
648,30735,30918
649,43879,43135
650,16632,59997
651,12348,10252
652,11310,8245
653,13245,11347
654,10877,6823
655,41985,6669
656,34153,51876
657,64138,13768
658,17228,92497
659,12057,12133
660,54960,8200
661,41421,61943
662,32588,20227
663,26632,4979
664,22724,4896
665,16711,4460
666,20515,4942
667,17357,13092
668,47446,9022
669,29132,65247
670,27306,11847
671,20748,4970
672,20909,4551
673,16712,10069
674,14494,6962
675,10106,7699
676,17968,6806
677,39365,18219
678,66373,109822
679,62108,14168
680,59154,7146
681,55525,5922
682,51195,5338
683,45159,4939
684,41043,4875
685,33852,4213
686,54752,3159
687,102580,34788
688,45227,61196
689,29888,59310
690,23775,7784
691,19452,5516
692,15213,4277
693,23673,4487
694,20509,18854
695,21845,9891
696,17252,5000
697,16525,4968
698,62999,9150
699,22782,128304
700,16723,6344
701,13272,3586
702,11459,3065
703,13222,7711
704,10137,3225
705,11591,3094
706,12582,8311
707,9858,6443
708,47577,7207
709,25807,80893
710,14538,11489
711,13903,8735
712,10826,3343
713,10213,3401
714,8503,5684
715,13355,4971
716,12486,14013
717,33291,10838
718,27894,51929
719,27937,33680
720,30852,34074
721,62962,38908
722,40369,68097
723,33738,6182
724,31477,3839
725,28596,3764
726,25827,3072
727,22317,3112
728,21980,7220
729,37334,3225
730,165254,31355
731,45694,140028
732,71636,75857
733,32904,134561
734,24645,8410
735,20820,5493
736,22214,9517
737,17658,5072
738,25886,4540
739,21659,18169
740,20147,5015
741,13885,8401
742,25495,7655
743,24474,29840
744,21986,16841
745,16660,6179
746,14399,5062
747,11622,6965
748,42783,6181
749,20510,62794
750,16944,5517
751,13972,3664
752,17102,3077
753,13548,8407
754,10897,2937
755,16705,3273
756,14389,11544
757,13195,3195
758,45456,4683
759,14450,103920
760,16494,10608
761,17653,22361
762,13767,8642
763,9654,6589
764,44132,6638
765,44877,51951
766,69348,77575
767,40127,108577
768,38311,8762
769,42957,14056
770,41809,5330
771,40049,4737
772,37271,3280
773,32413,2981
774,57144,2903
775,89164,33645
776,29994,38518
777,14643,46789
778,11387,5501
779,7462,4942
780,27924,4785
781,38752,33208
782,23839,64290
783,22437,5960
784,14912,8557
785,20290,13191
786,34355,19711
787,18243,38460
788,12376,9334
789,9707,3900
790,7927,4485
791,11130,5133
792,26189,11678
793,33408,28451
794,12571,53665
795,34238,9588
796,19161,38565
797,27907,8854
798,13570,39106
799,10319,6248
800,8609,4918
801,10907,4998
802,9701,13915
803,45901,4857
804,33871,82628
805,15020,11368
806,11071,7727
807,16035,12097
808,41713,15924
809,11898,58526
810,11726,10819
811,9696,6390
812,7264,5193
813,8384,4838
814,5689,7977
815,25850,4810
816,10040,28962
817,48868,6283
818,26816,72412
819,19803,17020
820,12967,5613
821,10387,5034
822,10058,5594
823,15728,5542
824,15292,11934
825,16128,5059
826,13551,8099
827,15878,9240
828,12086,8368
829,61194,7915
830,34026,163751
831,28305,8263
832,25322,5054
833,27073,4920
834,14512,7833
835,10974,10085
836,8911,3871
837,8608,4439
838,6075,5709
839,29448,4653
840,44908,34653
841,16672,60215
842,12791,8557
843,15673,10344
844,14399,6058
845,14701,5829
846,13796,5775
847,13050,5555
848,12868,5620
849,38201,5482
850,42659,33724
851,38425,8605
852,21554,55109
853,17338,5199
854,14157,3465
855,13729,3210
856,10333,5947
857,50417,4152
858,16539,64118
859,34877,6889
860,31708,39560
861,34352,35867
862,23180,47762
863,20217,7459
864,19304,5264
865,18440,5435
866,14272,4759
867,15310,3494
868,16548,14129
869,13099,8428
870,10296,6630
871,40689,5897
872,32462,62623
873,27519,33778
874,27834,39182
875,47556,35690
876,18457,59655
877,10643,7073
878,16778,7455
879,10804,16880
880,41344,7376
881,56505,64639
882,51978,51003
883,46023,6897
884,45539,5230
885,40937,9442
886,34533,3305
887,25273,3111
888,17890,3339
889,36371,2913
890,43664,27886
891,46158,13666
892,34560,61841
893,35221,13972
894,31231,5888
895,28172,5158
896,26049,4984
897,43423,8363
898,37575,56021
899,22755,10511
900,12173,5810
901,11680,6647
902,10557,3223
903,8915,4959
904,5829,4769
905,27362,4720
906,32430,31059
907,31525,45413
908,19034,38653
909,17691,9542
910,19244,5706
911,16975,9549
912,15366,8216
913,39303,6690
914,27271,53022
915,19983,12498
916,38801,6967
917,29190,48891
918,23769,12925
919,18230,5956
920,16522,4912
921,13059,7468
922,35807,7844
923,26410,57627
924,28647,7114
925,16295,10615
926,10332,12695
927,7715,4750
928,11908,4773
929,8464,12672
930,6577,4579
931,10980,4753
932,7972,11237
933,11783,4767
934,9388,12782
935,34108,4672
936,31492,112883
937,31467,40029
