count_idx,delay_ns,loop_gap_ns,recv_block_ns
339,294817,6970,3311
340,296567,6942,3579
341,294214,7319,3302
342,293435,7089,3264
343,291731,6990,3372
344,293630,7145,3355
345,295209,7309,3382
346,296541,7090,3312
347,284046,7130,3342
348,284099,7059,3361
349,286050,7269,3341
350,288054,7298,3228
351,288934,6913,3288
352,290335,7051,3308
353,290890,6975,3283
354,292653,7016,3263
355,294321,6894,3238
356,282273,6951,3299
357,282455,6906,3339
358,315226,30098,9654
359,320937,16595,5240
360,409538,10631,88806
361,416442,97398,5684
362,415967,8109,1575
363,414541,3481,1298
364,413029,2996,1468
365,411436,3045,1259
366,409473,2850,1378
367,408338,2966,1295
368,406692,2889,1342
369,405078,2884,1238
370,420041,2815,17903
371,416682,19460,1286
372,412816,2831,1298
373,410883,2852,1220
374,410108,2838,1217
375,408502,2783,1211
376,407381,2757,1224
377,406569,2798,1410
378,405223,3005,1239
379,404028,2823,1228
380,400722,2810,1229
381,399366,2800,1232
382,398076,2986,1191
383,396434,2791,1185
384,394666,2742,1165
385,393169,2738,1264
386,391578,2823,1352
387,389965,2940,1263
388,388458,2814,1319
389,386677,2869,1360
390,385180,2935,1381
391,383602,3008,1277
392,382167,2843,1422
393,380790,3012,1261
394,379489,2815,1434
395,377760,3034,1222
396,376033,2769,1353
397,374728,2971,1267
398,373092,2813,1358
399,369777,2926,1219
400,365981,2768,1365
401,364060,2915,1252
402,363213,2892,1185
403,361949,2741,1216
404,360807,2722,1196
405,359732,2796,1187
406,358488,2754,1233
407,357302,2789,1232
408,356235,2804,1216
409,354988,2826,1185
410,353966,2729,1221
411,352832,2770,1562
412,351955,3152,1449
413,350498,2995,1241
414,349284,2785,1228
415,348380,2841,1392
416,347275,2914,1236
417,346200,2794,1368
418,345154,2936,1252
419,344063,2803,1214
420,342492,2845,1211
421,341584,2786,1232
422,340371,3022,1199
423,339445,2735,1176
424,337908,2742,1245
425,336987,2802,1367
426,335992,2941,1227
427,332334,2787,1251
428,330078,2854,1618
429,327757,3202,1268
430,326238,2875,1245
431,324711,2822,1332
432,323019,2874,1214
433,321316,2776,1356
434,319394,2924,1228
435,305135,2763,1562
436,269217,3159,1248
437,266663,2815,1373
438,257172,2941,1269
439,253696,2831,1198
440,250930,2762,1371
441,249125,2941,1247
442,246197,2837,1361
443,243197,2959,1248
444,240058,2839,1395
445,237140,2973,1488
446,208979,3064,1470
447,175789,3060,2054
448,168712,3664,1276
449,165595,2829,1367
450,162545,2936,1207
451,159186,2775,1328
452,156803,2915,1877
453,140486,3453,1248
454,122362,2917,1259
455,117817,2846,1264
456,110358,2847,1219
457,93471,2752,1271
458,87864,2825,1199
459,82969,2760,1213
460,79303,2806,1286
461,75780,2788,1242
462,73236,2791,1347
463,69017,2898,1349
464,66972,4323,1467
465,74451,13269,1636
466,72290,3558,1442
467,70588,3099,1361
468,68548,2950,1264
469,72520,2873,7294
470,70065,8978,1448
471,68733,3032,1260
472,69490,4376,1395
473,68283,3023,1267
474,67164,2849,1351
475,66239,2939,1244
476,65252,2839,1418
477,63639,2975,1234
478,60347,2889,1757
479,60136,3325,1260
480,58563,4304,1401
481,56976,2966,1185
482,55332,2771,1336
483,54016,2893,1408
484,51031,2951,1532
485,48096,3097,1408
486,43416,3041,1535
487,42416,4733,1877
488,39417,3483,1388
489,36388,2979,1499
490,33865,3072,1433
491,28938,3031,1276
492,30083,2840,4934
493,27103,6608,1483
494,26191,4739,1457
495,23572,3045,1376
496,18404,2954,1671
497,15308,3212,1309
498,12708,2877,1441
499,10749,2982,3533
500,14970,5166,8173
501,52567,9819,42443
502,32180,55061,3666
503,28302,6620,1731
504,25817,3558,1676
505,24516,3298,2174
506,22803,3803,1378
507,21090,3027,1421
508,19236,3136,1353
509,19281,4869,1518
510,17255,3133,1510
511,15150,3090,1414
512,12536,3011,1540
513,15289,3107,7522
514,13342,9266,1591
515,11689,3130,1900
516,12616,5098,3886
517,12007,5556,3127
518,10966,4827,2735
519,10118,4314,2940
520,8298,4568,2859
521,7082,4468,2630
522,10508,4242,7321
523,13138,9009,7155
524,9313,10590,2858
525,7943,4496,3032
526,7244,4864,2770
527,9906,4401,6548
528,13112,8225,8805
529,63157,11601,52366
530,55108,66217,7363
531,57052,23354,7723
532,56866,13497,4381
533,58899,8984,3884
534,100497,40953,8475
535,102909,15712,2282
536,100938,4941,1681
537,99217,3797,1513
538,101396,7447,1453
539,99434,3106,1454
540,97333,3073,1475
541,92900,3042,1395
542,89824,2960,1450
543,87933,3015,1429
544,85672,3015,1296
545,85750,2831,1303
546,84128,4629,1321
547,97418,2882,16421
548,95808,18199,1290
549,94783,2901,1202
550,94225,2965,1182
551,93338,2736,1204
552,92614,2755,1365
553,90846,4699,1290
554,90037,2870,1230
555,89549,2843,1659
556,88883,3211,1268
557,87852,2888,1247
558,87636,3233,1330
559,86523,2970,1322
560,90018,4676,4151
561,89048,5810,1336
562,83556,2876,1253
563,85459,2783,4367
564,84774,6098,1482
565,83857,3069,1261
566,83067,2860,1420
567,85300,3067,1546
568,76023,6571,1362
569,62363,2880,1284
570,54423,2808,1146
571,51488,2680,1220
572,48798,2739,1392
573,42918,2890,1279
574,40967,3119,1440
