count_idx,delay_ns,loop_gap_ns
51,10445,3025
52,11684,5356
53,9551,6433
54,7981,5197
55,234215,4658
56,15785,235449
57,9747,7529
58,8334,6648
59,27776,5443
60,17679,27977
61,14412,8334
62,11219,6318
63,9449,5341
64,89716,5416
65,66563,91766
66,17539,57924
67,14137,4964
68,14123,6683
69,12101,5279
70,10193,3797
71,27917,4816
72,17434,28387
73,13488,6970
74,144250,6122
75,34620,142727
76,15062,8100
77,9537,6247
78,10739,4692
79,7947,7893
80,116697,4562
81,110559,121795
82,106770,8513
83,103117,3425
84,100701,3011
85,97936,3089
86,95380,2886
87,92356,2892
88,145648,2908
89,167116,62883
90,157790,26986
91,94225,164712
92,89169,7523
93,84018,3577
94,80961,3117
95,74551,2983
96,70346,2908
97,66662,2863
98,96969,3385
99,165802,41401
100,127043,79148
101,88378,112653
102,78506,7589
103,72138,3493
104,67017,3038
105,60262,3737
106,55244,3466
107,49433,2912
108,57024,2899
109,299622,13778
110,55367,257854
111,35049,10832
112,28858,4593
113,26772,3035
114,26279,5484
115,25334,4593
116,23527,4732
117,82179,3981
118,209404,68870
119,95138,138218
120,68385,10629
121,62175,5631
122,59157,5267
123,52707,4301
124,46499,3075
125,40226,2817
126,74939,2938
127,121545,44977
128,50951,58045
129,37843,36974
130,16146,30948
131,31378,6041
132,42994,32665
133,42047,34496
134,42810,33015
135,45953,34180
136,16286,36778
137,33612,6145
138,54421,32792
139,28937,51605
140,23196,7310
141,20596,5322
142,21869,5314
143,70887,9776
144,47101,64188
145,24996,13151
146,18837,6461
147,17035,7018
148,64944,7505
149,41361,66649
150,22949,7517
151,18625,3591
152,15502,3369
153,12867,3011
154,15848,3893
155,12902,8442
156,11644,3162
157,10891,4268
158,12047,5100
159,110442,9029
160,36455,113810
161,14406,8549
162,53013,5420
163,35994,55253
164,48701,8569
165,50699,41167
166,24475,10564
167,55398,8645
168,21978,51937
169,14010,6278
170,33344,5083
171,43659,33734
172,19110,37387
173,15492,7065
174,16082,5435
175,17417,8233
176,14709,8969
177,16618,4957
178,15528,9187
179,13754,5219
180,12173,5167
181,12050,3999
182,10434,5569
183,28864,4617
184,46816,29171
185,19500,38386
186,13617,8951
187,34730,7408
188,44038,32188
189,17278,36966
190,14053,6423
191,11995,5896
192,11025,4584
193,31848,4714
194,45235,31579
195,49847,33721
196,46681,39013
197,22030,40489
198,15627,7018
199,18852,4957
200,19262,9770
201,14666,5764
202,34381,5208
203,43084,30808
204,16804,34083
205,11321,5085
206,9444,4241
207,28404,4593
208,42027,29571
209,62971,32984
210,37871,58374
211,29460,7312
212,22213,3649
213,18282,3437
214,13558,5894
215,34575,8112
216,63351,34589
217,33256,58686
218,17377,6518
219,13625,6757
220,11451,4929
221,10465,3912
222,15039,4894
223,12160,13642
224,29452,5290
225,56977,28884
226,29679,49828
227,22509,7291
228,25369,5323
229,21709,12788
230,56231,6674
231,28303,48415
232,39387,7975
233,46106,38888
234,19444,34255
235,14617,6755
236,16961,4560
237,14947,8718
238,14164,5045
239,12759,4995
240,13006,4843
241,11481,5155
242,202718,5322
243,37548,205448
244,18112,8582
245,14727,5890
246,15789,3610
247,13621,7738
248,11886,3307
249,10418,4359
250,39890,5308
251,49575,42798
252,17382,31322
253,11697,6074
254,47986,4765
255,24300,50245
256,16200,9691
257,14419,8436
258,15604,8344
259,16521,9274
260,14805,8411
261,15628,7775
262,15505,7694
263,15459,7557
264,17009,7667
265,15399,9108
266,15135,6637
267,14223,5531
268,13440,5674
269,17334,5452
270,16762,10112
271,16040,5595
272,15223,5564
273,14956,5440
274,15239,6108
275,14992,5634
276,17666,5515
277,209768,8312
278,39828,205582
279,21664,14626
280,18847,6762
281,17245,5633
282,18965,8538
283,15205,7809
284,60079,7695
285,55671,55916
286,20149,36699
287,14001,5145
288,11779,5461
289,40050,4688
290,52066,43674
291,23060,39599
292,19315,8571
293,17939,6755
294,16786,5912
295,16490,5585
296,15979,5688
297,15598,5380
298,15660,6337
299,40797,5491
300,167985,32555
301,79021,133217
302,39761,91203
303,16192,13062
304,22346,8492
305,46302,18960
306,51825,39895
307,29328,44536
308,25171,8969
309,22965,5173
310,20456,3264
311,17582,3068
312,14857,2978
313,17125,3122
314,14246,9376
315,13132,3129
316,10768,4700
317,28955,4452
318,56085,30016
319,23006,46733
320,15335,5181
321,12261,5676
322,37290,5015
323,51433,38650
324,60659,40755
325,31879,56692
326,11527,7887
327,11721,4978
328,8708,8656
329,29551,4766
330,63174,29483
331,36309,56863
332,13068,7662
333,33376,5141
334,33527,34932
335,18040,20386
336,12817,7249
337,12345,3836
338,10620,5585
339,47763,4728
340,26548,49980
341,26486,9994
342,24904,8424
343,25739,5950
344,20002,9945
345,15642,5620
346,15072,5952
347,17388,6007
348,16310,9860
349,16819,5697
350,16304,7382
351,48127,7607
352,32287,48332
353,17837,6989
354,16167,7668
355,13626,7884
356,47290,7365
357,26170,45683
358,22991,7798
359,21118,5786
360,20119,5417
361,18299,5702
362,17948,5620
363,18041,5522
364,42955,5782
365,47999,32633
366,64806,12316
367,40555,69583
368,34827,9455
369,33639,5119
370,31188,8505
371,43564,6922
372,27763,45303
373,10737,6976
374,28279,5210
375,42596,28728
376,42147,34047
377,42417,33220
378,66048,33693
379,38058,62244
380,14946,8775
381,42428,5360
382,54456,43831
383,46056,38235
384,72749,34911
385,51563,65242
386,48917,40926
387,34237,54629
388,31461,8158
389,31249,6072
390,30699,5779
391,31516,5812
392,30661,5825
393,30337,5527
394,29528,5411
395,31642,5081
396,113050,8414
397,49570,90050
398,20792,34424
399,13325,6074
400,12973,4360
401,12181,5530
402,8962,4710
403,28126,4588
404,16810,28437
405,80113,6261
406,134380,84904
407,41465,85022
408,20036,7686
409,12772,6613
410,53222,4736
411,35283,56641
412,15629,6511
413,14509,3934
414,12738,6449
415,10075,4917
416,14328,4905
417,11490,12166
418,8380,5419
419,35246,4537
420,22842,36504
421,16215,5301
422,11961,3258
423,10038,4303
424,59116,5018
425,47494,63624
426,22617,6389
427,16822,5451
428,57460,8395
429,26992,60694
430,141886,7016
431,118674,138494
432,107995,11511
433,101743,5171
434,96839,4154
435,90329,5434
436,70658,4747
437,62657,4793
438,96039,4610
439,103699,47192
440,129546,15618
441,108542,132458
442,103998,7863
443,101614,3469
444,98817,3142
445,96026,3021
446,92888,2962
447,90343,2917
448,125098,2826
449,167756,44092
450,79882,50740
451,43773,68939
452,52905,12674
453,39439,54850
454,19068,10014
455,12525,3257
456,10316,5119
457,30748,4597
458,29128,31793
459,13598,17271
460,11465,7916
461,11842,7419
462,12201,6342
463,11495,7048
464,12600,8054
465,12173,7843
466,53819,7043
467,31870,52440
468,15526,5515
469,13012,6039
470,10109,5329
471,33980,4689
472,22522,34769
473,16007,5205
474,13044,3760
475,10204,5358
476,107314,4582
477,31995,111177
478,25111,6539
479,22722,3486
480,20611,3726
481,18412,2966
482,16017,2980
483,15806,3246
484,88356,6788
485,118071,90849
486,30981,53472
487,12898,14599
488,9366,6090
489,13312,5139
490,10713,11591
491,13808,5106
492,10591,11072
493,27970,4884
494,49392,28078
495,15987,41189
496,51493,6973
497,39585,56072
498,22033,7558
499,16141,4560
500,12756,3095
501,16450,3277
502,15521,9170
503,13650,4818
504,61446,4770
505,46057,65983
506,25253,7725
507,19548,3415
508,16990,3219
509,14627,3296
510,16822,3389
511,13938,8244
512,11846,3357
513,10351,4132
514,207343,5291
515,38685,210904
516,14290,8716
517,23751,5700
518,49878,23442
519,28260,37068
520,37532,12200
521,38168,53879
522,54318,8206
523,49334,29533
524,49251,4647
525,78260,9040
526,56388,80974
527,21964,45079
528,16151,10559
529,17609,7200
530,16059,11499
531,13301,6810
532,10434,6592
533,10393,6165
534,10990,6784
535,207360,6376
536,76275,209852
537,65158,54277
538,67557,16052
539,63964,5553
540,59880,4646
541,53808,4379
542,48347,4248
543,43453,5272
544,38087,4842
545,69343,4103
546,111874,78390
547,151305,22406
548,48620,130558
549,19584,14780
550,19734,10830
551,13662,14305
552,13132,8140
553,28416,6877
554,82214,81118
555,81072,13708
556,85400,7264
557,158377,11913
558,63946,86360
559,33557,48416
560,13543,7540
561,36935,5122
562,25693,37968
563,16172,11211
564,37631,5170
565,48170,36015
566,18294,36580
567,16617,6417
568,100824,13540
569,67356,99904
570,36809,6949
571,21702,7760
572,18203,3293
573,14612,3027
574,18753,3141
575,15866,10543
576,14907,3673
577,12501,5160
578,44587,4774
579,38471,52628
580,18460,12292
581,58079,8420
582,35171,58463
583,30785,8135
584,26915,4530
585,24683,3203
586,22111,3143
587,24774,8401
588,21479,3240
589,45000,2910
590,89728,32893
591,55346,51761
592,29197,51149
593,24251,6316
594,20537,3854
595,21887,3222
596,16596,8166
597,13253,3421
598,20903,3114
599,17971,13165
600,16541,3374
601,15973,5274
602,44775,8763
603,41885,44455
604,42561,35788
605,55218,32540
606,33938,49983
607,16909,7840
608,14132,5331
609,13411,5343
610,17400,5433
611,16320,10399
612,19631,9572
613,18144,4910
614,19970,4895
615,226728,7256
616,35949,218644
617,18895,11609
