count_idx,delay_ns,loop_gap_ns,recv_block_ns
51,15315,18759,5329
52,14294,10468,4574
53,10144,9238,5031
54,43745,9247,43875
55,15422,52082,10051
56,21708,15512,16682
57,16252,22420,5362
58,13842,9505,4952
59,10494,8605,4704
60,16306,9063,13478
61,51665,17751,49833
62,29296,62926,5264
63,26763,11809,4268
64,25111,7913,2876
65,25854,6331,3187
66,26318,8302,2703
67,25774,6147,2817
68,25555,6130,3243
69,24261,6697,2688
70,23785,6297,2826
71,31360,5707,11223
72,31923,14693,3044
73,34812,6523,3121
74,38214,7827,2486
75,41263,5837,2978
76,44067,6575,2827
77,38820,6392,2832
78,37311,6450,2873
79,36926,6422,2592
80,36234,6076,2611
81,35728,6186,2589
82,30789,6725,2619
83,27528,6061,2633
84,23341,6198,2544
85,25239,6031,8605
86,35715,12074,17360
87,45289,22041,54062
88,27181,61350,7327
89,18285,10840,4572
90,67340,8292,74966
91,37050,89548,6397
92,26949,10901,2834
93,25073,6293,2575
94,24277,5933,2561
95,20944,5929,2522
96,24091,5332,10497
97,17130,12540,1863
98,13475,4598,3817
99,16195,5620,11551
100,58974,35920,76979
101,26724,89537,9299
102,19137,14224,3035
103,16077,6845,5315
104,13218,8867,4964
105,9681,8657,4909
106,24069,9864,20938
107,17937,26196,3161
108,16196,6766,5118
109,12882,8879,4808
110,12516,8313,8091
111,19530,11626,15892
112,14018,20608,4942
113,45371,8277,56881
114,15423,66247,6717
115,23407,11663,18257
116,16557,23887,4852
117,14030,8766,5184
118,56548,8276,53413
119,48219,68268,9277
120,44616,13895,3000
121,42167,6438,2337
122,41412,6607,2405
123,39487,5583,2337
124,37997,5052,2528
125,37123,5673,3222
126,35563,6061,2567
127,33754,5741,2209
128,31822,5353,2461
129,28684,5522,2465
130,20625,6307,2533
131,32865,5538,21176
132,27183,24490,2429
133,28095,5330,6400
134,18236,9375,16561
135,13450,20863,3079
136,11410,6020,2522
137,16238,5607,8460
138,15644,12193,2585
139,14332,5807,2379
140,12621,5747,2550
141,14271,5703,5127
142,12417,8271,4319
143,12229,7308,5487
144,13119,8566,4674
145,8822,8177,4071
146,6331,6803,3224
147,26979,5048,27018
148,28213,34298,4214
149,28554,8827,3151
150,27052,6999,2431
151,25674,5613,2243
152,28895,5053,7801
153,15551,10969,4659
154,17364,9008,15002
155,52360,18243,56077
156,19935,67877,6283
157,54137,9047,61179
158,22582,74091,5136
159,16595,10129,3004
160,15774,6878,2677
161,14531,6288,2611
162,14962,6989,2911
163,14017,6418,2712
164,13043,6280,2807
165,12490,6312,2663
166,11801,6122,2615
167,18655,6083,10229
168,18369,13633,2959
169,17494,6235,2617
170,16310,6605,2942
171,15835,6278,2840
172,15036,6109,2864
173,14143,6077,2867
174,19188,6282,7979
175,15416,11691,2736
176,14913,6025,2801
177,14431,6129,2999
178,14137,7389,2797
179,13857,6133,2973
180,13785,6493,2807
181,13311,6213,2888
182,13214,6334,2931
183,12826,6435,2899
184,12073,6129,2886
185,11728,6510,2788
186,12648,7302,2919
187,11927,6266,3050
188,11662,6735,2964
189,18625,6363,10491
190,17774,13938,2630
191,17345,6117,2585
192,14931,6182,2627
193,14228,5845,2856
194,14940,7149,2831
195,14074,6303,2854
196,12648,6266,2470
197,90306,5548,81665
198,114561,110677,2502
199,112791,5312,2150
200,111636,4937,2278
201,110515,5289,2396
202,110701,6608,2179
203,109864,5128,2402
204,106918,5285,2404
205,104379,5753,2622
206,100481,6096,2785
207,97319,6365,2758
208,95024,6287,3266
209,91101,6876,2652
210,86181,6964,2863
211,81759,6361,2651
212,76370,6115,2571
213,71184,5820,2596
214,66547,5958,2737
215,61939,6155,2706
216,57112,6139,2689
217,64648,6046,15496
218,62704,20183,2896
219,59842,6323,2756
220,52037,6276,3264
