count_index,emit_ts_ns,rtt_ns,e2r_ns,werner
200,1784639046551329662,370163,141912,0.894158
201,1784639046551701185,374592,143303,0.893193
202,1784639046552077367,370203,142545,0.893719
203,1784639046552449090,366122,139925,0.895539
204,1784639046552816752,366562,141057,0.894752
205,1784639046553184774,372133,144149,0.892607
206,1784639046553558417,377282,143109,0.893328
207,1784639046553937589,380063,144711,0.892218
208,1784639046554320172,375112,141341,0.894555
209,1784639046554697214,388223,145403,0.891739
210,1784639046555087147,382183,145813,0.891455
211,1784639046555470970,374542,140694,0.895004
212,1784639046555847272,383243,149805,0.888701
213,1784639046556232215,381952,143086,0.893344
214,1784639046556615947,371823,140307,0.895273
215,1784639046556989570,373782,140128,0.895398
216,1784639046557364982,375333,141920,0.894153
217,1784639046557742055,374712,141590,0.894382
218,1784639046558118437,378712,143612,0.892979
219,1784639046558498549,376973,142633,0.893658
220,1784639046558876962,374752,141134,0.894698
221,1784639046559253164,376183,142696,0.893614
222,1784639046559630807,372012,141056,0.894753
223,1784639046560012499,378692,143488,0.893065
224,1784639046560392901,373643,141989,0.894105
225,1784639046560768354,372702,140950,0.894826
226,1784639046561142716,377703,142772,0.893561
227,1784639046561521969,379472,141872,0.894186
228,1784639046561903091,376433,142134,0.894004
229,1784639046562281174,383783,148974,0.889273
230,1784639046562666637,380192,151514,0.887525
231,1784639046563048489,372383,141146,0.894690
232,1784639046563422532,372612,142347,0.893856
233,1784639046563796584,376323,141088,0.894730
234,1784639046564174577,377732,144629,0.892275
235,1784639046564553799,375143,142390,0.893826
236,1784639046564930792,376432,142971,0.893423
237,1784639046565308704,376412,142303,0.893887
238,1784639046565687116,378893,141674,0.894323
239,1784639046566067549,371572,141715,0.894295
240,1784639046566440741,370453,140777,0.894946
241,1784639046566813034,374602,141137,0.894696
242,1784639046567189276,379112,146999,0.890636
243,1784639046567569838,375613,142950,0.893438
244,1784639046567946851,377493,142501,0.893749
245,1784639046568325814,374673,142312,0.893880
246,1784639046568701857,384642,141882,0.894179
247,1784639046569088069,373393,141614,0.894365
248,1784639046569463042,375202,142414,0.893810
249,1784639046569839614,381512,142236,0.893933
250,1784639046570223386,378523,144517,0.892352
251,1784639046570609119,378342,144968,0.892040
252,1784639046570989161,376223,142609,0.893674
253,1784639046571366874,377992,142460,0.893778
254,1784639046571746726,374233,141331,0.894562
255,1784639046572122469,378192,146322,0.891104
256,1784639046572502041,372313,141803,0.894234
257,1784639046572876374,375903,142484,0.893761
258,1784639046573253867,376702,142245,0.893927
259,1784639046573632179,375893,142686,0.893621
260,1784639046574009572,377092,143957,0.892740
261,1784639046574388374,373482,141708,0.894300
262,1784639046574763386,373943,142180,0.893972
263,1784639046575139039,387002,143841,0.892820
264,1784639046575527621,379433,141912,0.894158
265,1784639046575909954,375702,147123,0.890550
266,1784639046576293866,369453,142874,0.893491
267,1784639046576664979,366022,140525,0.895122
268,1784639046577032671,370372,142187,0.893967
269,1784639046577404493,372363,142718,0.893599
270,1784639046577778686,370662,143309,0.893189
271,1784639046578151208,370173,142460,0.893778
272,1784639046578523001,369142,142161,0.893985
273,1784639046578893973,368382,142193,0.893963
274,1784639046579263745,368853,141325,0.894566
275,1784639046579633998,373112,145305,0.891807
276,1784639046580008460,373023,145187,0.891888
277,1784639046580383073,368992,142357,0.893849
278,1784639046580753495,366223,140829,0.894910
279,1784639046581121198,374752,142660,0.893639
280,1784639046581497530,369652,141952,0.894130
281,1784639046581868742,372283,144013,0.892701
282,1784639046582242685,369292,143304,0.893192
283,1784639046582614697,367103,141206,0.894648
284,1784639046582983390,369472,142556,0.893711
285,1784639046583354813,374392,143447,0.893093
286,1784639046583730855,368993,141619,0.894362
287,1784639046584101458,369492,143110,0.893327
288,1784639046584472670,369813,142691,0.893618
289,1784639046584844003,372092,145902,0.891394
290,1784639046585217555,370822,143883,0.892791
291,1784639046585602007,366983,140435,0.895184
292,1784639046585970760,372312,142516,0.893739
293,1784639046586344532,376723,144687,0.892234
294,1784639046586722825,379472,152368,0.886938
295,1784639046587103757,370143,143319,0.893182
296,1784639046587475580,369452,142500,0.893750
297,1784639046587847012,370512,144872,0.892106
298,1784639046588219204,367973,141493,0.894449
299,1784639046588588667,366772,141344,0.894552
300,1784639046588956829,369293,141516,0.894433
301,1784639046589327512,373842,141527,0.894425
302,1784639046589703544,377372,142268,0.893911
303,1784639046590082716,376803,143330,0.893174
304,1784639046590461019,371332,141460,0.894472
305,1784639046590833881,376443,140882,0.894873
306,1784639046591211854,393683,146193,0.891193
307,1784639046591607537,382793,142353,0.893852
308,1784639046591997580,389732,148663,0.889488
309,1784639046592389112,389492,142645,0.893649
310,1784639046592780494,382433,143326,0.893177
311,1784639046593164837,392472,143206,0.893260
312,1784639046593558829,378463,140348,0.895245
