count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,ts_emit_ns,success
165,1522597,0,1522597,1522597,0,0,1785319624763538496,1
166,508830,0,508830,508830,0,0,1785319624764552349,1
167,710343,0,710343,710343,0,0,1785319624765564342,0
168,1365392,0,1365392,1365392,0,0,1785319624766581261,0
169,346740,0,346740,346740,0,0,1785319624767599983,1
170,1685668,0,1685668,1685668,0,0,1785319624768611599,0
171,669134,0,669134,669134,0,0,1785319624769628248,1
172,205382,0,205382,205382,0,0,1785319624770635396,1
173,187057,0,187057,187057,0,0,1785319624771650077,1
174,257254,0,257254,257254,0,0,1785319624772665014,0
175,234924,0,234924,234924,0,0,1785319624773696875,0
176,156041,0,156041,156041,0,0,1785319624774718941,1
177,2525730,0,2525730,2525730,0,0,1785319624775736829,1
178,1514981,0,1514981,1514981,0,0,1785319624776747679,0
179,532497,0,532497,532497,0,0,1785319624777753880,0
180,1027099,0,1027099,1027099,0,0,1785319624778763160,0
181,150292,0,150292,150292,0,0,1785319624779772618,1
182,599663,0,599663,599663,0,0,1785319624780779438,1
183,376067,0,376067,376067,0,0,1785319624781789006,0
184,365873,0,365873,365873,0,0,1785319624782797444,0
185,143175,0,143175,143175,0,0,1785319624783816147,1
186,1426446,0,1426446,1426446,0,0,1785319624784826830,0
187,415306,0,415306,415306,0,0,1785319624785838039,1
188,191182,0,191182,191182,0,0,1785319624786844241,1
189,81037,0,81037,81037,0,0,1785319624787855246,1
190,238329,0,238329,238329,0,0,1785319624788868611,0
191,335080,0,335080,335080,0,0,1785319624789878410,0
192,168883,0,168883,168883,0,0,1785319624790891482,0
193,167829,0,167829,167829,0,0,1785319624791920879,0
194,542133,0,542133,542133,0,0,1785319624792939797,1
195,260259,0,260259,260259,0,0,1785319624793954056,0
196,1404211,0,1404211,1404211,0,0,1785319624794967492,0
197,386755,0,386755,386755,0,0,1785319624795985028,0
198,1260596,0,1260596,1260596,0,0,1785319624796993023,0
199,253476,0,253476,253476,0,0,1785319624798000191,1
200,278169,0,278169,278169,0,0,1785319624799095186,0
201,1259363,0,1259363,1259363,0,0,1785319624800130257,0
202,243929,0,243929,243929,0,0,1785319624801145800,0
203,289523,0,289523,289523,0,0,1785319624802213082,1
204,354525,0,354525,354525,0,0,1785319624803243034,1
205,1508078,0,1508078,1508078,0,0,1785319624804262093,1
206,490756,0,490756,490756,0,0,1785319624805279609,0
207,2244227,0,2244227,2244227,0,0,1785319624806289705,0
208,1230134,0,1230134,1230134,0,0,1785319624807303903,0
209,223569,0,223569,223569,0,0,1785319624808310509,0
210,884301,0,884301,884301,0,0,1785319624809323142,0
211,96284,0,96284,96284,0,0,1785319624810340639,0
212,849048,0,849048,849048,0,0,1785319624811357750,1
213,1975938,0,1975938,1975938,0,0,1785319624812371514,1
214,959302,0,959302,959302,0,0,1785319624813388233,1
215,114628,0,114628,114628,0,0,1785319624814396078,0
216,332418,0,332418,332418,0,0,1785319624815424514,0
217,1453163,0,1453163,1453163,0,0,1785319624816437887,1
218,430279,0,430279,430279,0,0,1785319624817460848,0
219,1985315,0,1985315,1985315,0,0,1785319624818468888,1
220,975815,0,975815,975815,0,0,1785319624819478469,0
221,194575,0,194575,194575,0,0,1785319624820487040,0
222,414362,0,414362,414362,0,0,1785319624821500556,0
223,223478,0,223478,223478,0,0,1785319624822512382,0
224,1151518,0,1151518,1151518,0,0,1785319624823532370,0
225,140807,0,140807,140807,0,0,1785319624824543162,1
226,832274,0,832274,832274,0,0,1785319624825552784,0
227,1267840,0,1267840,1267840,0,0,1785319624826562677,1
228,239101,0,239101,239101,0,0,1785319624827591526,0
229,285645,0,285645,285645,0,0,1785319624828600712,1
230,871887,0,871887,871887,0,0,1785319624829613597,0
231,558633,0,558633,558633,0,0,1785319624830625067,0
232,327598,0,327598,327598,0,0,1785319624831832045,0
233,1225454,0,1225454,1225454,0,0,1785319624832847071,0
234,211338,0,211338,211338,0,0,1785319624833861292,0
235,406294,0,406294,406294,0,0,1785319624834872130,0
236,151192,0,151192,151192,0,0,1785319624835887350,1
237,1250823,0,1250823,1250823,0,0,1785319624836903389,0
238,238830,0,238830,238830,0,0,1785319624837915489,1
239,162325,0,162325,162325,0,0,1785319624838925905,0
240,206354,0,206354,206354,0,0,1785319624839943601,0
241,151496,0,151496,151496,0,0,1785319624840962773,0
242,221052,0,221052,221052,0,0,1785319624841976964,0
243,2743820,0,2743820,2743820,0,0,1785319624843007533,0
244,1729886,0,1729886,1729886,0,0,1785319624844021671,1
245,721106,0,721106,721106,0,0,1785319624845030481,0
246,184151,0,184151,184151,0,0,1785319624846040764,0
247,1096524,0,1096524,1096524,0,0,1785319624847067681,1
248,262444,0,262444,262444,0,0,1785319624848080979,1
249,694318,0,694318,694318,0,0,1785319624849102854,0
250,1223247,0,1223247,1223247,0,0,1785319624850116275,1
251,208520,0,208520,208520,0,0,1785319624851131079,0
252,259948,0,259948,259948,0,0,1785319624852158212,0
253,204213,0,204213,204213,0,0,1785319624853172814,0
254,203844,0,203844,203844,0,0,1785319624854189098,1
255,762973,0,762973,762973,0,0,1785319624855215891,0
256,443277,0,443277,443277,0,0,1785319624856234580,1
257,808963,0,808963,808963,0,0,1785319624857248412,1
258,854938,0,854938,854938,0,0,1785319624858262082,1
259,275693,0,275693,275693,0,0,1785319624859275411,0
260,1362014,0,1362014,1362014,0,0,1785319624860287791,0
261,350474,0,350474,350474,0,0,1785319624861299472,0
262,289027,0,289027,289027,0,0,1785319624862333638,0
263,1448831,0,1448831,1448831,0,0,1785319624863359251,1
264,463361,0,463361,463361,0,0,1785319624864378231,0
265,1027336,0,1027336,1027336,0,0,1785319624865386853,0
266,106208,0,106208,106208,0,0,1785319624866403384,1
267,2000372,0,2000372,2000372,0,0,1785319624867419478,0
268,988938,0,988938,988938,0,0,1785319624868430990,1
269,106066,0,106066,106066,0,0,1785319624869437725,0
270,499205,0,499205,499205,0,0,1785319624870449600,1
271,822549,0,822549,822549,0,0,1785319624871458433,1
272,490961,0,490961,490961,0,0,1785319624872470689,0
273,290215,0,290215,290215,0,0,1785319624873484186,0
274,79272,0,79272,79272,0,0,1785319624874502811,0
275,141026,0,141026,141026,0,0,1785319624875536901,1
276,474840,0,474840,474840,0,0,1785319624876560450,0
277,331309,0,331309,331309,0,0,1785319624877577523,0
278,1139216,0,1139216,1139216,0,0,1785319624878617276,0
279,125998,0,125998,125998,0,0,1785319624879630618,0
280,240082,0,240082,240082,0,0,1785319624880639577,0
281,323296,0,323296,323296,0,0,1785319624881646858,0
282,162005,0,162005,162005,0,0,1785319624882658933,0
283,1184793,0,1184793,1184793,0,0,1785319624883685237,0
284,171474,0,171474,171474,0,0,1785319624884698638,0
285,638153,0,638153,638153,0,0,1785319624885707956,1
286,941535,0,941535,941535,0,0,1785319624886718784,1
287,239835,0,239835,239835,0,0,1785319624887735845,1
288,1411169,0,1411169,1411169,0,0,1785319624888843395,0
289,397085,0,397085,397085,0,0,1785319624889857525,0
290,437052,0,437052,437052,0,0,1785319624890869770,0
291,173612,0,173612,173612,0,0,1785319624891908411,0
292,274244,0,274244,274244,0,0,1785319624892940676,1
293,316641,0,316641,316641,0,0,1785319624893981348,0
294,2159354,0,2159354,2159354,0,0,1785319624894989902,1
295,1148584,0,1148584,1148584,0,0,1785319624896000724,0
296,161372,0,161372,161372,0,0,1785319624897010295,1
297,221627,0,221627,221627,0,0,1785319624898019683,1
298,2488911,0,2488911,2488911,0,0,1785319624899028130,1
299,1473910,0,1473910,1473910,0,0,1785319624900043240,1
300,478277,0,478277,478277,0,0,1785319624901050989,0
301,244390,0,244390,244390,0,0,1785319624902061288,0
302,173315,0,173315,173315,0,0,1785319624903113703,1
