count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,ts_emit_ns,success
165,368466,0,368466,368466,0,0,1785319651504522515,0
166,435639,0,435639,435639,0,0,1785319651505537621,0
167,222533,0,222533,222533,0,0,1785319651506548110,0
168,333637,0,333637,333637,0,0,1785319651507753498,0
169,173222,0,173222,173222,0,0,1785319651508797268,1
170,174864,0,174864,174864,0,0,1785319651509835397,1
171,1026546,0,1026546,1026546,0,0,1785319651510858165,0
172,114925,0,114925,114925,0,0,1785319651511893042,1
173,813086,0,813086,813086,0,0,1785319651512913797,1
174,128371,0,128371,128371,0,0,1785319651513931838,0
175,190212,0,190212,190212,0,0,1785319651514944742,1
176,275656,0,275656,275656,0,0,1785319651515977966,1
177,171070,0,171070,171070,0,0,1785319651517001565,1
178,204035,0,204035,204035,0,0,1785319651518012890,0
179,863924,0,863924,863924,0,0,1785319651519029427,1
180,993091,0,993091,993091,0,0,1785319651520042511,0
181,179609,0,179609,179609,0,0,1785319651521052293,1
182,163722,0,163722,163722,0,0,1785319651522112180,0
183,1156563,0,1156563,1156563,0,0,1785319651523148078,1
184,147351,0,147351,147351,0,0,1785319651524157376,1
185,129086,0,129086,129086,0,0,1785319651525169285,0
186,161696,0,161696,161696,0,0,1785319651526182515,0
187,179091,0,179091,179091,0,0,1785319651527205161,0
188,307039,0,307039,307039,0,0,1785319651528680610,1
189,148243,0,148243,148243,0,0,1785319651529720965,1
190,1284231,0,1284231,1284231,0,0,1785319651530751334,1
191,249499,0,249499,249499,0,0,1785319651531786166,1
192,129696,0,129696,129696,0,0,1785319651532812222,0
193,573779,0,573779,573779,0,0,1785319651533825132,0
194,133859,0,133859,133859,0,0,1785319651534840142,1
195,293198,0,293198,293198,0,0,1785319651535854724,1
196,1332083,0,1332083,1332083,0,0,1785319651536894849,1
197,314088,0,314088,314088,0,0,1785319651537912878,1
198,1891393,0,1891393,1891393,0,0,1785319651538921211,1
199,874680,0,874680,874680,0,0,1785319651539938019,0
200,283880,0,283880,283880,0,0,1785319651540946737,0
201,257495,0,257495,257495,0,0,1785319651541969117,0
202,357487,0,357487,357487,0,0,1785319651542998372,1
203,646271,0,646271,646271,0,0,1785319651544030458,1
204,259281,0,259281,259281,0,0,1785319651545052646,0
205,155760,0,155760,155760,0,0,1785319651546099837,0
206,1776584,0,1776584,1776584,0,0,1785319651547113265,0
207,766298,0,766298,766298,0,0,1785319651548123626,0
208,314616,0,314616,314616,0,0,1785319651549194497,1
209,172895,0,172895,172895,0,0,1785319651550389157,1
210,166425,0,166425,166425,0,0,1785319651551425274,0
211,171366,0,171366,171366,0,0,1785319651552444146,1
212,659545,0,659545,659545,0,0,1785319651543156251,1
213,222667,0,222667,222667,0,0,1785319651544693639,0
214,265874,0,265874,265874,0,0,1785319651545735186,1
215,270862,0,270862,270862,0,0,1785319651546766149,1
216,205537,0,205537,205537,0,0,1785319651547809306,0
217,459624,0,459624,459624,0,0,1785319651548840445,0
218,135756,0,135756,135756,0,0,1785319651549861911,1
219,163597,0,163597,163597,0,0,1785319651550880783,1
220,279888,0,279888,279888,0,0,1785319651551905039,1
221,197080,0,197080,197080,0,0,1785319651552926979,1
222,108227,0,108227,108227,0,0,1785319651553952434,0
223,162147,0,162147,162147,0,0,1785319651554971684,0
224,512317,0,512317,512317,0,0,1785319651555990110,0
225,397314,0,397314,397314,0,0,1785319651557019900,0
226,590334,0,590334,590334,0,0,1785319651558033312,1
227,167243,0,167243,167243,0,0,1785319651559066867,0
228,359299,0,359299,359299,0,0,1785319651560163907,0
229,180256,0,180256,180256,0,0,1785319651561202742,0
230,193097,0,193097,193097,0,0,1785319651562234792,0
231,180598,0,180598,180598,0,0,1785319651563261663,0
232,103215,0,103215,103215,0,0,1785319651564285242,0
233,322485,0,322485,322485,0,0,1785319651565294872,1
234,260146,0,260146,260146,0,0,1785319651566304132,1
235,277374,0,277374,277374,0,0,1785319651567317591,0
236,187018,0,187018,187018,0,0,1785319651568365882,1
237,124181,0,124181,124181,0,0,1785319651569406253,1
238,1370034,0,1370034,1370034,0,0,1785319651570427769,0
239,360868,0,360868,360868,0,0,1785319651571436971,1
240,654799,0,654799,654799,0,0,1785319651572444839,0
241,217106,0,217106,217106,0,0,1785319651573462504,1
242,875980,0,875980,875980,0,0,1785319651574485981,0
243,176572,0,176572,176572,0,0,1785319651575504223,1
244,268587,0,268587,268587,0,0,1785319651576516732,1
245,294522,0,294522,294522,0,0,1785319651577536095,0
246,1252968,0,1252968,1252968,0,0,1785319651578544942,1
247,241861,0,241861,241861,0,0,1785319651579556180,0
248,144132,0,144132,144132,0,0,1785319651580566928,0
249,1145118,0,1145118,1145118,0,0,1785319651581599311,1
250,132123,0,132123,132123,0,0,1785319651582612353,0
251,174497,0,174497,174497,0,0,1785319651583639109,0
252,624445,0,624445,624445,0,0,1785319651584653183,0
253,572387,0,572387,572387,0,0,1785319651585670253,1
254,271139,0,271139,271139,0,0,1785319651586682682,1
255,249779,0,249779,249779,0,0,1785319651587695505,1
256,1824997,0,1824997,1824997,0,0,1785319651588722803,0
257,806900,0,806900,806900,0,0,1785319651589740985,0
258,1140205,0,1140205,1140205,0,0,1785319651590747314,0
259,171742,0,171742,171742,0,0,1785319651591757433,0
260,314077,0,314077,314077,0,0,1785319651592769685,1
261,142892,0,142892,142892,0,0,1785319651593795716,1
262,194594,0,194594,194594,0,0,1785319651594913054,1
263,518257,0,518257,518257,0,0,1785319651595930812,0
264,1881638,0,1881638,1881638,0,0,1785319651596946493,1
265,870545,0,870545,870545,0,0,1785319651597957739,1
266,365684,0,365684,365684,0,0,1785319651598969383,1
267,386527,0,386527,386527,0,0,1785319651600003408,1
268,378070,0,378070,378070,0,0,1785319651601026693,0
269,632488,0,632488,632488,0,0,1785319651602128832,1
270,628131,0,628131,628131,0,0,1785319651603158032,1
271,243707,0,243707,243707,0,0,1785319651604168322,1
272,286978,0,286978,286978,0,0,1785319651605190167,1
273,833554,0,833554,833554,0,0,1785319651606207136,1
274,141221,0,141221,141221,0,0,1785319651607222125,0
275,129941,0,129941,129941,0,0,1785319651608236997,0
277,129187,0,129187,129187,0,0,1785319651610280325,1
276,1147115,0,1147115,1147115,0,0,1785319651609262522,0
278,156691,0,156691,156691,0,0,1785319651611289699,0
279,733536,0,733536,733536,0,0,1785319651612305757,0
280,229422,0,229422,229422,0,0,1785319651613326594,1
281,566342,0,566342,566342,0,0,1785319651614365144,0
282,291926,0,291926,291926,0,0,1785319651615420653,0
283,175395,0,175395,175395,0,0,1785319651616456563,1
284,691730,0,691730,691730,0,0,1785319651617486702,0
285,331118,0,331118,331118,0,0,1785319651618514260,1
286,225395,0,225395,225395,0,0,1785319651619531472,0
287,1030175,0,1030175,1030175,0,0,1785319651620542544,1
288,188078,0,188078,188078,0,0,1785319651621553695,0
289,336646,0,336646,336646,0,0,1785319651622569419,1
290,122191,0,122191,122191,0,0,1785319651623618421,1
291,598621,0,598621,598621,0,0,1785319651624634999,1
292,677040,0,677040,677040,0,0,1785319651625647277,0
293,126389,0,126389,126389,0,0,1785319651626671116,1
294,805333,0,805333,805333,0,0,1785319651627697053,1
295,456005,0,456005,456005,0,0,1785319651628714153,1
296,653118,0,653118,653118,0,0,1785319651629732596,1
297,240293,0,240293,240293,0,0,1785319651630765624,0
298,171281,0,171281,171281,0,0,1785319651631792540,1
299,244428,0,244428,244428,0,0,1785319651632822394,0
300,608675,0,608675,608675,0,0,1785319651633954962,0
301,470327,0,470327,470327,0,0,1785319651635255888,1
302,348250,0,348250,348250,0,0,1785319651637035645,0
303,461994,0,461994,461994,0,0,1785319651638081205,1
304,647644,0,647644,647644,0,0,1785319651639109684,0
305,1033413,0,1033413,1033413,0,0,1785319651640119539,1
306,199383,0,199383,199383,0,0,1785319651641140081,0
307,165309,0,165309,165309,0,0,1785319651642156663,0
308,176675,0,176675,176675,0,0,1785319651643175279,1
309,214233,0,214233,214233,0,0,1785319651644206468,0
310,277435,0,277435,277435,0,0,1785319651645223184,0
311,651667,0,651667,651667,0,0,1785319651646233676,1
312,436939,0,436939,436939,0,0,1785319651647245693,0
313,313818,0,313818,313818,0,0,1785319651648262512,0
314,105067,0,105067,105067,0,0,1785319651649277297,1
315,153385,0,153385,153385,0,0,1785319651650290609,0
316,585034,0,585034,585034,0,0,1785319651651311702,0
317,374674,0,374674,374674,0,0,1785319651652333866,1
318,235950,0,235950,235950,0,0,1785319651653353522,1
319,214158,0,214158,214158,0,0,1785319651654383431,1
320,142275,0,142275,142275,0,0,1785319651655419291,0
321,183684,0,183684,183684,0,0,1785319651656452217,1
322,830734,0,830734,830734,0,0,1785319651657481042,0
323,199522,0,199522,199522,0,0,1785319651658511542,0
324,221883,0,221883,221883,0,0,1785319651659534410,0
325,186259,0,186259,186259,0,0,1785319651660559775,0
326,683098,0,683098,683098,0,0,1785319651661570645,1
327,246021,0,246021,246021,0,0,1785319651662578402,0
328,171982,0,171982,171982,0,0,1785319651663618895,1
329,337090,0,337090,337090,0,0,1785319651664645895,0
330,167241,0,167241,167241,0,0,1785319651665667851,0
331,230433,0,230433,230433,0,0,1785319651666685455,0
332,677654,0,677654,677654,0,0,1785319651667719469,1
333,250880,0,250880,250880,0,0,1785319651668797297,1
334,154532,0,154532,154532,0,0,1785319651669828046,0
335,145668,0,145668,145668,0,0,1785319651670860052,1
336,189455,0,189455,189455,0,0,1785319651671889870,0
337,1328783,0,1328783,1328783,0,0,1785319651672916051,0
338,319329,0,319329,319329,0,0,1785319651673925601,1
339,338529,0,338529,338529,0,0,1785319651674958440,1
340,173155,0,173155,173155,0,0,1785319651675991747,1
341,251276,0,251276,251276,0,0,1785319651677064118,0
342,221293,0,221293,221293,0,0,1785319651678101643,0
343,315428,0,315428,315428,0,0,1785319651679143155,0
344,1334063,0,1334063,1334063,0,0,1785319651680173619,1
345,309658,0,309658,309658,0,0,1785319651681198094,1
346,285268,0,285268,285268,0,0,1785319651682207422,1
347,117679,0,117679,117679,0,0,1785319651683230776,0
348,146582,0,146582,146582,0,0,1785319651684248795,1
349,235545,0,235545,235545,0,0,1785319651685278235,1
350,1438448,0,1438448,1438448,0,0,1785319651686316727,0
351,424586,0,424586,424586,0,0,1785319651687330678,0
352,383442,0,383442,383442,0,0,1785319651688339579,0
353,904108,0,904108,904108,0,0,1785319651689355812,0
354,103866,0,103866,103866,0,0,1785319651690373358,0
355,310677,0,310677,310677,0,0,1785319651691389283,1
356,532077,0,532077,532077,0,0,1785319651692449514,0
357,397872,0,397872,397872,0,0,1785319651693473975,1
358,161589,0,161589,161589,0,0,1785319651694489608,0
359,358815,0,358815,358815,0,0,1785319651695517602,0
360,199692,0,199692,199692,0,0,1785319651696549616,0
361,404023,0,404023,404023,0,0,1785319651697568521,1
362,266023,0,266023,266023,0,0,1785319651698743641,1
363,240038,0,240038,240038,0,0,1785319651699866362,0
364,927876,0,927876,927876,0,0,1785319651700894979,1
365,160539,0,160539,160539,0,0,1785319651701903598,1
366,314353,0,314353,314353,0,0,1785319651702917784,1
367,329437,0,329437,329437,0,0,1785319651703927531,1
368,158315,0,158315,158315,0,0,1785319651704944394,0
369,362365,0,362365,362365,0,0,1785319651705970559,1
370,170491,0,170491,170491,0,0,1785319651707003278,0
