count_index,s2r_ns,r2a_ns,total_ns,werner
50,257065,1417,258482,0.818654
51,276567,1360,277927,0.806706
52,220207,1350,221557,0.841882
53,222586,1495,224081,0.840357
54,206214,1554,207768,0.850927
55,159435,1439,160874,0.882100
56,192780,1924,194704,0.859731
57,287765,1733,289498,0.799950
58,197278,1316,198594,0.856770
59,254935,1666,256601,0.819973
60,261334,1546,262880,0.816019
61,323511,1718,325229,0.778883
62,225681,1241,226922,0.838378
63,235484,1419,236903,0.832151
64,141515,873,142388,0.894434
65,148677,825,149502,0.889478
66,198228,1273,199501,0.856146
67,224822,1744,226566,0.838927
68,158003,1342,159345,0.883078
69,204807,1486,206293,0.851844
70,160270,1036,161306,0.881531
71,177728,1394,179122,0.869736
72,246850,1803,248653,0.825006
73,163600,1330,164930,0.879265
74,196472,1364,197836,0.857299
75,194753,1517,196270,0.858430
76,305932,1425,307357,0.789149
77,247650,1412,249062,0.824506
78,278689,1404,280093,0.805420
79,189375,1797,191172,0.861981
80,254689,1736,256425,0.820126
81,315263,1397,316660,0.783678
82,258688,1400,260088,0.817651
83,270292,1311,271603,0.810525
84,154258,1884,156142,0.885641
85,237800,1654,239454,0.830688
86,353449,1411,354860,0.761809
87,241867,1306,243173,0.828128
88,232174,1766,233940,0.834247
89,240361,1323,241684,0.829075
90,199250,1405,200655,0.855476
91,194686,2086,196772,0.858474
92,170115,1203,171318,0.874854
93,156004,1134,157138,0.884445
94,148147,1701,149848,0.889843
95,167030,1886,168916,0.876939
96,240425,1436,241861,0.829035
97,128149,995,129144,0.903778
98,126251,1547,127798,0.905115
99,121881,1043,122924,0.908203
100,116968,1494,118462,0.911691
101,223866,1548,225414,0.839538
102,188911,1741,190652,0.862288
103,152928,1488,154416,0.886553
104,139544,1339,140883,0.895804
105,153024,1403,154427,0.886487
106,163252,1487,164739,0.879502
107,139562,1618,141180,0.895791
108,181434,1393,182827,0.867259
109,149801,1228,151029,0.888703
110,150645,1408,152053,0.888122
111,141311,1322,142633,0.894575
112,133442,1261,134703,0.900063
113,153610,1749,155359,0.886085
114,177873,1565,179438,0.869639
115,171028,1462,172490,0.874238
116,184248,1205,185453,0.865384
117,143381,1076,144457,0.893139
118,121264,1246,122510,0.908640
119,155818,1069,156887,0.884572
120,169071,1402,170473,0.875559
121,185974,1741,187715,0.864236
122,165562,1593,167155,0.877934
123,151381,1526,152907,0.887616
124,140870,1255,142125,0.894882
125,183792,1328,185120,0.865687
126,139450,1255,140705,0.895869
127,147289,1055,148344,0.890436
128,153108,1528,154636,0.886430
129,138315,1308,139623,0.896659
130,146428,1402,147830,0.891030
131,142841,1147,143988,0.893514
132,122097,1153,123250,0.908050
133,161384,1107,162491,0.880772
134,103248,1524,104772,0.921523
135,173112,1033,174145,0.872835
136,161140,1137,162277,0.880938
137,139496,1885,141381,0.895837
138,131720,1233,132953,0.901269
139,145357,1392,146749,0.891771
140,146015,1694,147709,0.891316
141,153283,1256,154539,0.886310
142,214910,1701,216611,0.845291
143,153434,1346,154780,0.886206
144,138558,1093,139651,0.896490
145,142510,1248,143758,0.893743
146,141742,938,142680,0.894276
147,138349,1458,139807,0.896636
148,207905,992,208897,0.849827
149,101573,1031,102604,0.922732
150,163058,820,163878,0.879634
151,184790,1071,185861,0.865023
152,191711,1823,193534,0.860436
153,164334,1790,166124,0.878767
154,272006,1799,273805,0.809480
155,447267,1760,449027,0.711499
156,218711,1816,220527,0.842843
157,174875,1454,176329,0.871650
158,235084,1875,236959,0.832404
159,212699,1638,214337,0.846720
160,209883,1427,211310,0.848543
161,240979,1914,242893,0.828687
162,177765,1657,179422,0.869711
163,170289,990,171279,0.874737
164,154102,2065,156167,0.885748
165,199782,1167,200949,0.855127
166,168897,1578,170475,0.875677
167,219125,1658,220783,0.842577
168,179066,1922,180988,0.868841
169,200693,1440,202133,0.854531
170,198366,1798,200164,0.856056
171,153262,1269,154531,0.886324
172,184836,1688,186524,0.864992
173,280930,1844,282774,0.804065
174,232242,1697,233939,0.834203
175,172650,1243,173893,0.873146
176,232343,1611,233954,0.834139
177,211560,1866,213426,0.847457
178,212834,1484,214318,0.846632
179,168193,3973,172166,0.876153
180,182715,1372,184087,0.866404
181,257863,1839,259702,0.818161
182,210015,1551,211566,0.848458
183,245970,1900,247870,0.825557
184,182504,1495,183999,0.866545
185,186644,1366,188010,0.863791
186,215640,1485,217125,0.844820
187,257616,1360,258976,0.818314
188,135076,1076,136152,0.898920
189,134307,1617,135924,0.899457
190,181860,3508,185368,0.866974
191,235696,1561,237257,0.832017
192,193889,1887,195776,0.858999
193,144867,1884,146751,0.892110
194,238216,1820,240036,0.830426
195,204520,1761,206281,0.852031
196,158922,1751,160673,0.882450
197,211044,1113,212157,0.847791
198,216805,1929,218734,0.844070
199,181315,1862,183177,0.867338
200,193153,1608,194761,0.859485
201,193330,1448,194778,0.859368
202,211349,1457,212806,0.847593
203,166111,1317,167428,0.877562
204,172582,1506,174088,0.873191
205,272707,1280,273987,0.809053
206,211707,1480,213187,0.847361
207,162191,1545,163736,0.880223
208,149070,3882,152952,0.889207
209,145952,1664,147616,0.891359
210,156629,1629,158258,0.884017
211,359581,1812,361393,0.758375
212,237334,1537,238871,0.830982
213,293138,1770,294908,0.796735
214,174824,1411,176235,0.871684
215,241858,1565,243423,0.828134
216,183888,1494,185382,0.865623
217,223931,1893,225824,0.839496
218,238450,1724,240174,0.830278
219,227095,1856,228951,0.837476
220,315828,1792,317620,0.783348
221,220905,1395,222300,0.841434
222,211423,1772,213195,0.847545
223,396668,1838,398506,0.738046
224,193760,1718,195478,0.859084
225,241352,2122,243474,0.828452
226,326371,1424,327795,0.777230
227,224737,1724,226461,0.838981
228,297030,1735,298765,0.794417
229,231346,1857,233203,0.834772
230,204758,1916,206674,0.851876
231,199252,1414,200666,0.855475
232,229463,1520,230983,0.835968
233,328752,4092,332844,0.775857
234,180480,1751,182231,0.867896
235,255255,1585,256840,0.819775
236,209846,1736,211582,0.848567
237,229828,1833,231661,0.835736
238,211729,1793,213522,0.847347
