count_index,s2r_ns,r2a_ns,total_ns,werner
50,175502,1403,176905,0.871229
51,259373,1761,261134,0.817228
52,223445,1867,225312,0.839807
53,229146,1562,230708,0.836170
54,250466,1458,251924,0.822750
55,244505,1320,245825,0.826474
56,223064,1409,224473,0.840051
57,163082,1334,164416,0.879617
58,170810,1294,172104,0.874385
59,263895,1419,265314,0.814443
60,216102,1331,217433,0.844522
61,343272,1613,344885,0.767556
62,315990,1324,317314,0.783253
63,340863,1319,342182,0.768925
64,273336,1587,274923,0.808670
65,308207,1356,309563,0.787811
66,239678,1833,241511,0.829505
67,468296,1500,469796,0.700855
68,184389,1435,185824,0.865290
69,339355,1739,341094,0.769784
70,349023,1315,350338,0.764302
71,291083,1402,292485,0.797963
72,266275,1313,267588,0.812983
73,314899,1346,316245,0.783890
74,442373,1329,443702,0.714008
75,326658,1395,328053,0.777064
76,254520,1332,255852,0.820231
77,297459,1656,299115,0.794162
78,369909,2282,372191,0.752638
79,207713,2388,210101,0.849952
80,329127,1388,330515,0.775641
81,321322,1321,322643,0.780152
82,209843,1352,211195,0.848569
83,266553,1359,267912,0.812812
84,239141,1418,240559,0.829843
85,185468,1360,186828,0.864572
86,468425,1278,469703,0.700790
87,315241,1373,316614,0.783690
88,206724,1336,208060,0.850595
89,356640,1767,358407,0.760020
90,344327,1411,345738,0.766958
91,234391,1574,235965,0.832842
92,302205,1320,303525,0.791349
93,313189,1349,314538,0.784889
94,244725,1318,246043,0.826336
95,279029,1420,280449,0.805214
96,214841,1407,216248,0.845336
97,365975,1666,367641,0.754816
98,262957,1317,264274,0.815020
99,224518,1316,225834,0.839121
100,343627,1664,345291,0.767355
101,487359,1369,488728,0.691397
102,286887,1304,288191,0.800477
103,255318,1822,257140,0.819736
104,208636,1825,210461,0.849353
105,323453,1352,324805,0.778917
106,148086,1295,149381,0.889886
107,380858,1758,382616,0.746620
108,235632,1294,236926,0.832057
109,260794,1323,262117,0.816352
110,247073,1358,248431,0.824867
111,301690,1308,302998,0.791654
112,325518,1345,326863,0.777723
113,271529,1323,272852,0.809771
114,285241,1335,286576,0.801466
115,248993,6705,255698,0.823668
116,257796,1709,259505,0.818202
117,242857,1218,244075,0.827507
118,145381,1713,147094,0.891754
119,355096,1366,356462,0.760885
