count_index,s2r_ns,r2a_ns,total_ns,werner
50,164762,1401,166163,0.878476
51,165006,1626,166632,0.878311
52,181094,1718,182812,0.867486
53,257921,1611,259532,0.818125
54,196784,2145,198929,0.857094
55,325515,1948,327463,0.777724
56,208559,1999,210558,0.849403
57,245527,1743,247270,0.825834
58,222467,1837,224304,0.840433
59,314923,1638,316561,0.783876
60,267314,1726,269040,0.812346
61,213918,1840,215758,0.845932
62,208620,1696,210316,0.849363
63,257438,1765,259203,0.818424
64,209909,1787,211696,0.848526
65,180809,1704,182513,0.867676
66,225993,1632,227625,0.838179
67,194294,1464,195758,0.858733
68,297633,6043,303676,0.794059
69,390815,2040,392855,0.741204
70,180110,1698,181808,0.868143
71,208187,1776,209963,0.849644
72,253095,1643,254738,0.821115
73,191115,1705,192820,0.860830
74,166538,1496,168034,0.877273
75,153995,1409,155404,0.885821
76,171508,1377,172885,0.873915
77,306978,1444,308422,0.788533
78,204734,1938,206672,0.851891
79,192814,1363,194177,0.859708
80,399352,1848,401200,0.736604
81,449714,1454,451168,0.710248
82,288417,1719,290136,0.799559
83,437822,2196,440018,0.716353
84,296875,1804,298679,0.794510
85,326680,1942,328622,0.777052
86,398293,1600,399893,0.737172
87,288634,1455,290089,0.799429
88,308470,1452,309922,0.787656
89,306893,1870,308763,0.788583
90,258504,1217,259721,0.817765
91,297820,1334,299154,0.793948
92,281525,1317,282842,0.803706
93,155392,1162,156554,0.884864
94,302599,1036,303635,0.791116
95,290340,1707,292047,0.798407
96,205156,1854,207010,0.851616
97,249107,1479,250586,0.823597
98,190961,1375,192336,0.860932
99,212423,1728,214151,0.846898
100,292001,1829,293830,0.797414
101,285811,1770,287581,0.801124
102,159475,1401,160876,0.882073
103,175625,1111,176736,0.871146
104,157550,1432,158982,0.883387
105,290375,1210,291585,0.798386
106,181869,1069,182938,0.866968
107,185528,1072,186600,0.864532
108,250264,938,251202,0.822876
109,120601,977,121578,0.909110
110,314011,1018,315029,0.784409
111,283128,1528,284656,0.802739
112,343827,1708,345535,0.767241
113,207238,3305,210543,0.850261
114,197018,1479,198497,0.856941
115,177978,1180,179158,0.869569
116,170997,1538,172535,0.874259
117,159551,1452,161003,0.882021
118,140434,1872,142306,0.895185
119,194648,1935,196583,0.858499
120,160996,1697,162693,0.881036
121,135670,928,136598,0.898505
122,212127,1178,213305,0.847090
123,122008,898,122906,0.908113
124,115366,955,116321,0.912832
125,155883,1174,157057,0.884527
126,139412,1083,140495,0.895896
127,138788,1542,140330,0.896330
128,131922,1461,133383,0.901127
129,135180,1322,136502,0.898847
130,127376,2596,129972,0.904322
131,113991,913,114904,0.913813
132,146335,1780,148115,0.891095
133,148257,1758,150015,0.889768
134,173293,1423,174716,0.872713
135,165285,1387,166672,0.878122
136,211556,1351,212907,0.847459
137,191224,1332,192556,0.860758
138,151754,1414,153168,0.887360
139,155001,1776,156777,0.885131
140,121740,1065,122805,0.908303
141,117821,1398,119219,0.911084
142,125724,1413,127137,0.905487
143,112293,877,113170,0.915026
144,130631,1648,132279,0.902033
145,129720,1382,131102,0.902673
146,145177,1215,146392,0.891895
147,172921,1898,174819,0.872963
148,144701,1449,146150,0.892225
149,116794,846,117640,0.911815
150,139190,1043,140233,0.896050
151,127590,1378,128968,0.904171
152,133117,1246,134363,0.900290
153,136623,1233,137856,0.897839
154,140129,1327,141456,0.895397
155,148725,1412,150137,0.889445
156,136851,1522,138373,0.897680
157,187621,1788,189409,0.863143
158,164760,1842,166602,0.878478
159,155497,1500,156997,0.884792
160,137540,1325,138865,0.897200
161,139806,963,140769,0.895622
162,143352,1181,144533,0.893159
163,117710,1107,118817,0.911163
164,154716,1309,156025,0.885327
165,138601,1276,139877,0.896460
166,171505,1416,172921,0.873917
167,139775,1486,141261,0.895643
168,131772,1039,132811,0.901233
169,126686,1324,128010,0.904808
170,144573,1497,146070,0.892313
171,123940,1447,125387,0.906746
172,141719,1532,143251,0.894292
173,173776,1686,175462,0.872388
174,168037,1114,169151,0.876258
175,132948,1388,134336,0.900408
176,174754,1371,176125,0.871731
177,224036,1405,225441,0.839429
178,204925,1832,206757,0.851767
179,169258,1388,170646,0.875433
180,152467,1422,153889,0.886870
181,160987,1017,162004,0.881043
182,205303,1444,206747,0.851520
183,191060,1584,192644,0.860866
184,205349,1459,206808,0.851490
185,323302,1427,324729,0.779004
186,141340,1250,142590,0.894555
187,146011,1006,147017,0.891319
188,148267,1116,149383,0.889761
189,139576,1520,141096,0.895782
190,123891,1213,125104,0.906781
191,125723,940,126663,0.905487
192,144778,1119,145897,0.892171
193,110025,1398,111423,0.916649
194,150946,1548,152494,0.887915
195,201448,1725,203173,0.854037
196,232523,1559,234082,0.834025
197,191942,1562,193504,0.860284
198,183409,1511,184920,0.865942
199,177109,1280,178389,0.870151
200,145507,1391,146898,0.891667
201,136120,2778,138898,0.898190
202,170343,1424,171767,0.874700
203,132013,1551,133564,0.901064
204,151600,1036,152636,0.887466
205,154118,1439,155557,0.885737
206,136797,1274,138071,0.897718
207,124974,1179,126153,0.906016
208,137576,1372,138948,0.897174
