count_index,s2r_ns,r2a_ns,total_ns,werner
894,136205,1183,137388,0.898131
895,123421,1222,124643,0.907113
896,195981,1294,197275,0.857622
897,140454,1274,141728,0.895171
898,217925,1547,219472,0.843349
899,313134,1615,314749,0.784922
900,188438,1168,189606,0.862601
901,589737,973,590710,0.643578
902,264528,1818,266346,0.814055
903,221267,1555,222822,0.841202
904,377442,1566,379008,0.748490
905,267590,1917,269507,0.812177
906,357817,1655,359472,0.759361
907,883798,1123,884921,0.530568
908,1449863,1379,1451242,0.387682
909,391213,2677,393890,0.740989
910,473878,1567,475445,0.698067
911,1222504,2885,1225389,0.435593
912,226910,1616,228526,0.837594
913,263661,1238,264899,0.814587
914,180815,1624,182439,0.867672
915,167549,1377,168926,0.876588
916,279701,1569,281270,0.804808
917,513131,1437,514568,0.678895
918,959499,2563,962062,0.506468
919,734506,1605,736111,0.583794
920,730475,2007,732482,0.585344
921,844066,1742,845808,0.543967
922,222549,1745,224294,0.840381
923,265504,1407,266911,0.813456
924,200248,1477,201725,0.854822
925,169044,1593,170637,0.875577
926,176044,1178,177222,0.870865
927,881384,3125,884509,0.531367
928,359706,1897,361603,0.758305
929,759625,1702,761327,0.574273
930,748369,1768,750137,0.578510
931,632667,1731,634398,0.624939
932,584079,1765,585844,0.646095
933,710830,1495,712325,0.592989
934,544614,1623,546237,0.664053
935,497424,1534,498958,0.686476
936,683104,1778,684882,0.604038
937,643356,1877,645233,0.620421
938,331483,1726,333209,0.774287
939,293273,1630,294903,0.796655
940,247711,1713,249424,0.824468
941,494470,2215,496685,0.687915
942,268092,1373,269465,0.811870
943,1114173,1101,1115274,0.462549
944,1668025,1011,1669036,0.350895
945,183064,1393,184457,0.866172
946,120194,1170,121364,0.909399
947,113402,960,114362,0.914233
948,107226,1003,108229,0.918658
949,106756,1058,107814,0.918996
950,106230,1155,107385,0.919374
951,105618,981,106599,0.919815
952,105093,984,106077,0.920193
953,105843,1146,106989,0.919653
954,102060,1028,103088,0.922380
955,104126,950,105076,0.920889
956,98401,1024,99425,0.925028
957,97558,1030,98588,0.925640
958,96649,1099,97748,0.926300
959,97539,984,98523,0.925654
960,96708,992,97700,0.926257
961,95887,1050,96937,0.926853
962,145020,1574,146594,0.892004
963,279887,2556,282443,0.804695
964,122043,1168,123211,0.908088
965,254228,1864,256092,0.820412
966,182518,1447,183965,0.866536
967,114490,1263,115753,0.913457
968,136349,1151,137500,0.898030
969,134468,1344,135812,0.899345
970,2928916,2804,2931720,0.242764
971,758596,1408,760004,0.574659
972,524884,1363,526247,0.673299
973,1489415,2012,1491427,0.380404
974,129625,1101,130726,0.902740
975,107170,1089,108259,0.918698
976,100288,1037,101325,0.923661
977,107663,1181,108844,0.918344
978,99613,1141,100754,0.924150
979,128581,1213,129794,0.903474
980,116051,1331,117382,0.912344
981,104585,1093,105678,0.920559
982,98306,979,99285,0.925097
983,98167,995,99162,0.925198
984,107590,1048,108638,0.918397
985,109904,1082,110986,0.916736
986,96187,1125,97312,0.926635
987,98270,1024,99294,0.925123
988,96392,987,97379,0.926486
989,97398,974,98372,0.925756
990,224319,1206,225525,0.839248
991,110977,1171,112148,0.915967
992,104204,1126,105330,0.920833
993,100274,1061,101335,0.923672
994,102042,1030,103072,0.922393
995,102140,1066,103206,0.922323
996,117705,1227,118932,0.911167
997,113567,1154,114721,0.914116
998,101379,1015,102394,0.922872
999,98256,959,99215,0.925133
1000,97822,1008,98830,0.925448
1001,98238,1063,99301,0.925147
1002,97230,994,98224,0.925878
1003,99280,945,100225,0.924391
1004,97525,1020,98545,0.925664
1005,95406,1051,96457,0.927203
1006,192722,1232,193954,0.859769
1007,319043,1229,320272,0.781475
1008,141752,1203,142955,0.894269
1009,116284,1125,117409,0.912178
1010,106494,1048,107542,0.919184
1011,99690,986,100676,0.924094
1012,97641,1061,98702,0.925580
1013,107963,1059,109022,0.918129
1014,99015,1018,100033,0.924583
1015,96796,985,97781,0.926193
1016,95821,923,96744,0.926901
1017,96375,1048,97423,0.926499
1018,95972,989,96961,0.926792
1019,96998,1024,98022,0.926046
1020,97584,959,98543,0.925621
1021,96115,1057,97172,0.926688
1022,96589,1053,97642,0.926343
1023,209136,1120,210256,0.849028
1024,121994,1068,123062,0.908123
1025,114085,980,115065,0.913746
1026,114173,951,115124,0.913683
1027,114709,1096,115805,0.913300
1028,113404,1034,114438,0.914232
1029,113237,987,114224,0.914351
1030,336310,2351,338661,0.771521
1031,157019,1202,158221,0.883750
1032,141230,1095,142325,0.894632
1033,126691,1041,127732,0.904805
1034,123556,1036,124592,0.907018
1035,123577,1005,124582,0.907003
1036,119028,967,119995,0.910226
1037,121669,1041,122710,0.908353
1038,120146,975,121121,0.909433
1039,119535,1056,120591,0.909866
1040,119528,1034,120562,0.909871
1041,121985,947,122932,0.908129
1042,120584,1007,121591,0.909122
1043,125183,1074,126257,0.905868
1044,122634,941,123575,0.907670
1045,119766,1057,120823,0.909702
1046,119377,1013,120390,0.909979
1047,120828,995,121823,0.908949
1048,116647,902,117549,0.911919
1049,117905,1011,118916,0.911024
1050,221450,2812,224262,0.841085
1051,209468,2052,211520,0.848812
1052,239073,1772,240845,0.829886
1053,180108,1516,181624,0.868144
1054,164169,1506,165675,0.878879
1055,146952,1390,148342,0.890668
1056,252635,1702,254337,0.821401
1057,268009,1603,269612,0.811921
1058,298927,1905,300832,0.793291
1059,313642,1700,315342,0.784624
1060,256966,1878,258844,0.818716
1061,204479,1363,205842,0.852057
1062,133370,1177,134547,0.900113
1063,123188,1180,124368,0.907278
1064,224711,1520,226231,0.838998
1065,191687,1812,193499,0.860452
1066,171468,1304,172772,0.873942
1067,138005,1073,139078,0.896875
1068,125112,1043,126155,0.905918
1069,119735,944,120679,0.909724
1070,116577,849,117426,0.911969
1071,117206,966,118172,0.911522
1072,245605,1500,247105,0.825785
1073,158688,1428,160116,0.882610
1074,131430,1378,132808,0.901473
1075,119805,1027,120832,0.909675
1076,240012,1778,241790,0.829295
