count_index,s2r_ns,r2a_ns,total_ns,werner
50,243081,1778,244859,0.827366
51,261103,1937,263040,0.816161
52,305727,1416,307143,0.789270
53,329521,1585,331106,0.775415
54,283889,1394,285283,0.802280
55,212825,1798,214623,0.846638
56,395229,1727,396956,0.738821
57,414077,1925,416002,0.728760
58,223777,1681,225458,0.839595
59,268321,1534,269855,0.811730
60,211704,2060,213764,0.847363
61,186199,1585,187784,0.864087
62,199818,1869,201687,0.855104
63,258450,1762,260212,0.817798
64,179662,1649,181311,0.868442
65,275191,1578,276769,0.807542
66,251346,1456,252802,0.822203
67,216598,1373,217971,0.844203
68,193985,1565,195550,0.858936
69,252604,2125,254729,0.821420
70,254963,2349,257312,0.819956
71,251919,1348,253267,0.821846
72,213429,1398,214827,0.846248
73,206235,1414,207649,0.850913
74,189079,1408,190487,0.862177
75,206610,1610,208220,0.850669
76,259608,1396,261004,0.817083
77,184431,1640,186071,0.865262
78,211867,1897,213764,0.847258
79,245686,1816,247502,0.825734
80,272287,1779,274066,0.809309
81,179453,1660,181113,0.868582
82,235684,1774,237458,0.832024
83,262381,1707,264088,0.815374
84,295353,2281,297634,0.795415
85,311200,1823,313023,0.786054
86,317610,1691,319301,0.782309
87,204022,1941,205963,0.852356
88,220520,2073,222593,0.841681
89,200707,1652,202359,0.854522
90,281923,1944,283867,0.803465
91,224718,1643,226361,0.838993
92,180815,2154,182969,0.867672
93,183612,1807,185419,0.865807
94,232855,1691,234546,0.833815
95,181516,1953,183469,0.867204
96,229374,1672,231046,0.836025
97,389894,2070,391964,0.741703
98,301732,2210,303942,0.791629
99,394892,1750,396642,0.739002
100,278168,1783,279951,0.805736
101,238792,1859,240651,0.830063
102,242114,1967,244081,0.827973
103,273837,1813,275650,0.808365
104,188846,1894,190740,0.862331
105,224109,2359,226468,0.839382
106,277178,1901,279079,0.806336
107,232330,1804,234134,0.834148
108,230170,1650,231820,0.835519
109,263688,1894,265582,0.814571
110,252648,1839,254487,0.821393
111,627271,2527,629798,0.627238
112,373347,1763,375110,0.750741
113,186239,1957,188196,0.864060
114,219359,2062,221421,0.842427
115,230069,1609,231678,0.835583
116,308278,1889,310167,0.787769
117,233516,1931,235447,0.833396
118,269191,1857,271048,0.811198
119,241723,1749,243472,0.828219
120,278173,1490,279663,0.805733
121,387001,1830,388831,0.743272
122,316828,1761,318589,0.782765
123,304525,2142,306667,0.789979
124,354692,2474,357166,0.761112
125,337763,1973,339736,0.770691
126,204661,1485,206146,0.851939
127,204802,1843,206645,0.851847
128,329122,1759,330881,0.775644
129,223322,1858,225180,0.839886
130,230158,1797,231955,0.835526
131,270583,1840,272423,0.810348
132,298367,1830,300197,0.793623
133,199835,2066,201901,0.855093
134,227106,1759,228865,0.837469
135,251469,1918,253387,0.822126
136,2190998,2586,2193584,0.289444
137,1088155,1656,1089811,0.469470
138,1381403,37510,1418913,0.400981
139,1944762,1794,1946556,0.314417
140,237032,2355,239387,0.831173
141,265501,1867,267368,0.813457
142,209579,1373,210952,0.848740
143,428388,1748,430136,0.721247
144,306088,1885,307973,0.789057
145,345966,1818,347784,0.766029
146,334350,1770,336120,0.772643
147,345734,1858,347592,0.766161
148,327254,1818,329072,0.776720
149,418540,1750,420290,0.726405
150,278445,1932,280377,0.805568
151,363472,1891,365363,0.756207
152,430802,2774,433576,0.719990
153,411167,1736,412903,0.730301
154,346756,2004,348760,0.765582
155,374359,1721,376080,0.750184
156,390529,1752,392281,0.741359
157,518955,1758,520713,0.676114
158,330245,1753,331998,0.774998
159,333154,1803,334957,0.773328
160,236809,1496,238305,0.831314
161,152988,1514,154502,0.886512
162,280028,1439,281467,0.804610
163,161457,1403,162860,0.880722
164,153322,1224,154546,0.886283
165,153162,1253,154415,0.886393
166,186402,1388,187790,0.863952
167,158742,1697,160439,0.882573
168,200338,1426,201764,0.854763
169,253390,1846,255236,0.820932
170,193366,1736,195102,0.859344
171,429004,1721,430725,0.720926
172,349296,1792,351088,0.764147
173,344625,1787,346412,0.766789
174,327995,1846,329841,0.776293
175,206185,1736,207921,0.850946
176,316922,1749,318671,0.782710
177,217333,1888,219221,0.843730
