count_index,s2r_ns,r2a_ns,total_ns,werner
1500,355361,1300,356661,0.760736
1501,341664,1307,342971,0.768470
1502,444544,1311,445855,0.712893
1503,433349,1301,434650,0.718667
1504,455252,1637,456889,0.707430
1505,849863,1678,851541,0.541979
1506,223248,1604,224852,0.839933
1507,275004,1444,276448,0.807655
1508,184519,1213,185732,0.865203
1509,254078,1090,255168,0.820505
1510,241039,1167,242206,0.828649
1511,251822,1047,252869,0.821906
1512,174726,1225,175951,0.871750
1513,256641,1147,257788,0.818917
1514,216825,1233,218058,0.844057
1515,260019,1219,261238,0.816830
1516,234800,1088,235888,0.832583
1517,280690,1328,282018,0.804210
1518,219007,1324,220331,0.842653
1519,270419,1218,271637,0.810448
1520,213307,1320,214627,0.846326
1521,276908,1252,278160,0.806499
1522,211354,1276,212630,0.847590
1523,207240,1272,208512,0.850260
1524,201429,1275,202704,0.854049
1525,208065,1285,209350,0.849723
1526,271908,1307,273215,0.809539
1527,273684,1282,274966,0.808458
1528,213833,1363,215196,0.845987
1529,274538,1279,275817,0.807939
1530,215360,1337,216697,0.845001
1531,275144,1275,276419,0.807570
1532,213209,1306,214515,0.846390
1533,202995,1265,204260,0.853026
1534,210325,1292,211617,0.848257
1535,293987,1635,295622,0.796229
1536,278624,1258,279882,0.805460
1537,221619,4039,225658,0.840976
1538,216509,1306,217815,0.844260
1539,210047,1286,211333,0.848437
1540,203328,1250,204578,0.852808
1541,203725,1284,205009,0.852549
1542,208061,1265,209326,0.849726
1543,212399,1267,213666,0.846914
1544,239145,1655,240800,0.829841
1545,283323,1321,284644,0.802621
1546,288435,1269,289704,0.799548
1547,422970,1281,424251,0.724079
1548,214972,1337,216309,0.845251
1549,207101,1248,208349,0.850350
1550,237173,1287,238460,0.831084
1551,292812,1285,294097,0.796930
1552,209477,1297,210774,0.848807
1553,269620,1304,270924,0.810936
1554,204025,1249,205274,0.852354
1555,205586,1282,206868,0.851336
1556,205818,1278,207096,0.851185
1557,469422,1866,471288,0.700291
1558,169804,1655,171459,0.875064
1559,388824,1619,390443,0.742283
1560,374350,1699,376049,0.750189
1561,207066,1735,208801,0.850373
1562,210985,1835,212820,0.847829
1563,291607,1724,293331,0.797650
1564,187455,1939,189394,0.863253
1565,213036,1754,214790,0.846502
1566,238962,1260,240222,0.829956
1567,316535,1817,318352,0.782936
1568,251859,1476,253335,0.821883
1569,155921,1745,157666,0.884501
1570,314218,1275,315493,0.784288
1571,238718,1385,240103,0.830110
1572,207336,1307,208643,0.850197
1573,209187,3194,212381,0.848995
1574,284394,1249,285643,0.801976
1575,259626,1285,260911,0.817072
1576,182452,1273,183725,0.866580
1577,214240,1296,215536,0.845724
1578,217744,1244,218988,0.843465
1579,282994,1269,284263,0.802819
1580,208806,1355,210161,0.849242
1581,204653,1394,206047,0.851944
1582,202375,1273,203648,0.853431
1583,201980,1277,203257,0.853689
1584,202335,1256,203591,0.853457
1585,279676,1326,281002,0.804823
1586,233463,1321,234784,0.833430
1587,426574,1293,427867,0.722193
1588,222382,1306,223688,0.840488
1589,214672,1352,216024,0.845445
1590,207859,1291,209150,0.849857
1591,205035,1324,206359,0.851695
1592,426527,1240,427767,0.722218
1593,318613,1335,319948,0.781726
1594,315818,1297,317115,0.783354
1595,406379,1589,407968,0.732846
1596,357719,1256,358975,0.759416
1597,320862,1317,322179,0.780419
1598,341605,1243,342848,0.768503
1599,316047,1658,317705,0.783220
1600,315814,1673,317487,0.783356
1601,324415,1694,326109,0.778360
1602,131822,1323,133145,0.901198
1603,384115,1235,385350,0.744842
1604,336351,1275,337626,0.771498
1605,330651,1313,331964,0.774765
1606,323145,1292,324437,0.779095
1607,424971,1294,426265,0.723031
1608,316673,1272,317945,0.782855
1609,286148,1312,287460,0.800921
1610,329875,1282,331157,0.775211
1611,321032,1275,322307,0.780320
1612,319772,1312,321084,0.781052
1613,317999,1283,319282,0.782083
1614,390417,1281,391698,0.741420
1615,492191,1317,493508,0.689028
1616,315384,1300,316684,0.783607
1617,463261,1332,464593,0.703383
1618,620062,2728,622790,0.630329
1619,288253,1276,289529,0.799658
1620,212456,1311,213767,0.846877
1621,206847,1317,208164,0.850515
1622,214876,1292,216168,0.845313
