round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,624995,664375,1790177971795088624,1790177971795586620,145850,497996,0.000000,1,0
1,1,250908,279637,1790177971796034458,1790177971796456338,121796,421880,0.574082,1,1
2,1,228288,265878,1790177971796852581,1790177971796901912,125768,49331,0.000000,1,0
3,6,1174651,171569,1790177971798224511,1790177971798147236,135156,0,0.646124,1,1
4,3,493966,160619,1790177971798790118,1790177971799776564,92656,986446,0.339010,1,1
5,3,1949665,458592,1790177974805183854,1790177974804991846,192098,0,0.937969,1,1
6,5,1202418,224996,1790177974806447470,1790177974806849462,118429,401992,0.000000,1,0
7,1,741736,848214,1790178028889774617,1790178028889515174,259653,0,0.000000,1,0
8,3,1194629,287465,1790178028891132253,1790178028891038113,94230,0,0.000000,1,0
9,2,443601,211886,1790178028891635223,1790178028892342646,96262,707423,0.000000,1,0
10,2,385553,189926,1790178028892846531,1790178028893199785,69888,353254,0.641296,1,1
11,6,956203,149587,1790178028894244575,1790178028894187252,121092,0,0.843667,1,1
