count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
288,4656,14315,5683
289,13848,4726,15547
290,2750,2375,3710
291,2404,14696,3094
292,2826,2585,4140
293,2592,2499,3424
294,1970,2240,2578
295,1998,2228,2425
296,2174,4483,2595
297,2498,13983,2918
298,210699,20622,216210
299,4368,2809,5483
300,2999,2810,3830
301,2937,2703,3744
302,3579,2902,4379
303,3328,2740,4044
304,3141,3209,3916
305,2759,2761,3481
306,3482,3395,4229
307,124256,17000,129080
308,2960,1977,3689
309,1853,7489,2333
310,1813,1975,2271
311,2564,2118,3060
312,1765,2024,2214
313,1793,1670,2244
314,1828,2111,2286
315,2414,2090,2867
316,116404,16339,120639
317,14331,42487,16027
318,5311,19336,6634
319,25499,3735,27376
320,4876,3504,5899
321,3367,3805,4325
322,4401,6053,5315
323,19099,13357,21748
324,2678,2607,3795
325,2049,2380,2613
326,1896,1868,2472
327,2338,2105,2804
328,2129,2372,2588
329,1983,12947,2505
330,2370,2737,2818
331,2333,14088,2780
332,123293,15965,127690
333,2804,2522,3845
334,2212,2385,2738
335,1983,2206,2428
336,2343,14452,2790
337,2995,2862,4125
338,2363,15022,3008
339,3278,3066,4571
340,2511,2627,3360
341,191370,19181,196739
342,3082,2524,3932
343,2685,2218,3208
344,4596,3163,5050
345,4017,3153,4855
346,3211,3363,3868
347,23229,4538,25241
348,3747,8106,4756
349,3905,19166,4917
350,4751,4233,6600
351,4034,39328,5539
352,16463,3025,18154
353,14571,2875,16240
354,2055,1953,2692
355,1845,2174,2413
356,2274,1928,2755
357,1783,1960,2252
358,2110,2206,2558
359,2070,1803,2522
360,1644,136293,2103
361,16327,22568,18163
362,3162,2060,4006
363,1840,1796,2382
364,1729,1703,2172
365,2171,1941,2646
366,1824,8742,2248
367,3244,2947,3883
368,2845,2959,3539
369,3115,3290,3923
370,78489,50361,80242
371,14133,14660,15744
372,2609,2064,3742
373,1855,2122,2412
374,1957,2038,2396
375,1997,1818,2457
376,1793,2399,2222
377,1993,2433,2440
378,1991,2064,2417
379,2416,2052,2840
380,158419,18863,163988
381,15231,3041,17000
382,2639,4872,3285
383,2200,1992,2710
384,1749,1690,2254
385,1982,1993,2455
386,2085,1962,2541
387,2143,2478,2647
388,2432,2253,2925
389,2256,2026,2734
390,95421,22953,101512
391,5856,2994,7010
392,4668,2510,5384
393,1689,2123,2203
394,3625,2368,4057
395,15145,15189,16850
396,2903,2661,4011
397,3252,4589,4044
398,2727,3445,3405
399,3318,3425,3983
400,3761,3134,4593
401,3268,18783,4035
402,18579,17137,20447
403,18445,3678,20402
404,3739,3086,4663
405,5002,3060,5783
406,3784,5396,4481
407,3526,4309,4243
408,5390,5740,6234
409,3424,5028,4137
410,5781,30349,6766
411,50810,25376,56756
412,15964,2973,17656
413,3135,2383,3572
414,2413,6249,3138
415,3895,17766,4590
416,4756,4158,6615
417,3951,3409,5260
418,3621,3144,4812
419,81913,54077,88684
420,44192,15790,48508
421,2876,2967,3727
422,2284,2409,2791
423,2153,3149,2911
424,3119,3712,3900
425,3273,3039,4323
426,5935,6013,6602
427,11925,19510,12744
428,17671,17640,19598
429,4662,18886,6365
430,4241,6568,5722
431,3709,30143,4540
432,3613,2700,4942
433,2433,2439,3133
434,2232,14782,2786
435,3299,2734,4475
436,5972,2548,6843
437,2317,4280,3042
438,2833,2814,3354
439,2508,2523,2944
440,4867,21460,5452
441,5142,2844,6576
442,2368,2690,3120
443,2154,2261,2767
444,2151,15178,2621
445,3359,2818,4525
446,2194,3176,2723
447,3739,14359,4182
448,14625,13993,16296
449,2913,2518,4108
450,2180,3617,2913
451,2053,2627,2683
452,2587,15442,3114
453,4032,3079,5580
454,3365,3240,4394
455,2967,3020,3830
456,3385,2942,4100
457,98497,16106,103363
458,13772,3059,15481
459,1930,1843,2489
460,2129,1782,2645
461,1677,2116,2143
462,1801,1954,2245
463,2055,2205,2513
464,2117,2410,2583
465,2071,2015,2538
466,1970,213712,2414
467,18791,14882,20808
468,3509,2639,4508
469,2002,4410,2543
470,2177,2535,2606
471,2426,2191,2902
472,2233,2950,2713
473,1982,2242,2433
474,2247,14725,2678
475,3202,3104,4523
476,202992,23172,207640
477,14681,3135,16509
478,2764,2386,3393
479,2178,2202,2660
480,2185,2314,2745
481,2793,4399,3384
482,2581,2180,3044
483,1904,2145,2385
484,2330,4175,2809
485,2930,2305,3387
486,114968,24133,121227
487,21831,5106,24026
488,3754,3851,4523
489,3293,2837,3956
490,2943,3000,3772
491,3888,3368,4650
492,3813,3169,4532
493,3181,3114,3852
494,3332,3546,4075
495,3688,90145,4434
496,23963,4909,26203
497,4095,3466,4978
498,3746,6191,4631
499,3653,3572,4389
500,3442,3638,4241
501,5654,20387,6445
502,26741,3948,28892
503,3720,3722,4950
504,3429,3355,4414
505,3477,3112,4341
506,4141,5483,5069
507,3484,3321,4416
508,3464,4534,4372
509,3560,3171,4471
510,3625,3548,4470
511,146734,23332,153142
512,5023,3581,6247
513,3514,2726,4338
514,2865,3172,3827
515,2761,4410,3583
516,20853,18080,23023
517,5844,5400,7283
518,3106,3094,4114
519,3247,3199,4161
520,3235,4891,4095
521,4799,19533,5671
522,17811,18853,19839
523,3609,3304,5098
524,3306,3644,4172
525,3100,3995,3976
526,2110,1841,2620
527,2429,1885,2885
528,2443,2000,2872
529,2662,2237,3083
530,2306,2547,2729
531,161405,35372,167647
532,20842,5166,23270
533,3145,3065,3872
534,3011,3089,3760
535,2668,4463,3477
536,2984,3968,3685
537,3100,3334,3824
538,3134,2992,3876
539,44231,5722,47162
540,15168,62548,17028
541,19752,16188,21684
542,3776,2958,5234
543,3270,3319,4135
544,3104,2962,3866
545,3472,3212,4291
546,3628,3440,4517
547,3034,3148,3796
548,3617,3390,4517
549,3790,7053,4640
550,37166,15012,39138
551,14538,2974,16226
552,2133,3868,2750
553,2401,3075,2888
554,2296,3453,2758
555,2257,3747,2697
556,2238,2253,2698
557,2305,14219,2773
558,14480,15223,16130
559,3994,3010,5354
560,2647,3061,3552
561,5189,3201,6138
562,20203,17702,22514
563,4323,3387,5953
564,6055,4303,7625
565,3691,3921,4576
566,19751,14313,21528
567,3701,3393,5284
568,2908,3234,3801
569,2796,3441,3527
570,35627,17288,37709
571,4026,3575,5440
572,3222,8851,4220
573,17396,14379,19223
574,2902,2182,4089
575,2827,2220,3444
576,4376,2200,5371
577,3494,2299,4088
578,2407,2208,2893
579,4121,3440,5109
580,3604,3606,4387
581,17861,4508,19857
582,4284,128001,5658
583,17222,14515,19165
584,3213,3062,4323
585,2555,2195,3098
586,2371,2256,2848
587,2426,2448,2887
588,2678,1997,3123
589,2353,1900,2826
590,4372,2299,4850
591,17205,4237,19253
592,4391,179205,5717
593,19349,14937,21347
594,3362,2848,4339
595,2314,4734,2828
596,2485,2272,2964
597,1992,1868,2464
598,2038,1724,2505
599,1930,2063,2360
600,2405,2400,2821
601,5279,3827,5776
602,17012,18490,19154
603,18246,4373,20296
604,5137,3453,6257
605,3151,3265,4192
606,4915,6564,5713
607,19354,17482,21684
608,18108,4071,20238
609,3931,4029,5189
610,16831,3212,18619
611,2950,2433,3927
612,3895,2189,4486
613,2633,2437,3212
614,4668,2334,5644
615,3181,2440,3623
616,6299,100168,7892
617,17735,3676,19653
618,2598,2105,3127
619,1769,1916,2265
620,2237,2554,2713
621,2324,2108,2783
622,4198,2367,4771
623,2607,1866,3090
624,3922,2013,4336
625,2656,200398,3105
626,19073,3232,21091
