count_idx,delay_ns,loop_gap_ns
51,157262,2764
52,299158,46869
53,75428,153222
54,73340,46321
55,70440,61467
56,66772,8931
57,61460,6145
58,56579,4755
59,32334,5006
60,28452,5426
61,20956,10544
62,20386,7679
63,20113,17120
64,76167,14190
65,61655,81073
66,34137,12194
67,26674,5025
68,23523,5520
69,29293,5943
70,23152,14061
71,20041,5068
72,18408,7354
73,13259,8896
74,19764,8971
75,46690,14920
76,97007,44830
77,65720,89397
78,42305,10357
79,36404,6441
80,32249,6127
81,29818,5949
82,27798,7043
83,24965,5734
84,21707,5744
85,26831,5895
86,155321,13340
87,40467,144659
88,26698,14169
89,72036,21115
90,44578,71140
91,36936,7570
92,29813,3997
93,24538,3131
94,20017,3199
95,19986,4209
96,14314,9689
97,52135,4897
98,65627,83172
99,53655,6715
100,43578,4007
101,22605,3674
102,19199,3995
103,42022,8483
104,47038,37617
105,19068,31654
106,14194,7181
107,78272,5066
108,68635,80683
109,39904,8094
110,36168,5340
111,33590,3745
112,31102,3608
113,28109,3114
114,26284,3647
115,73912,3162
116,288336,56542
117,102416,225798
118,49904,8234
119,45522,6694
120,43906,3544
121,40874,4241
122,38392,3936
123,33668,6077
124,87274,4648
125,150350,67482
126,64705,74989
127,52686,30554
128,48069,3743
129,44884,3355
130,42744,4364
131,37529,3623
132,24970,3172
133,22101,3100
134,68550,3307
135,246303,55536
136,64261,188765
137,35311,7657
138,31356,4524
139,28631,3314
140,22284,3580
141,47058,3251
142,40437,34363
143,29929,3235
144,20436,5863
145,323303,15523
146,49003,325385
147,42750,10902
148,41094,5731
149,40599,5271
150,39900,5489
151,38573,5231
152,37423,4471
153,66034,4491
154,377435,39698
155,53174,324491
156,44145,10868
157,42820,6582
158,42115,5260
159,40990,6066
160,40328,5015
161,40132,4949
162,77860,9495
163,410107,38856
164,84545,347563
165,73586,10999
166,66719,5751
167,43965,6077
168,37707,5164
169,34141,5522
170,31174,5826
171,34452,5089
172,224435,12249
173,51343,208754
174,44546,12211
175,43281,5390
176,42281,5022
177,40642,5088
178,40726,5609
179,40105,4821
180,54537,4569
181,385390,20270
182,140502,350035
183,93287,11835
184,87000,5700
185,83504,5245
186,69302,5908
187,59514,4894
188,55383,4883
189,116055,6868
190,184464,71191
191,103668,77309
192,64622,96243
193,20079,11361
194,14549,14498
195,40458,8002
196,98912,39598
197,66571,92809
198,43919,11136
199,37824,7094
200,34241,6179
201,34486,5236
202,43068,10350
203,66918,17042
204,32312,66191
205,39086,10085
206,25997,39680
207,18526,7964
208,16942,6121
209,18947,5910
210,20493,10934
211,15493,8713
212,13934,8429
213,81975,8761
214,34774,83028
215,32872,9963
216,31536,6931
217,33555,6690
218,34500,8197
219,33842,5752
220,33060,5623
221,61390,5817
222,291131,37038
223,84278,240928
224,56206,8282
225,51856,3803
226,50239,4276
227,47176,3384
228,44405,3129
229,41078,3147
230,77345,3189
231,302185,44900
232,86030,235252
233,57550,8310
234,53665,4578
235,51014,3563
236,48011,3467
237,45278,3242
238,42304,3198
239,79202,3165
240,297911,45618
241,83371,228804
242,57047,12565
243,50774,5125
244,44982,3651
245,38155,3365
246,31404,3168
247,25930,3250
248,63209,3150
249,132809,50886
250,76743,81982
251,39837,59270
252,33689,6218
253,30337,3680
254,27365,3304
255,25184,3406
256,22395,3121
257,18256,3283
258,73866,4334
259,180819,64209
260,72634,118604
261,45311,8329
262,40331,4535
263,37660,3491
264,35999,3968
265,35279,5244
266,35386,6156
267,57029,4821
268,61211,28121
269,175482,9815
270,99167,174852
271,78500,8392
272,72821,4052
273,69343,3604
274,66005,4479
275,60338,3289
276,57734,3415
277,85288,8309
278,83705,33901
279,47813,6444
280,35340,58430
281,30127,6814
282,27346,4435
283,25184,3389
284,22430,3484
285,19699,3302
286,16469,3523
287,17689,3253
288,309943,7144
289,52027,305983
290,45507,9243
291,42169,4257
292,39859,3516
293,36117,3733
294,33510,3169
295,30940,3167
296,39874,3237
297,311016,14855
298,142034,286520
299,134482,8116
300,131059,3898
301,128942,3439
302,126261,3310
303,123864,3191
304,120924,3120
305,157056,3073
306,362683,46327
307,89995,216489
308,59340,8572
309,55103,3933
310,52909,3525
311,49906,3874
312,46334,3309
313,43492,3346
314,92971,6890
315,301422,54345
316,79372,218301
317,50605,8386
318,46094,3774
319,43695,3445
320,40742,3658
321,37386,3260
322,35184,3950
323,84293,3323
324,291628,57535
325,98071,217471
326,68281,8458
327,63888,3860
328,61584,3327
329,58711,3788
330,55707,3425
331,53206,3040
332,89901,3090
333,138734,45624
334,117190,56126
335,53066,112399
336,43405,12032
337,41669,6334
338,17590,9717
339,114636,8426
340,104228,119793
341,97895,10250
342,94478,3886
343,91317,4539
344,84826,3408
345,81483,3322
346,76148,3209
347,122908,3225
348,321682,58135
349,87813,210292
350,59233,10593
351,56092,5910
352,56380,5068
353,55179,6194
354,57482,7586
355,56555,5147
356,114711,5334
357,258281,68040
358,80579,149676
359,41995,67852
360,36801,8286
361,33797,3868
362,31012,3954
363,28658,3597
364,26266,3250
365,23853,3276
366,32767,3235
367,331630,15434
368,127881,315323
369,121652,11112
370,120564,5826
371,120405,5601
372,119198,5321
373,118902,5297
374,115934,5354
375,141132,5376
376,354396,32967
377,89869,223928
378,76554,10057
379,69679,4079
380,64701,3423
381,59421,4896
382,54917,4868
383,50525,5060
384,98847,4708
385,263290,60136
386,52386,182004
387,23301,8417
388,18301,4124
389,15414,3534
390,18573,3691
391,15465,9587
392,15116,3525
393,13527,6069
394,12633,5076
395,383952,5238
396,114751,388883
397,102026,8338
398,95984,3740
399,89370,3447
400,82883,3463
401,77135,3328
402,69933,3190
403,116600,3298
404,298113,59546
405,132122,196284
406,105613,8255
407,100963,3699
408,98528,3373
409,95707,3328
410,93094,3144
411,90325,3194
412,139950,3091
413,318249,58024
414,68508,188786
415,39164,8278
416,34893,4064
417,32112,3859
418,29442,3603
419,26713,3200
420,24362,3268
421,70763,3208
422,134065,55221
423,34982,72676
424,65846,8041
425,51848,68913
426,28590,6103
427,22846,5004
428,20283,3240
429,17469,3335
430,14212,3235
431,18865,3533
432,16133,11130
433,14939,3425
434,326771,5134
435,45656,326572
436,40523,8748
437,37842,7016
438,34734,3709
439,31469,3390
440,28494,3194
441,25788,3174
442,35053,3164
443,387786,15347
444,139399,366203
445,130883,7975
446,127822,3787
447,125653,3403
448,122448,3466
449,119923,3131
450,117429,3173
451,126475,3274
452,209347,14613
453,41739,96930
454,47740,8748
455,46136,20117
456,42735,5595
457,56207,5246
458,108058,19712
459,46309,64862
460,38464,14216
461,34196,3896
