count_idx,delay_ns,loop_gap_ns,recv_block_ns
339,92840,7225,3042
340,94416,5380,2544
341,96537,4551,3439
342,98013,5434,2620
343,97963,4534,2764
344,98942,4668,2537
345,99810,4458,2534
346,101269,4463,2954
347,102438,4878,2702
348,104207,5135,2693
349,105580,4682,2669
350,106518,4623,2718
351,99352,4671,2424
352,99673,4314,2713
353,100014,4663,2704
354,100445,4624,2576
355,96234,4518,2585
356,96515,4764,2494
357,96446,4400,2501
358,96744,4354,2488
359,95688,4390,2490
360,95109,4387,2347
361,94958,4206,2514
362,94905,4454,2540
363,94749,4551,2449
364,94706,4690,2419
365,94717,4317,2492
366,94555,4515,2678
367,94360,4674,2495
368,93704,4483,2520
369,93476,4470,2469
370,93264,4395,2674
371,90135,4616,2533
372,89786,4765,2499
373,89690,4469,2578
374,89743,4609,2662
375,89991,4624,2594
376,89886,4517,2469
377,90307,4550,2498
378,103156,4609,14830
379,104169,17488,3197
380,108251,5525,4966
381,109985,7188,2966
382,105071,4984,2591
383,106204,4556,2413
384,107333,4302,2445
385,108419,4352,2373
386,109419,4332,2332
387,109643,4192,2561
388,110967,4719,2515
389,112064,4509,2505
390,113123,4391,2479
391,114133,4352,2521
392,115041,4370,2475
393,116116,4356,2542
394,117271,4428,2509
395,118532,4441,2756
396,120157,5009,2642
397,121007,4570,2491
398,121744,4373,2558
399,121707,4433,2489
400,122577,4500,2638
401,123658,4709,2844
402,124553,5027,2840
403,117197,4886,2849
404,116996,4981,2686
405,117454,4727,2820
406,115500,4940,2624
407,112116,4795,2524
408,111919,4603,2422
409,106105,4380,2633
410,106004,4597,2521
411,106153,4506,2370
412,106691,4658,2402
413,107035,4265,2503
414,107239,4455,2514
415,107286,4472,2386
416,107618,4510,2418
417,108008,4344,2514
418,107950,4543,2536
419,107459,4401,2520
420,108031,4795,2521
421,108213,4515,2586
422,108061,4585,2804
423,107624,4753,2535
424,107397,4476,2510
425,107388,4434,2443
426,229953,4431,122893
427,235075,130285,4572
428,234803,6916,1418
429,233594,2584,1171
430,232775,2317,1310
431,231530,2358,1127
432,230517,2196,1566
433,229404,2625,1126
434,225749,2167,1787
435,224531,2828,1147
436,222844,2205,1875
437,221905,2949,1163
438,223072,2226,3400
439,222621,4513,1833
440,221736,2916,1156
441,220749,2200,1167
442,219737,2226,1234
443,219115,2324,1590
444,218376,3066,1179
445,217363,2264,1173
446,216349,2269,1223
447,215192,2269,1133
448,229777,2188,16837
449,231549,20022,1681
450,230146,2957,1072
451,229374,2193,1674
452,228311,2804,1128
453,227076,2226,1131
454,226244,2170,1212
455,225062,2258,1160
456,223858,2211,1286
457,222210,2354,1132
458,169597,2192,1308
459,167075,2351,1170
460,162929,3409,1385
461,160976,2334,1060
462,158699,2028,1106
463,156399,2062,1056
464,149437,2015,1138
465,146370,2097,1027
466,144978,1989,1047
467,142428,2027,1059
468,119136,2256,1189
469,115930,2158,1408
470,112622,2392,1083
471,109254,2034,1134
472,106088,2098,1019
473,102896,1970,1171
474,100578,2122,1045
475,97342,1992,1151
476,94331,2133,1082
477,91239,2028,1467
478,88108,2422,1076
479,65852,2035,1606
480,61066,2564,1039
481,57737,1987,962
482,54950,1918,1181
483,51975,2135,1011
484,49605,2089,1338
485,47572,2286,1082
486,42751,2052,1334
487,40530,2300,1022
488,38723,2017,1324
489,36645,2282,1115
490,34569,2059,1263
491,32468,2233,1042
492,30315,2013,1520
493,26387,2457,1054
494,23955,1993,1207
495,21404,2156,1109
496,19144,2065,1062
497,16901,2015,1093
498,19901,2047,6266
499,17802,7293,1268
500,16298,2222,1104
501,14972,2078,1316
502,13696,2277,1218
503,7525,2187,1274
504,5964,2308,1984
