sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
21,1782212028279222826,1782212047009043185,1782212047009112805,1782212028279715346,18729820359,-18729397459,-18729608909,211450,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
22,1782212028279743515,1782212047009561945,1782212047009629285,1782212028280232116,18729818430,-18729397169,-18729607800,210630,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
23,1782212028280259906,1782212047010080365,1782212047010112615,1782212028280713457,18729820459,-18729399158,-18729609809,210650,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
24,1782212028280741236,1782212047010562345,1782212047010591015,1782212028281188537,18729821109,-18729402478,-18729611794,209315,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
25,1782212028281216457,1782212047011025515,1782212047011095665,1782212028281698317,18729809058,-18729397348,-18729603203,205855,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
26,1782212028281728057,1782212047011539965,1782212047011607745,1782212028282213907,18729811908,-18729393838,-18729602873,209035,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
27,1782212028282241016,1782212047012050465,1782212047012085615,1782212028282684678,18729809449,-18729400937,-18729605193,204256,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
28,1782212028282718777,1782212047012527055,1782212047012558265,1782212028283156139,18729808278,-18729402126,-18729605202,203076,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
29,1782212028283188289,1782212047012997975,1782212047013026495,1782212028283624960,18729809686,-18729401535,-18729605611,204075,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
30,1782212028283655939,1782212047013477115,1782212047013507015,1782212028284104581,18729821176,-18729402434,-18729611805,209371,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-18729594414,-18729597754,-18729597068,-18729594414,5370.737211,4074,190186,194038,183576,194261,205770,190186
