count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
34,24720,1781174216473065269,1781174216473065269,1781174216473128404,1781174216473128404,1781174216473089989,1781174216473089989,0,0,0,1.000000000000,1.000000000000,1.000000000000
35,24564,1781174216473207737,1781174216473207737,1781174216473281910,1781174216473281910,1781174216473232301,1781174216473232301,2,1,3,1.000000000000,1.000000000000,1.000000000000
36,10309,1781174216473350149,1781174216473350149,1781174216473396600,1781174216473396600,1781174216473360458,1781174216473360458,2,2,0,1.000000000000,1.000000000000,1.000000000000
37,21836,1781174216473477739,1781174216473477739,1781174216473531657,1781174216473531657,1781174216473499575,1781174216473499575,1,1,0,1.000000000000,1.000000000000,1.000000000000
38,22507,1781174216473615421,1781174216473615421,1781174216473668987,1781174216473668987,1781174216473637928,1781174216473637928,2,1,3,1.000000000000,1.000000000000,1.000000000000
39,22459,1781174216473753592,1781174216473753592,1781174216473821286,1781174216473821286,1781174216473776051,1781174216473776051,1,2,3,1.000000000000,1.000000000000,1.000000000000
40,22411,1781174216473891918,1781174216473891918,1781174216473961748,1781174216473961748,1781174216473914329,1781174216473914329,0,3,3,1.000000000000,1.000000000000,1.000000000000
41,20151,1781174216474029877,1781174216474029877,1781174216474088391,1781174216474088391,1781174216474050028,1781174216474050028,3,0,3,1.000000000000,1.000000000000,1.000000000000
42,19982,1781174216474164011,1781174216474164011,1781174216474227316,1781174216474227316,1781174216474183993,1781174216474183993,0,0,0,1.000000000000,1.000000000000,1.000000000000
43,19992,1781174216474298890,1781174216474298890,1781174216474349597,1781174216474349597,1781174216474318882,1781174216474318882,1,3,2,1.000000000000,1.000000000000,1.000000000000
44,19805,1781174216474432844,1781174216474432844,1781174216474482282,1781174216474482282,1781174216474452649,1781174216474452649,0,0,0,1.000000000000,1.000000000000,1.000000000000
45,19892,1781174216474566682,1781174216474566682,1781174216474616823,1781174216474616823,1781174216474586574,1781174216474586574,3,0,3,1.000000000000,1.000000000000,1.000000000000
46,20058,1781174216474711839,1781174216474711839,1781174216474763411,1781174216474763411,1781174216474731897,1781174216474731897,3,1,2,1.000000000000,1.000000000000,1.000000000000
47,16763,1781174216474845848,1781174216474845848,1781174216474887366,1781174216474887366,1781174216474862611,1781174216474862611,1,2,3,1.000000000000,1.000000000000,1.000000000000
48,16555,1781174216474974454,1781174216474974454,1781174216475016063,1781174216475016063,1781174216474991009,1781174216474991009,0,0,0,1.000000000000,1.000000000000,1.000000000000
49,16560,1781174216475103015,1781174216475103015,1781174216475144414,1781174216475144414,1781174216475119575,1781174216475119575,1,3,2,1.000000000000,1.000000000000,1.000000000000
