count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
34,16076,1781174201738384589,1781174201738384589,1781174201738415055,1781174201738415055,1781174201738400665,1781174201738400665,0,0,0,1.000000000000,1.000000000000,1.000000000000
35,15233,1781174201738504970,1781174201738504970,1781174201738532185,1781174201738532185,1781174201738520203,1781174201738520203,0,1,1,1.000000000000,1.000000000000,1.000000000000
36,15305,1781174201738623959,1781174201738623959,1781174201738651870,1781174201738651870,1781174201738639264,1781174201738639264,1,3,2,1.000000000000,1.000000000000,1.000000000000
37,17415,1781174201738743215,1781174201738743215,1781174201738773390,1781174201738773390,1781174201738760630,1781174201738760630,1,0,1,1.000000000000,1.000000000000,1.000000000000
38,16826,1781174201738867066,1781174201738867066,1781174201738897411,1781174201738897411,1781174201738883892,1781174201738883892,1,0,1,1.000000000000,1.000000000000,1.000000000000
39,16209,1781174201738987778,1781174201738987778,1781174201739016228,1781174201739016228,1781174201739003987,1781174201739003987,2,2,0,1.000000000000,1.000000000000,1.000000000000
40,15478,1781174201739107957,1781174201739107957,1781174201739138807,1781174201739138807,1781174201739123435,1781174201739123435,0,0,0,1.000000000000,1.000000000000,1.000000000000
41,15290,1781174201739227084,1781174201739227084,1781174201739257193,1781174201739257193,1781174201739242374,1781174201739242374,0,2,2,1.000000000000,1.000000000000,1.000000000000
42,19496,1781174201739388520,1781174201739388520,1781174201739422612,1781174201739422612,1781174201739408016,1781174201739408016,1,0,1,1.000000000000,1.000000000000,1.000000000000
43,15039,1781174201739513139,1781174201739513139,1781174201739541848,1781174201739541848,1781174201739528178,1781174201739528178,1,1,0,1.000000000000,1.000000000000,1.000000000000
44,14759,1781174201739631903,1781174201739631903,1781174201739657824,1781174201739657824,1781174201739646662,1781174201739646662,0,3,3,1.000000000000,1.000000000000,1.000000000000
45,14781,1781174201739750397,1781174201739750397,1781174201739776581,1781174201739776581,1781174201739765178,1781174201739765178,1,2,3,1.000000000000,1.000000000000,1.000000000000
46,15146,1781174201739869007,1781174201739869007,1781174201739895652,1781174201739895652,1781174201739884153,1781174201739884153,1,1,0,1.000000000000,1.000000000000,1.000000000000
47,14274,1781174201739987953,1781174201739987953,1781174201740015279,1781174201740015279,1781174201740002227,1781174201740002227,1,1,0,1.000000000000,1.000000000000,1.000000000000
48,15282,1781174201740106069,1781174201740106069,1781174201740134541,1781174201740134541,1781174201740121351,1781174201740121351,2,2,0,1.000000000000,1.000000000000,1.000000000000
49,14907,1781174201740225311,1781174201740225311,1781174201740251318,1781174201740251318,1781174201740240218,1781174201740240218,3,1,2,1.000000000000,1.000000000000,1.000000000000
50,14675,1781174201740344010,1781174201740344010,1781174201740375868,1781174201740375868,1781174201740358685,1781174201740358685,1,1,0,1.000000000000,1.000000000000,1.000000000000
51,14736,1781174201740462349,1781174201740462349,1781174201740492396,1781174201740492396,1781174201740477085,1781174201740477085,0,0,0,1.000000000000,1.000000000000,1.000000000000
52,14760,1781174201740580756,1781174201740580756,1781174201740607143,1781174201740607143,1781174201740595516,1781174201740595516,3,1,2,1.000000000000,1.000000000000,1.000000000000
53,16160,1781174201740699318,1781174201740699318,1781174201740729336,1781174201740729336,1781174201740715478,1781174201740715478,1,2,3,1.000000000000,1.000000000000,1.000000000000
54,21987,1781174201740829198,1781174201740829198,1781174201740878550,1781174201740878550,1781174201740851185,1781174201740851185,2,2,0,1.000000000000,1.000000000000,1.000000000000
55,15115,1781174201740955016,1781174201740955016,1781174201740983466,1781174201740983466,1781174201740970131,1781174201740970131,3,3,0,1.000000000000,1.000000000000,1.000000000000
56,14552,1781174201741073858,1781174201741073858,1781174201741102275,1781174201741102275,1781174201741088410,1781174201741088410,3,1,2,1.000000000000,1.000000000000,1.000000000000
57,14740,1781174201741192378,1781174201741192378,1781174201741218435,1781174201741218435,1781174201741207118,1781174201741207118,2,2,0,1.000000000000,1.000000000000,1.000000000000
58,14959,1781174201741310888,1781174201741310888,1781174201741361604,1781174201741361604,1781174201741325847,1781174201741325847,0,0,0,1.000000000000,1.000000000000,1.000000000000
59,13806,1781174201741435387,1781174201741435387,1781174201741478688,1781174201741478688,1781174201741449193,1781174201741449193,3,3,0,1.000000000000,1.000000000000,1.000000000000
60,5952,1781174201741558335,1781174201741558335,1781174201741585797,1781174201741585797,1781174201741564287,1781174201741564287,2,2,0,1.000000000000,1.000000000000,1.000000000000
61,13562,1781174201741674704,1781174201741674704,1781174201741708181,1781174201741708181,1781174201741688266,1781174201741688266,3,2,1,1.000000000000,1.000000000000,1.000000000000
62,13643,1781174201741798225,1781174201741798225,1781174201741831332,1781174201741831332,1781174201741811868,1781174201741811868,3,0,3,1.000000000000,1.000000000000,1.000000000000
63,13752,1781174201741921721,1781174201741921721,1781174201741956459,1781174201741956459,1781174201741935473,1781174201741935473,0,0,0,1.000000000000,1.000000000000,1.000000000000
64,13914,1781174201742045137,1781174201742045137,1781174201742079128,1781174201742079128,1781174201742059051,1781174201742059051,2,0,2,1.000000000000,1.000000000000,1.000000000000
65,13854,1781174201742169111,1781174201742169111,1781174201742202544,1781174201742202544,1781174201742182965,1781174201742182965,1,0,1,1.000000000000,1.000000000000,1.000000000000
66,22765,1781174201742294648,1781174201742294648,1781174201742337399,1781174201742337399,1781174201742317413,1781174201742317413,1,2,3,1.000000000000,1.000000000000,1.000000000000
67,14049,1781174201742427581,1781174201742427581,1781174201742462888,1781174201742462888,1781174201742441630,1781174201742441630,3,0,3,1.000000000000,1.000000000000,1.000000000000
68,14155,1781174201742551435,1781174201742551435,1781174201742617279,1781174201742617279,1781174201742565590,1781174201742565590,2,1,3,1.000000000000,1.000000000000,1.000000000000
69,6041,1781174201742675808,1781174201742675808,1781174201742711110,1781174201742711110,1781174201742681849,1781174201742681849,0,0,0,1.000000000000,1.000000000000,1.000000000000
70,3985,1781174201742783376,1781174201742783376,1781174201742822161,1781174201742822161,1781174201742787361,1781174201742787361,3,1,2,1.000000000000,1.000000000000,1.000000000000
71,14560,1781174201742897947,1781174201742897947,1781174201742935223,1781174201742935223,1781174201742912507,1781174201742912507,0,2,2,1.000000000000,1.000000000000,1.000000000000
72,14358,1781174201743022498,1781174201743022498,1781174201743110352,1781174201743110352,1781174201743036856,1781174201743036856,0,0,0,1.000000000000,1.000000000000,1.000000000000
73,19437,1781174201743221318,1781174201743221318,1781174201743285247,1781174201743285247,1781174201743240755,1781174201743240755,0,3,3,1.000000000000,1.000000000000,1.000000000000
74,31438,1781174201743398148,1781174201743398148,1781174201743465211,1781174201743465211,1781174201743429586,1781174201743429586,3,2,1,1.000000000000,1.000000000000,1.000000000000
75,14816,1781174201743541416,1781174201743541416,1781174201743577987,1781174201743577987,1781174201743556232,1781174201743556232,2,1,3,1.000000000000,1.000000000000,1.000000000000
76,13139,1781174201743665999,1781174201743665999,1781174201743719874,1781174201743719874,1781174201743679138,1781174201743679138,0,0,0,1.000000000000,1.000000000000,1.000000000000
77,6212,1781174201743788799,1781174201743788799,1781174201743815236,1781174201743815236,1781174201743795011,1781174201743795011,1,0,1,1.000000000000,1.000000000000,1.000000000000
78,14199,1781174201743910106,1781174201743910106,1781174201743949535,1781174201743949535,1781174201743924305,1781174201743924305,0,1,1,1.000000000000,1.000000000000,1.000000000000
79,14240,1781174201744033835,1781174201744033835,1781174201744122105,1781174201744122105,1781174201744048075,1781174201744048075,2,1,3,1.000000000000,1.000000000000,1.000000000000
80,14506,1781174201744157218,1781174201744157218,1781174201744226018,1781174201744226018,1781174201744171724,1781174201744171724,0,2,2,1.000000000000,1.000000000000,1.000000000000
81,4034,1781174201744273119,1781174201744273119,1781174201744328932,1781174201744328932,1781174201744277153,1781174201744277153,1,2,3,1.000000000000,1.000000000000,1.000000000000
82,15374,1781174201744378834,1781174201744378834,1781174201744446509,1781174201744446509,1781174201744394208,1781174201744394208,2,1,3,1.000000000000,1.000000000000,1.000000000000
83,5714,1781174201744504465,1781174201744504465,1781174201744558054,1781174201744558054,1781174201744510179,1781174201744510179,2,2,0,1.000000000000,1.000000000000,1.000000000000
84,54483,1781174201744622241,1781174201744622241,1781174201744712493,1781174201744712493,1781174201744676724,1781174201744676724,3,3,0,1.000000000000,1.000000000000,1.000000000000
85,14011,1781174201744789569,1781174201744789569,1781174201744826069,1781174201744826069,1781174201744803580,1781174201744803580,3,2,1,1.000000000000,1.000000000000,1.000000000000
86,13745,1781174201744913621,1781174201744913621,1781174201744950256,1781174201744950256,1781174201744927366,1781174201744927366,3,3,0,1.000000000000,1.000000000000,1.000000000000
87,15274,1781174201745037455,1781174201745037455,1781174201745181787,1781174201745181787,1781174201745052729,1781174201745052729,0,1,1,1.000000000000,1.000000000000,1.000000000000
88,43601,1781174201745189041,1781174201745189041,1781174201745291360,1781174201745291360,1781174201745232642,1781174201745232642,1,1,0,1.000000000000,1.000000000000,1.000000000000
89,36419,1781174201745372902,1781174201745372902,1781174201745460048,1781174201745460048,1781174201745409321,1781174201745409321,0,1,1,1.000000000000,1.000000000000,1.000000000000
90,51846,1781174201745537143,1781174201745537143,1781174201745643177,1781174201745643177,1781174201745588989,1781174201745588989,1,2,3,1.000000000000,1.000000000000,1.000000000000
91,5746,1781174201745699902,1781174201745699902,1781174201745742988,1781174201745742988,1781174201745705648,1781174201745705648,0,3,3,1.000000000000,1.000000000000,1.000000000000
92,13511,1781174201745807002,1781174201745807002,1781174201745877545,1781174201745877545,1781174201745820513,1781174201745820513,0,1,1,1.000000000000,1.000000000000,1.000000000000
93,14976,1781174201745931169,1781174201745931169,1781174201745967336,1781174201745967336,1781174201745946145,1781174201745946145,2,1,3,1.000000000000,1.000000000000,1.000000000000
94,14542,1781174201746057628,1781174201746057628,1781174201746092592,1781174201746092592,1781174201746072170,1781174201746072170,0,2,2,1.000000000000,1.000000000000,1.000000000000
95,14233,1781174201746183110,1781174201746183110,1781174201746294295,1781174201746294295,1781174201746197343,1781174201746197343,2,1,3,1.000000000000,1.000000000000,1.000000000000
96,6555,1781174201746307181,1781174201746307181,1781174201746333433,1781174201746333433,1781174201746313736,1781174201746313736,0,1,1,1.000000000000,1.000000000000,1.000000000000
97,14873,1781174201746416418,1781174201746416418,1781174201746450965,1781174201746450965,1781174201746431291,1781174201746431291,1,2,3,1.000000000000,1.000000000000,1.000000000000
98,14298,1781174201746541223,1781174201746541223,1781174201746578907,1781174201746578907,1781174201746555521,1781174201746555521,0,1,1,1.000000000000,1.000000000000,1.000000000000
99,14586,1781174201746672982,1781174201746672982,1781174201746706335,1781174201746706335,1781174201746687568,1781174201746687568,0,1,1,1.000000000000,1.000000000000,1.000000000000
100,14950,1781174201746797874,1781174201746797874,1781174201746832569,1781174201746832569,1781174201746812824,1781174201746812824,0,3,3,1.000000000000,1.000000000000,1.000000000000
101,15100,1781174201746922858,1781174201746922858,1781174201746957152,1781174201746957152,1781174201746937958,1781174201746937958,2,2,0,1.000000000000,1.000000000000,1.000000000000
102,15465,1781174201747048317,1781174201747048317,1781174201747083345,1781174201747083345,1781174201747063782,1781174201747063782,3,3,0,1.000000000000,1.000000000000,1.000000000000
103,15281,1781174201747174153,1781174201747174153,1781174201747208552,1781174201747208552,1781174201747189434,1781174201747189434,0,3,3,1.000000000000,1.000000000000,1.000000000000
104,15888,1781174201747299499,1781174201747299499,1781174201747347936,1781174201747347936,1781174201747315387,1781174201747315387,1,3,2,1.000000000000,1.000000000000,1.000000000000
105,14641,1781174201747425688,1781174201747425688,1781174201747474047,1781174201747474047,1781174201747440329,1781174201747440329,1,1,0,1.000000000000,1.000000000000,1.000000000000
106,14801,1781174201747550615,1781174201747550615,1781174201747600768,1781174201747600768,1781174201747565416,1781174201747565416,3,1,2,1.000000000000,1.000000000000,1.000000000000
107,13922,1781174201747675603,1781174201747675603,1781174201747715767,1781174201747715767,1781174201747689525,1781174201747689525,2,1,3,1.000000000000,1.000000000000,1.000000000000
108,14431,1781174201747799383,1781174201747799383,1781174201747846513,1781174201747846513,1781174201747813814,1781174201747813814,2,1,3,1.000000000000,1.000000000000,1.000000000000
109,15033,1781174201747923819,1781174201747923819,1781174201747990520,1781174201747990520,1781174201747938852,1781174201747938852,2,2,0,1.000000000000,1.000000000000,1.000000000000
110,27029,1781174201748082071,1781174201748082071,1781174201748142593,1781174201748142593,1781174201748109100,1781174201748109100,1,3,2,1.000000000000,1.000000000000,1.000000000000
111,13851,1781174201748221342,1781174201748221342,1781174201748257291,1781174201748257291,1781174201748235193,1781174201748235193,3,0,3,1.000000000000,1.000000000000,1.000000000000
112,13772,1781174201748345225,1781174201748345225,1781174201748412520,1781174201748412520,1781174201748358997,1781174201748358997,0,2,2,1.000000000000,1.000000000000,1.000000000000
113,50636,1781174201748490231,1781174201748490231,1781174201748572807,1781174201748572807,1781174201748540867,1781174201748540867,2,3,1,1.000000000000,1.000000000000,1.000000000000
114,38322,1781174201748655863,1781174201748655863,1781174201748722463,1781174201748722463,1781174201748694185,1781174201748694185,0,0,0,1.000000000000,1.000000000000,1.000000000000
115,18140,1781174201748811564,1781174201748811564,1781174201748858218,1781174201748858218,1781174201748829704,1781174201748829704,1,2,3,1.000000000000,1.000000000000,1.000000000000
116,13819,1781174201748939895,1781174201748939895,1781174201748993112,1781174201748993112,1781174201748953714,1781174201748953714,3,0,3,1.000000000000,1.000000000000,1.000000000000
117,13827,1781174201749063835,1781174201749063835,1781174201749102076,1781174201749102076,1781174201749077662,1781174201749077662,2,3,1,1.000000000000,1.000000000000,1.000000000000
118,13799,1781174201749188217,1781174201749188217,1781174201749221490,1781174201749221490,1781174201749202016,1781174201749202016,3,0,3,1.000000000000,1.000000000000,1.000000000000
119,13647,1781174201749311683,1781174201749311683,1781174201749344515,1781174201749344515,1781174201749325330,1781174201749325330,2,2,0,1.000000000000,1.000000000000,1.000000000000
120,14218,1781174201749435297,1781174201749435297,1781174201749500215,1781174201749500215,1781174201749449515,1781174201749449515,1,0,1,1.000000000000,1.000000000000,1.000000000000
121,23659,1781174201749568142,1781174201749568142,1781174201749620777,1781174201749620777,1781174201749591801,1781174201749591801,1,0,1,1.000000000000,1.000000000000,1.000000000000
122,26398,1781174201749704149,1781174201749704149,1781174201749757578,1781174201749757578,1781174201749730547,1781174201749730547,1,2,3,1.000000000000,1.000000000000,1.000000000000
123,32571,1781174201749847047,1781174201749847047,1781174201749911050,1781174201749911050,1781174201749879618,1781174201749879618,3,3,0,1.000000000000,1.000000000000,1.000000000000
