round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,497778,535928,1790176053145730567,1790176053145537363,193374,0,0.355643,1,1
1,2,917856,453217,1790176053146706763,1790176053146483200,223673,0,0.000000,1,0
2,1,272209,301009,1790176053147015501,1790176053146912125,103486,0,0.000000,1,0
3,1,219759,245949,1790176053147272290,1790176053147367279,124960,94989,0.000000,1,0
4,3,639566,228129,1790176053148157785,1790176053148062809,141196,0,0.000000,1,0
5,2,351178,168239,1790176053148579683,1790176053148503314,140979,0,0.000000,1,0
6,1,134420,155550,1790176053148801023,1790176053148920548,91914,119525,0.809105,1,1
7,2,299819,155630,1790176053149334341,1790176053149345562,86818,11221,0.000000,1,0
8,1,132829,153899,1790176053149595439,1790176053149763107,86731,167668,0.000000,1,0
9,1,134759,154449,1790176053150007747,1790176053150567126,89388,559379,0.000000,1,0
10,2,285289,151050,1790176053150965383,1790176053150963711,86611,0,0.913768,1,1
11,1,133110,153349,1790176053151205332,1790176053151358166,96154,152834,0.000000,1,0
12,1,134960,155699,1790176053151612180,1790176053151783600,91479,171420,0.766235,1,1
13,1,138019,158079,1790176053152037388,1790176053152558650,88475,521262,0.000000,1,0
14,1,133520,153970,1790176053152803935,1790176053152948595,86139,144660,0.785216,1,1
15,1,133710,153970,1790176053153190873,1790176053153724214,89696,533341,0.000000,1,0
16,1,566180,668548,1790176056157653301,1790176056157446948,206533,0,0.964341,1,1
17,3,1254117,322454,1790176056159042525,1790176056158914569,128046,0,0.441910,1,1
18,1,234836,262985,1790176056159341770,1790176056159360483,128814,18713,0.849151,1,1
19,1,218716,243586,1790176056159738532,1790176056159803397,113672,64865,0.812184,1,1
20,2,374693,200197,1790176056160318511,1790176056160223771,139179,0,0.000000,1,0
21,1,151267,183866,1790176056160537847,1790176056160643846,94777,105999,0.000000,1,0
22,1,153457,173436,1790176056160915920,1790176056161050190,90897,134270,0.000000,1,0
23,1,150877,171817,1790176056161317293,1790176056161456365,88284,139072,0.000000,1,0
24,2,304905,152147,1790176056161877593,1790176056161869119,87272,0,0.000000,1,0
25,1,136607,156147,1790176056162115518,1790176056162653479,89127,537961,0.000000,1,0
26,3,446711,153427,1790176056163212137,1790176056163420269,89493,208132,0.739807,1,1
27,1,136568,156747,1790176056163668449,1790176056163809493,89352,141044,0.000000,1,0
28,1,137849,156998,1790176056164058583,1790176056164200188,87100,141605,0.000000,1,0
29,2,284814,152047,1790176056164593642,1790176056165008037,88206,414395,0.601263,1,1
30,2,290774,155317,1790176056165409817,1790176056165397782,88894,0,0.919818,1,1
31,1,138268,158417,1790176056165646763,1790176056166172062,88829,525299,0.000000,1,0
32,1,133857,153647,1790176056166417208,1790176056166558537,87517,141329,0.790478,1,1
33,2,286095,152308,1790176056166955238,1790176056166982251,88016,27013,0.000000,1,0
34,1,139048,160337,1790176056167230544,1790176056167375766,89293,145222,0.000000,1,0
35,2,293004,154577,1790176056167780193,1790176056167772561,89511,0,0.916651,1,1
36,1,132258,151648,1790176056168016369,1790176056168174625,86939,158256,0.000000,1,0
37,2,286655,154927,1790176056168569559,1790176056168565020,92517,0,0.000000,1,0
38,1,134538,154568,1790176056168814574,1790176056168953365,95325,138791,0.000000,1,0
39,3,442212,149757,1790176056169512861,1790176056169433529,140481,0,0.000000,1,0
40,1,131798,152487,1790176056169729377,1790176056169817234,87709,87857,0.834829,1,1
41,1,137158,156858,1790176056170064571,1790176056170206589,87738,142018,0.000000,1,0
42,1,132937,152187,1790176056170448334,1790176056171009618,93054,561284,0.000000,1,0
43,2,298015,152327,1790176056171423956,1790176056171427492,89442,3536,0.905745,1,1
44,1,137138,157597,1790176056171675411,1790176056172200002,95027,524591,0.000000,1,0
45,1,136297,156017,1790176056172453966,1790176056172974882,88433,520916,0.539727,1,1
46,1,136367,155687,1790176056173221582,1790176056173372227,93361,150645,0.000000,1,0
47,2,341664,204966,1790176056173828951,1790176056173791091,101979,0,0.000000,1,0
48,3,434792,145817,1790176056174345941,1790176056174267435,142095,0,0.000000,1,0
49,1,130957,146767,1790176056174558277,1790176056174648640,88484,90363,0.831289,1,1
50,2,285234,151367,1790176056175040108,1790176056175418320,89829,378212,0.620485,1,1
51,1,130468,146507,1790176056175656267,1790176056176187609,88297,531342,0.534582,1,1
52,2,286704,151557,1790176056176580630,1790176056176968399,90142,387769,0.611828,1,1
53,1,136787,151137,1790176056177213968,1790176056177360954,89610,146986,0.000000,1,0
54,1,140298,160697,1790176056177617881,1790176056177749059,87427,131178,0.000000,1,0
55,1,133228,152897,1790176056177990824,1790176056178530768,92124,539944,0.530789,1,1
56,1,136298,155827,1790176056178782779,1790176056179683423,90418,900644,0.369277,1,1
57,1,135358,155407,1790176056179932168,1790176056180469953,93183,537785,0.000000,1,0
