count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
829,138316,520,138836,0.896659,1
830,134746,490,135236,0.899150,1
833,135577,430,136007,0.898570,3
838,135377,450,135827,0.898709,5
840,134668,410,135078,0.899205,2
847,136099,440,136539,0.898205,7
850,137299,650,137949,0.897368,3
853,135909,480,136389,0.898338,3
854,134999,460,135459,0.898973,1
855,138149,460,138609,0.896775,1
858,145700,470,146170,0.891534,3
859,137210,490,137700,0.897430,1
860,143110,540,143650,0.893327,1
861,136610,450,137060,0.897848,1
862,135810,500,136310,0.898407,1
864,136209,450,136659,0.898128,2
865,140350,490,140840,0.895243,1
867,137590,430,138020,0.897165,2
868,136571,480,137051,0.897876,1
870,137431,440,137871,0.897276,2
871,138691,520,139211,0.896398,1
872,138161,450,138611,0.896767,1
873,138912,450,139362,0.896244,1
874,135992,430,136422,0.898280,1
880,136892,440,137332,0.897652,6
881,138472,450,138922,0.896550,1
883,135853,400,136253,0.898377,2
884,147893,460,148353,0.890019,1
885,135743,420,136163,0.898454,1
886,136984,480,137464,0.897587,1
889,133794,420,134214,0.899816,3
890,132324,410,132734,0.900846,1
893,132133,420,132553,0.900980,3
896,131504,420,131924,0.901421,3
900,139305,470,139775,0.895970,4
903,136465,440,136905,0.897949,3
904,137216,440,137656,0.897426,1
909,136395,450,136845,0.897998,5
910,138026,450,138476,0.896861,1
911,138476,460,138936,0.896547,1
912,138146,480,138626,0.896777,1
913,138087,490,138577,0.896818,1
915,138557,460,139017,0.896491,2
917,147026,400,147426,0.890617,2
918,137677,460,138137,0.897104,1
920,134887,410,135297,0.899052,2
923,137518,450,137968,0.897215,3
924,135718,440,136158,0.898471,1
925,137088,420,137508,0.897515,1
926,137008,490,137498,0.897571,1
927,135118,470,135588,0.898890,1
929,140249,500,140749,0.895313,2
931,137359,450,137809,0.897326,2
932,137330,460,137790,0.897346,1
933,136659,500,137159,0.897814,1
935,136869,410,137279,0.897668,2
936,137120,480,137600,0.897492,1
938,137239,430,137669,0.897409,2
942,136011,440,136451,0.898266,4
943,139670,420,140090,0.895716,1
944,142531,410,142941,0.893729,1
945,138210,440,138650,0.896733,1
948,136141,400,136541,0.898176,3
949,136532,450,136982,0.897903,1
950,145591,540,146131,0.891609,1
951,137351,460,137811,0.897331,1
952,136820,490,137310,0.897702,1
953,138221,430,138651,0.896725,1
954,136610,440,137050,0.897848,1
955,137581,470,138051,0.897171,1
959,137572,420,137992,0.897177,4
961,138693,410,139103,0.896396,2
962,136532,420,136952,0.897903,1
964,137022,420,137442,0.897561,2
966,138243,460,138703,0.896710,2
967,137753,440,138193,0.897051,1
968,140594,490,141084,0.895074,1
970,137573,430,138003,0.897177,2
974,138633,440,139073,0.896438,4
976,142223,480,142703,0.893942,2
977,136064,480,136544,0.898229,1
978,137685,460,138145,0.897099,1
980,135455,440,135895,0.898655,2
981,137914,410,138324,0.896939,1
982,149085,460,149545,0.889197,1
983,138885,460,139345,0.896262,1
984,138355,490,138845,0.896632,1
985,135536,520,136056,0.898598,1
986,144445,420,144865,0.892402,1
988,135105,440,135545,0.898899,2
992,139206,411,139617,0.896039,4
994,137967,430,138397,0.896902,2
996,136796,450,137246,0.897719,2
998,139696,420,140116,0.895698,2
