count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
748,142833,450,143283,0.893519,1
749,141152,380,141532,0.894686,1
750,141511,410,141921,0.894437,1
754,143476,440,143916,0.893073,4
756,143433,410,143843,0.893103,2
758,141459,390,141849,0.894473,2
762,143604,430,144034,0.892985,4
764,141962,440,142402,0.894123,2
767,147848,450,148298,0.890050,3
769,141615,460,142075,0.894364,2
770,141434,400,141834,0.894490,1
771,145263,500,145763,0.891836,1
773,143010,460,143470,0.893396,2
774,142778,430,143208,0.893557,1
782,142777,460,143237,0.893558,8
783,140126,420,140546,0.895399,1
792,142164,430,142594,0.893983,9
795,142951,460,143411,0.893437,3
796,142579,440,143019,0.893695,1
797,141148,450,141598,0.894689,1
798,142207,450,142657,0.893953,1
799,139595,400,139995,0.895768,1
804,142148,440,142588,0.893994,5
805,142187,400,142587,0.893967,1
808,141943,420,142363,0.894137,3
811,139728,420,140148,0.895676,3
814,138245,370,138615,0.896708,3
815,138083,410,138493,0.896821,1
817,138541,360,138901,0.896502,2
819,138838,370,139208,0.896295,2
825,138131,390,138521,0.896788,6
826,139300,390,139690,0.895974,1
828,136798,400,137198,0.897717,2
829,140936,430,141366,0.894836,1
831,139144,350,139494,0.896082,2
834,139941,360,140301,0.895528,3
835,138630,380,139010,0.896440,1
839,138145,370,138515,0.896778,4
840,139934,410,140344,0.895532,1
841,138682,420,139102,0.896404,1
842,140971,410,141381,0.894812,1
843,139829,430,140259,0.895606,1
850,139419,490,139909,0.895891,7
851,145728,450,146178,0.891514,1
852,136308,370,136678,0.898059,1
853,143896,430,144326,0.892782,1
854,138645,410,139055,0.896430,1
857,138222,400,138622,0.896724,3
858,139660,490,140150,0.895723,1
862,138636,450,139086,0.896436,4
864,141757,400,142157,0.894266,2
866,139715,460,140175,0.895685,2
867,140064,470,140534,0.895442,1
869,135611,430,136041,0.898546,2
874,139486,420,139906,0.895844,5
877,135494,380,135874,0.898628,3
879,138101,430,138531,0.896809,2
881,138129,410,138539,0.896789,2
882,138279,410,138689,0.896685,1
883,150518,370,150888,0.888210,1
885,138035,440,138475,0.896855,2
890,140150,450,140600,0.895382,5
892,137068,390,137458,0.897529,2
896,135772,370,136142,0.898433,4
901,134876,360,135236,0.899059,5
904,140503,560,141063,0.895137,3
905,139231,390,139621,0.896022,1
906,140171,440,140611,0.895368,1
909,147627,420,148047,0.890202,3
910,137715,430,138145,0.897078,1
911,137704,430,138134,0.897085,1
912,137931,400,138331,0.896927,1
913,137491,400,137891,0.897234,1
915,137348,410,137758,0.897333,2
917,140356,410,140766,0.895239,2
918,138785,380,139165,0.896332,1
922,138680,450,139130,0.896405,4
924,136138,340,136478,0.898178,2
925,139267,430,139697,0.895997,1
926,138766,380,139146,0.896345,1
927,138835,370,139205,0.896297,1
930,138421,410,138831,0.896586,3
931,137861,370,138231,0.896976,1
933,136728,360,137088,0.897766,2
934,137547,390,137937,0.897195,1
936,137515,350,137865,0.897217,2
938,139043,400,139443,0.896152,2
939,137370,380,137750,0.897318,1
940,138089,6030,144119,0.896817,1
942,137186,380,137566,0.897446,2
943,139306,490,139796,0.895969,1
944,136144,420,136564,0.898174,1
947,137260,430,137690,0.897395,3
949,148047,480,148527,0.889912,2
951,138054,400,138454,0.896841,2
954,137731,470,138201,0.897066,3
955,139580,400,139980,0.895779,1
956,138209,430,138639,0.896733,1
959,137026,460,137486,0.897558,3
960,140544,400,140944,0.895108,1
962,138573,420,138993,0.896480,2
964,138340,420,138760,0.896642,2
968,138006,450,138456,0.896875,4
971,137812,460,138272,0.897010,3
972,137801,420,138221,0.897018,1
975,135957,390,136347,0.898304,3
976,136747,450,137197,0.897753,1
977,136045,410,136455,0.898243,1
978,139304,460,139764,0.895971,1
982,151807,390,152197,0.887323,4
983,140966,350,141316,0.894815,1
986,138642,400,139042,0.896432,3
987,139891,410,140301,0.895562,1
993,151712,380,152092,0.887389,6
995,138069,400,138469,0.896831,2
996,139188,350,139538,0.896052,1
