round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
0,1790173021240280067,0.988121,0.935410,0.924299,1
1,1790173021241558450,0.990248,0.361716,0.000000,0
2,1790173021241975874,0.990337,0.842646,0.834504,1
3,1790173021242395429,0.990565,0.839056,0.831139,1
4,1790173021242818473,0.990585,0.817759,0.000000,0
5,1790173021243248977,0.990119,0.802714,0.000000,0
6,1790173021243684842,0.990396,0.774617,0.000000,0
7,1790173021244121776,0.990030,0.787291,0.000000,0
8,1790173021244569220,0.990377,0.766143,0.000000,0
9,1790173021245008514,0.990495,0.771200,0.763871,1
10,1790173021245437098,0.990348,0.794091,0.000000,0
11,1790173021245860733,0.990297,0.787945,0.780300,1
12,1790173021246283667,0.990159,0.776440,0.000000,0
13,1790173021247473391,0.990348,0.358081,0.000000,0
14,1790173021247897626,0.990406,0.772474,0.000000,0
15,1790173021248323070,0.990238,0.771062,0.000000,0
16,1790173021248752285,0.990119,0.765943,0.000000,0
17,1790173021249184149,0.989961,0.764100,0.000000,0
18,1790173021249612253,0.990387,0.778608,0.771123,1
19,1790173021250049177,0.990159,0.765799,0.000000,0
20,1790173021250480942,0.990703,0.771077,0.763909,1
21,1790173021250912466,0.990555,0.767715,0.000000,0
22,1790173021251340480,0.990396,0.917494,0.000000,0
23,1790173021251765515,0.990525,0.785938,0.778492,1
24,1790173021252203339,0.990149,0.764184,0.756656,1
25,1790173021252634743,0.990486,0.775927,0.768544,1
26,1790173021253065667,0.990397,0.770207,0.000000,0
27,1790173021253496342,0.990466,0.774911,0.000000,0
28,1790173021253928896,0.990456,0.953592,0.000000,0
29,1790173021254359190,0.990406,0.785601,0.000000,0
30,1790173021254793305,0.990684,0.766265,0.759126,1
31,1790173021255225169,0.990377,0.766081,0.758709,1
32,1790173021255654773,0.990703,0.771409,0.000000,0
33,1790173021256084107,0.989902,0.905871,0.000000,0
34,1790173021256511742,0.990713,0.772605,0.000000,0
35,1790173021256938806,0.990476,0.770115,0.762780,1
36,1790173021257370590,0.990427,0.777489,0.000000,0
37,1790173021258587784,0.990367,0.350731,0.347352,1
38,1790173021259020909,0.985506,0.771548,0.760365,1
39,1790173021259449723,0.990614,0.775826,0.768544,1
40,1790173021259878017,0.990505,0.773379,0.000000,0
41,1790173021261075521,0.989902,0.360889,0.000000,0
42,1790173021261503756,0.990624,0.780823,0.000000,0
